"","empEntropy","evenness_log2","entropy","evenness"
"1",0,1,0,1
"2",0,1,0,1
"3",0,1,0,1
"4",0,1,0,1
"5",0,1,0,1
"6",0,1,0,1
"7",0,1,0,1
"8",0,1,0,1
"9",0,1,0,1
"10",0,1,0,1
"11",0,1,0,1
"12",0.439496986921513,0.304636097349238,0.304636097349238,0.439496986921513
"13",0.650022421648354,0.450561208866305,0.450561208866305,0.650022421648354
"14",0.619382194678764,0.429323021930616,0.429323021930616,0.619382194678764
"15",0.74959525725948,0.519579839130515,0.519579839130515,0.74959525725948
"16",0.836640741941167,0.579915171418101,0.579915171418101,0.836640741941167
"17",0.811278124459133,0.562335144618808,0.562335144618808,0.811278124459133
"18",0.787126586201269,0.545594573969184,0.545594573969184,0.787126586201269
"19",0.76420450650862,0.529706199057654,0.529706199057654,0.76420450650862
"20",0.742487569542124,0.514653165428929,0.514653165428929,0.742487569542124
"21",0.721928094887362,0.500402423538188,0.500402423538188,0.721928094887362
"22",0.70246655129039,0.486912709464602,0.486912709464602,0.70246655129039
"23",0.684038435639042,0.474139313057837,0.474139313057837,0.684038435639042
"24",0.66657835799492,0.462036909466457,0.462036909466457,0.66657835799492
"25",0.650022421648354,0.450561208866305,0.450561208866305,0.650022421648354
"26",0.634309554640566,0.439669879401343,0.439669879401343,0.634309554640566
"27",0.845106415127478,0.369588005175014,0.585783128918734,0.533202782238038
"28",0.968270247409618,0.423450896602717,0.671153792012057,0.610910508588724
"29",1.15597399783068,0.400630058698471,0.801260117396942,0.577986998915338
"30",1.13013631891997,0.391675401553885,0.78335080310777,0.565068159459984
"31",1.23664074194117,0.42858702182104,0.857174043642079,0.618320370970584
"32",1.28590159798503,0.445659533560424,0.891319067120848,0.642950798992513
"33",1.26088857925787,0.436990681856414,0.873981363712829,0.630444289628936
"34",1.41858910530548,0.423480400138424,0.983291038715549,0.610953073193378
"35",1.5682991511401,0.420533038519532,1.08706213488732,0.606700929202097
"36",1.59923444569816,0.428828211929873,1.10850484709003,0.618668334744509
"37",1.73793333495236,0.429102705061763,1.20464359112337,0.619064344624645
"38",1.8161641766117,0.448418213372788,1.25886907845237,0.646930732677211
"39",1.78611501287425,0.440998954425818,1.23804058532958,0.636227004587346
"40",1.80615646317735,0.445947268820545,1.2519322601015,0.643365913225379
"41",1.92966348309459,0.445846934245499,1.3375408027365,0.643221161031529
"42",1.99924506628367,0.461923693647636,1.38577108094291,0.666415022094557
"43",1.96974863233182,0.455108570304204,1.36532571091261,0.656582877443941
"44",1.98216231878656,0.457976740893023,1.37393022267907,0.660720772928853
"45",1.95462633064483,0.451614576711566,1.3548437301347,0.651542110214945
"46",1.92780948392048,0.445418569478735,1.33625570843621,0.642603161306828
"47",1.97710869387055,0.456809105605643,1.37042731681693,0.659036231290185
"48",1.95116703636325,0.450815310018896,1.35244593005669,0.650389012121082
"49",2.05661197322581,0.449706157116866,1.4255347907473,0.648788842729736
"50",2.03029481634249,0.443951553116542,1.40729312765327,0.640486704076188
"51",2.04054296229785,0.446192449501059,1.41439660112819,0.643719634177276
"52",2.01574043249307,0.440769039295103,1.39720479752325,0.635895307168437
"53",2.0516696627327,0.448625453761994,1.42210904216355,0.647229717358989
"54",2.0798886931354,0.45479592825362,1.44166898352531,0.65613183030799
"55",2.10218717094933,0.459671793461936,1.45712511055282,0.663166216864071
"56",2.11976830742212,0.463516147877769,1.46931142572997,0.668712447915212
"57",2.1334970134641,0.466518116025722,1.4788274396157,0.673043372475172
"58",2.14402391075742,0.468819965178492,1.48612412879462,0.676364238832747
"59",2.15185472219464,0.47053227851926,1.49155203366382,0.678834584797921
"60",2.23933247597015,0.467254843488013,1.55218699205503,0.674106245531505
"61",2.32430186510669,0.465707509837567,1.61108328456892,0.671873914947407
"62",2.40687956985617,0.465366593780976,1.66832178779313,0.671382077043203
"63",2.48717495828833,0.465884716739256,1.72397830989685,0.672129570465683
"64",2.53354462460928,0.474570442199478,1.75611931337073,0.684660423513669
"65",2.57882306515453,0.483051764905596,1.78750393677482,0.696896385721964
"66",2.61144148483963,0.489161678148665,1.81011330241387,0.705711127258002
"67",2.68514849311189,0.488844130764526,1.86120310738529,0.705253003221658
"68",2.70854704373971,0.493103948861049,1.87742174678216,0.711398621664601
"69",2.72621336618347,0.496320187389749,1.88966710837491,0.716038673040272
"70",2.72592400517406,0.496267507833484,1.88946653860707,0.715962672505692
"71",2.70395731816752,0.492268367360234,1.87424039144225,0.710193132377117
"72",2.77266544465368,0.491916829654235,1.92186523559769,0.709685970671985
"73",2.7505817612697,0.487998818002926,1.9065579927237,0.704033474692497
"74",2.7287599118765,0.484127260043636,1.8914322393422,0.698447997224115
"75",2.79515986250386,0.484364294477218,1.93745717790887,0.698789965625964
"76",2.83338243407912,0.490987761407505,1.96395104563002,0.708345608519781
"77",2.81152685693122,0.487200478487611,1.94880191395044,0.702881714232806
"78",2.87501446413725,0.48754159910019,1.99280816988579,0.703373847248918
"79",2.91147337405533,0.493724258514478,2.0180795605018,0.712293539325418
"80",2.94724340773483,0.499790099099807,2.04287345849528,0.721044697456694
"81",2.92545785881859,0.496095731127614,2.02777286668704,0.715714851103993
"82",2.90392391221362,0.492444029581871,2.01284667231148,0.710446559393143
"83",2.92993126258742,0.496854325720469,2.03087359389691,0.71680927176115
"84",2.95552390907369,0.501194296857578,2.04861306465194,0.723070526598258
"85",2.98071413884017,0.505466026636765,2.06607360139223,0.729233329966709
"86",2.98274820923494,0.50581096192155,2.06748351155143,0.729730966391497
