"root_node_id" "tag"
"1" "Doctor Parker Peps"
"1" "Florence Dombey"
"1" "Lucretia Tox"
"1" "Mr Dombey"
"1" "Mr Pilkins"
"1" "Mrs Blockitt"
"1" "Mrs Chick"
"1" "Mrs Dombey I"
"1" "Paul Dombey"
"2" "Jemima"
"2" "Mr Chick"
"2" "Mr Toodle"
"2" "Mrs Polly Toodle"
"2" "Robin Toodle"
"3" "Susan Nipper"
"4" "Captain Cuttle"
"4" "John"
"4" "Mr Carker"
"4" "Mr Morfin"
"4" "Solomon Gills"
"4" "Walter Gay"
"5" "Towlinson"
"6" "Joe"
"6" "Mr Clark"
"6" "Mrs Brown"
"7" "Major Bagstock"
"8" "Berinthia"
"8" "Master Bitherstone"
"8" "Miss Pankey"
"8" "Mrs Wickam"
"9" "Mr Brogley"
"10" "Bill Bitherstone"
"10" "Mrs Dombey II"
"11" "Cornelia Blimber"
"11" "Doctor Blimber"
"11" "Mr Feeder"
"11" "Mr Toots"
"11" "Mrs Blimber"
"12" "Briggs"
"12" "Johnson"
"12" "Old Glubb"
"12" "Tozer"
"13" "James Carker"
"13" "Mr Perch"
"13" "Mrs Perch"
"14" "Barnet Skettles Jr"
"14" "Diogenes"
"14" "Lady Skettles"
"14" "Mr Baps"
"14" "Mrs Baps"
"14" "Sir Barnet Skettles"
"15" "Captain Bunsby"
"15" "Reverend Melchisedech"
"18" "Alex Macstinger"
"20" "The Native"
"21" "Cousin Feenix"
"21" "Mrs Skewton"
"21" "Withers"
"22" "Harriet Carker"
"22" "The Game Chicken"
"24" "Kate"
"24" "Martha"
"25" "Juliana Macstinger"
"28" "Mary Daws"
"31" "Mr Sownds"
"31" "Mrs Miff"
"34" "Alice Brown"
"36" "Flowers"
"39" "Charles Macstinger"
"41" "Melia"
"59" "Anne"
"60" "Mrs Bokum"
"60" "Reverend Feeder"
