"Character","Node"
"Akerman","65, 78"
"Barnaby Rudge","60, 48, 70, 77, 7, 61, 76, 20, 11, 6, 5, 74, 54, 50, 12, 49, 25, 53, 78, 69, 46, 41, 4, 47, 26, 59, 83, 8, 43, 66, 13, 58, 18, 63, 80, 27, 51"
"Dolly Varden","25, 73, 24, 20, 71, 31, 23, 21, 60, 14, 22, 8, 72, 29, 42, 10, 4, 83, 79, 81, 74, 32, 43, 28, 5"
"Edward Chester","76, 20, 80, 15, 42, 83, 27, 73, 82, 24, 7, 79, 33, 21, 68, 30, 28, 43, 72, 16"
"Emma Haredale","26, 30, 5, 80, 43, 74, 42, 35, 60, 28, 13, 71, 16, 22, 21, 72, 2"
"Gabriel Varden","20, 52, 8, 4, 6, 14, 31, 32, 42, 27, 64, 40, 76, 80, 21, 60, 25, 3, 24, 7, 43, 75, 5, 83, 65, 79, 28, 23"
"Gashford","58, 50, 83, 60, 49, 72, 53, 44, 82, 45, 54, 40, 36, 52, 51, 71, 55, 37, 38, 39"
"General Conway","50"
"Geoffrey Haredale","11, 82, 21, 15, 16, 57, 62, 33, 45, 12, 56, 55, 27, 80, 28, 41, 26, 83, 30, 77, 67, 60, 42, 68, 44, 54, 43, 2, 72, 35, 13"
"Herbert","74"
"Hugh","1, 11, 18, 60, 69, 15, 41, 24, 29, 61, 26, 78, 71, 65, 53, 51, 83, 77, 58, 39, 64, 12, 50, 14, 72, 38, 40, 75, 23, 43, 13, 59, 66, 70, 22, 36, 76, 56, 68, 45, 49, 30, 54, 35, 55"
"Joe Willet","68, 21, 26, 3, 14, 60, 72, 2, 12, 73, 33, 22, 4, 32, 31, 20, 29, 15, 23, 83, 30, 79, 42, 81, 11, 5, 74"
"John Chester","12, 24, 44, 33, 27, 6, 13, 11, 77, 16, 76, 41, 29, 54, 28, 30, 14, 82, 25, 31"
"John Fielding","62, 67"
"John Grueby","83, 67, 44, 36, 38, 68, 39, 58"
"John Willet","26, 7, 67, 83, 73, 38, 76, 22, 35, 58, 48, 15, 44, 59, 3, 31, 30, 32, 57, 42, 41, 72, 82, 39, 14, 16, 81, 54, 79, 13, 9, 28, 4, 12, 80, 6, 56, 34, 11, 55, 33, 62, 25, 23, 20, 2, 68, 5, 36"
"Lord Algernon Percy","68"
"Lord George Gordon","67, 36, 49, 38, 51, 42, 53, 39, 41, 50, 83, 44, 74, 54, 58, 37, 40"
"Mark Gilbert","9, 40"
"Martha Varden","4, 30, 32, 43, 5, 52, 23, 72, 22, 73, 42, 27, 81, 28, 80, 37, 8, 20, 14, 3"
"Mary Jones","44, 36, 27, 1, 77, 52, 7, 26, 38, 37"
"Miggs","42, 32, 71, 40, 19, 37, 60, 64, 14, 72, 8, 81, 23, 52, 20, 43, 28, 80, 83, 25, 10"
"Mr Rudge","27, 63, 2, 80, 77, 41, 57, 25, 49, 78"
"Mrs Rudge","5, 43, 11, 28, 25, 7"
"Ned Dennis","50, 54, 41, 1, 77, 16, 72, 30, 24, 78, 70, 76, 65, 53, 37, 55, 45, 71, 13, 28, 61, 39, 64, 40, 51, 38, 33, 60, 66, 75, 27, 49"
"Peak","76, 24"
"Phil Parkes","31, 55, 34, 2, 83, 12"
"Philips","62"
"Simon Tappertit","48, 60, 40, 51, 53, 61, 52, 25, 49, 5, 50, 83, 72, 71, 54, 37, 43, 64"
"Solomon Daisy","3, 55, 57, 12, 35, 34, 31, 2, 42, 4, 83"
"Stagg","19, 46, 63, 47, 9, 70"
"The Black Lion","72, 80, 79, 32, 14, 73"
"Tom Cobb","55, 73, 83, 2, 32, 34, 31"
"Tom Green","59"
