"source" "target" "tag"
"185" 33 35 "Geoffrey Haredale"
"186" 30 35 "Hugh"
"187" 34 35 "John Willet"
"188" 34 35 "Solomon Daisy"
"189" 35 36 "Hugh"
"190" 35 36 "John Willet"
"191" 27 36 "Mary Jones"
"192" 36 37 "Gashford"
"193" 36 37 "Lord George Gordon"
"194" 32 37 "Martha Varden"
"195" 36 37 "Mary Jones"
"196" 32 37 "Miggs"
"197" 33 37 "Ned Dennis"
"198" 25 37 "Simon Tappertit"
"199" 37 38 "Gashford"
"200" 36 38 "Hugh"
"201" 36 38 "John Grueby"
"202" 36 38 "John Willet"
"203" 37 38 "Lord George Gordon"
"204" 37 38 "Mary Jones"
"205" 37 38 "Ned Dennis"
"206" 38 39 "Gashford"
"207" 38 39 "Hugh"
"208" 38 39 "John Grueby"
"209" 38 39 "John Willet"
"210" 38 39 "Lord George Gordon"
"211" 38 39 "Ned Dennis"
"212" 32 40 "Gabriel Varden"
"213" 39 40 "Gashford"
"214" 39 40 "Hugh"
"215" 39 40 "Lord George Gordon"
"216" 9 40 "Mark Gilbert"
"217" 37 40 "Miggs"
"218" 39 40 "Ned Dennis"
"219" 37 40 "Simon Tappertit"
"220" 27 41 "Barnaby Rudge"
"221" 35 41 "Geoffrey Haredale"
"222" 40 41 "Hugh"
"223" 33 41 "John Chester"
"224" 39 41 "John Willet"
"225" 40 41 "Lord George Gordon"
"226" 27 41 "Mr Rudge"
"227" 40 41 "Ned Dennis"
"228" 32 42 "Dolly Varden"
"229" 33 42 "Edward Chester"
"230" 35 42 "Emma Haredale"
"231" 40 42 "Gabriel Varden"
"232" 41 42 "Geoffrey Haredale"
"233" 33 42 "Joe Willet"
"234" 41 42 "John Willet"
"235" 41 42 "Lord George Gordon"
"236" 37 42 "Martha Varden"
"237" 40 42 "Miggs"
"238" 35 42 "Solomon Daisy"
"239" 41 43 "Barnaby Rudge"
"240" 42 43 "Dolly Varden"
"241" 42 43 "Edward Chester"
"242" 42 43 "Emma Haredale"
"243" 42 43 "Gabriel Varden"
"244" 42 43 "Geoffrey Haredale"
"245" 41 43 "Hugh"
"246" 42 43 "Martha Varden"
"247" 42 43 "Miggs"
"248" 28 43 "Mrs Rudge"
"249" 40 43 "Simon Tappertit"
"250" 40 44 "Gashford"
"251" 43 44 "Geoffrey Haredale"
"252" 41 44 "John Chester"
"253" 39 44 "John Grueby"
"254" 42 44 "John Willet"
"255" 42 44 "Lord George Gordon"
"256" 38 44 "Mary Jones"
"257" 44 45 "Gashford"
"258" 44 45 "Geoffrey Haredale"
"259" 43 45 "Hugh"
"260" 41 45 "Ned Dennis"
"261" 43 46 "Barnaby Rudge"
"262" 19 46 "Stagg"
"263" 46 47 "Barnaby Rudge"
"264" 46 47 "Stagg"
"265" 47 48 "Barnaby Rudge"
"266" 44 48 "John Willet"
"267" 43 48 "Simon Tappertit"
"268" 48 49 "Barnaby Rudge"
"269" 45 49 "Gashford"
"270" 45 49 "Hugh"
"271" 44 49 "Lord George Gordon"
"272" 41 49 "Mr Rudge"
"273" 45 49 "Ned Dennis"
"274" 48 49 "Simon Tappertit"
"275" 49 50 "Barnaby Rudge"
"276" 49 50 "Gashford"
"277" 49 50 "Hugh"
"278" 49 50 "Lord George Gordon"
"279" 49 50 "Ned Dennis"
"280" 49 50 "Simon Tappertit"
"281" 50 51 "Barnaby Rudge"
"282" 50 51 "Gashford"
"283" 50 51 "Hugh"
"284" 50 51 "Lord George Gordon"
"285" 50 51 "Ned Dennis"
"286" 50 51 "Simon Tappertit"
"287" 43 52 "Gabriel Varden"
"288" 51 52 "Gashford"
"289" 43 52 "Martha Varden"
"290" 44 52 "Mary Jones"
"291" 43 52 "Miggs"
"292" 51 52 "Simon Tappertit"
"293" 51 53 "Barnaby Rudge"
"294" 52 53 "Gashford"
"295" 51 53 "Hugh"
"296" 51 53 "Lord George Gordon"
"297" 51 53 "Ned Dennis"
"298" 52 53 "Simon Tappertit"
"299" 53 54 "Barnaby Rudge"
"300" 53 54 "Gashford"
"301" 45 54 "Geoffrey Haredale"
"302" 53 54 "Hugh"
"303" 44 54 "John Chester"
"304" 48 54 "John Willet"
"305" 53 54 "Lord George Gordon"
"306" 53 54 "Ned Dennis"
"307" 53 54 "Simon Tappertit"
"308" 54 55 "Gashford"
"309" 54 55 "Geoffrey Haredale"
"310" 54 55 "Hugh"
"311" 54 55 "John Willet"
"312" 54 55 "Ned Dennis"
"313" 34 55 "Phil Parkes"
"314" 42 55 "Solomon Daisy"
"315" 34 55 "Tom Cobb"
"316" 55 56 "Geoffrey Haredale"
"317" 55 56 "Hugh"
"318" 55 56 "John Willet"
"319" 56 57 "Geoffrey Haredale"
"320" 56 57 "John Willet"
"321" 49 57 "Mr Rudge"
"322" 55 57 "Solomon Daisy"
"323" 54 58 "Barnaby Rudge"
"324" 55 58 "Gashford"
"325" 56 58 "Hugh"
"326" 44 58 "John Grueby"
"327" 57 58 "John Willet"
"328" 54 58 "Lord George Gordon"
"329" 58 59 "Barnaby Rudge"
"330" 58 59 "Hugh"
"331" 58 59 "John Willet"
"332" 59 60 "Barnaby Rudge"
"333" 43 60 "Dolly Varden"
"334" 43 60 "Emma Haredale"
"335" 52 60 "Gabriel Varden"
"336" 58 60 "Gashford"
"337" 57 60 "Geoffrey Haredale"
"338" 59 60 "Hugh"
"339" 42 60 "Joe Willet"
"340" 52 60 "Miggs"
"341" 55 60 "Ned Dennis"
"342" 54 60 "Simon Tappertit"
"343" 60 61 "Barnaby Rudge"
"344" 60 61 "Hugh"
"345" 60 61 "Ned Dennis"
"346" 60 61 "Simon Tappertit"
"347" 60 62 "Geoffrey Haredale"
"348" 59 62 "John Willet"
"349" 61 63 "Barnaby Rudge"
"350" 57 63 "Mr Rudge"
"351" 47 63 "Stagg"
"352" 60 64 "Gabriel Varden"
"353" 61 64 "Hugh"
"354" 60 64 "Miggs"
