"Character","Node","Appearances"
"Mary Elliot",5,19
"Mary Elliot",22,19
"Mary Elliot",19,19
"Mary Elliot",24,19
"Mary Elliot",2,19
"Mary Elliot",14,19
"Mary Elliot",6,19
"Mary Elliot",23,19
"Mary Elliot",16,19
"Mary Elliot",15,19
"Mary Elliot",18,19
"Mary Elliot",13,19
"Mary Elliot",7,19
"Miss Atkinson",19,1
"Mr Hayter",9,2
"Mr Hayter",18,2
"Mr John Shepherd",13,5
"Mr John Shepherd",5,5
"Mr John Shepherd",1,5
"Mr John Shepherd",3,5
"Mr John Shepherd",2,5
"Mr Robinson",7,1
"Mr William Elliot",12,13
"Mr William Elliot",1,13
"Mr William Elliot",16,13
"Mr William Elliot",14,13
"Mr William Elliot",21,13
"Mr William Elliot",17,13
"Mr William Elliot",15,13
"Mr William Elliot",23,13
"Mr William Elliot",18,13
"Mr William Elliot",22,13
"Mr William Elliot",19,13
"Mr William Elliot",24,13
"Mr William Elliot",20,13
"Mrs Croft",5,12
"Mrs Croft",23,12
"Mrs Croft",10,12
"Mrs Croft",4,12
"Mrs Croft",9,12
"Mrs Croft",8,12
"Mrs Croft",18,12
"Mrs Croft",19,12
"Mrs Croft",13,12
"Mrs Croft",6,12
"Mrs Croft",3,12
"Mrs Croft",7,12
"Mrs Frankland",19,1
"Mrs Hayter",18,2
"Mrs Hayter",9,2
"Mrs Penelope Clay",16,14
"Mrs Penelope Clay",15,14
"Mrs Penelope Clay",19,14
"Mrs Penelope Clay",18,14
"Mrs Penelope Clay",22,14
"Mrs Penelope Clay",2,14
"Mrs Penelope Clay",13,14
"Mrs Penelope Clay",24,14
"Mrs Penelope Clay",23,14
"Mrs Penelope Clay",3,14
"Mrs Penelope Clay",21,14
"Mrs Penelope Clay",17,14
"Mrs Penelope Clay",20,14
"Mrs Penelope Clay",5,14
"Mrs Shirley",12,1
"Mrs Smith",22,6
"Mrs Smith",24,6
"Mrs Smith",23,6
"Mrs Smith",19,6
"Mrs Smith",17,6
"Mrs Smith",21,6
"Mrs Speed",21,1
"Mrs William Elliot",15,1
"Nurse Rooke",17,2
"Nurse Rooke",21,2
"Sarah",13,2
"Sarah",23,2
"Sir Archibald Drew",18,1
"Sir Basil Morley",3,1
"Sir Henry Russell",17,1
"Sir Walter Elliot",15,17
"Sir Walter Elliot",21,17
"Sir Walter Elliot",2,17
"Sir Walter Elliot",1,17
"Sir Walter Elliot",12,17
"Sir Walter Elliot",18,17
"Sir Walter Elliot",16,17
"Sir Walter Elliot",3,17
"Sir Walter Elliot",17,17
"Sir Walter Elliot",19,17
"Sir Walter Elliot",24,17
"Sir Walter Elliot",6,17
"Sir Walter Elliot",13,17
"Sir Walter Elliot",4,17
"Sir Walter Elliot",22,17
"Sir Walter Elliot",20,17
"Sir Walter Elliot",5,17
"The Dowager Countess Dalrymple",21,8
"The Dowager Countess Dalrymple",23,8
"The Dowager Countess Dalrymple",16,8
"The Dowager Countess Dalrymple",20,8
"The Dowager Countess Dalrymple",17,8
"The Dowager Countess Dalrymple",18,8
"The Dowager Countess Dalrymple",19,8
"The Dowager Countess Dalrymple",22,8
"The Honourable Miss Carteret",16,4
"The Honourable Miss Carteret",22,4
"The Honourable Miss Carteret",20,4
"The Honourable Miss Carteret",19,4
"The Late Viscount Dalrymple",22,2
"The Late Viscount Dalrymple",16,2
"The Miss Hayters",8,1
"Walter Musgrove",9,4
"Walter Musgrove",5,4
"Walter Musgrove",21,4
"Walter Musgrove",1,4
