"Character","Node","Type","Appearances"
"Adam Smith Gradgrind",4,"First Appearance",1
"Adam Smith Gradgrind",4,"Last Appearance",1
"Bitzer",2,"First Appearance",9
"Bitzer",37,"Last Appearance",9
"Bounderby",3,"First Appearance",31
"Bounderby",37,"Last Appearance",31
"E.W.B. Childers",6,"First Appearance",3
"E.W.B. Childers",36,"Last Appearance",3
"Emma Gordon",6,"First Appearance",2
"Emma Gordon",35,"Last Appearance",2
"Harthouse",18,"First Appearance",11
"Harthouse",35,"Last Appearance",11
"Jane Gradgrind",4,"First Appearance",3
"Jane Gradgrind",25,"Last Appearance",3
"Kidderminster",6,"First Appearance",2
"Kidderminster",35,"Last Appearance",2
"Lady Scadgers",7,"First Appearance",4
"Lady Scadgers",37,"Last Appearance",4
"Louisa Gradgrind",3,"First Appearance",27
"Louisa Gradgrind",37,"Last Appearance",27
"M’Choakumchild",1,"First Appearance",6
"M’Choakumchild",14,"Last Appearance",6
"Malthus Gradgrind",4,"First Appearance",1
"Malthus Gradgrind",4,"Last Appearance",1
"Mr Sleary",36,"Last Appearance",5
"Mr Sleary",3,"First Appearance",5
"Mrs Blackpool",10,"First Appearance",4
"Mrs Blackpool",37,"Last Appearance",4
"Mrs Gradgrind",4,"First Appearance",8
"Mrs Gradgrind",25,"Last Appearance",8
"Mrs Pegler",4,"First Appearance",10
"Mrs Pegler",37,"Last Appearance",10
"Mrs Sparsit",7,"First Appearance",15
"Mrs Sparsit",37,"Last Appearance",15
"Nickits",23,"First Appearance",2
"Nickits",24,"Last Appearance",2
"Rachael",10,"First Appearance",10
"Rachael",37,"Last Appearance",10
"Signor Jupe",3,"First Appearance",2
"Signor Jupe",6,"Last Appearance",2
"Sissy Jupe",2,"First Appearance",19
"Sissy Jupe",37,"Last Appearance",19
"Slackbridge",20,"First Appearance",3
"Slackbridge",32,"Last Appearance",3
"Stephen Blackpool",10,"First Appearance",13
"Stephen Blackpool",37,"Last Appearance",13
"Thomas Gradgrind",2,"First Appearance",26
"Thomas Gradgrind",37,"Last Appearance",26
"Tom Gradgrind",3,"First Appearance",22
"Tom Gradgrind",37,"Last Appearance",22
