"Character","Node"
"Ada Clare","59, 45, 62, 23, 6, 50, 43, 24, 31, 3, 15, 8, 17, 18, 65, 30, 37, 9, 67, 13, 61, 60, 14, 35, 4, 5, 51, 44, 64, 36"
"Alfred Pardiggle","8"
"Allan Woodcourt","51, 61, 46, 35, 67, 59, 60, 45, 65, 52, 14, 36, 30, 64, 50, 17, 47"
"Arethusa Skimpole","43, 61"
"Bartholomew Smallweed","39, 21, 33, 20"
"Bob Stables","2, 40, 58, 28"
"Captain Hawden","10, 27, 21, 54, 5, 29, 26, 11"
"Captain Swosser","17, 13"
"Caroline Caddy","37, 65, 6, 30, 38, 50, 5, 14, 23, 39, 17, 67, 4, 51, 35"
"Charley","62, 31, 37, 67, 35, 30, 23, 21, 51, 57, 44, 36, 45, 15, 61, 64"
"Coavinses","37, 6, 15, 61, 10, 9"
"Conversation Kenge","3, 35, 38, 39, 9, 6, 13, 24, 4, 18, 17, 65, 62, 14"
"Darby","22"
"Egbert Pardiggle","8"
"Emma Neckett","37, 31, 67, 39, 15, 23"
"Esther Summerson","67, 3, 37, 62, 59, 57, 56, 63, 38, 50, 64, 13, 45, 51, 61, 24, 29, 23, 17, 14, 30, 4, 60, 9, 6, 19, 36, 43, 8, 44, 65, 35, 18, 7"
"Francis Pardiggle","8"
"George Rouncewell","27, 58, 24, 21, 34, 49, 63, 47, 26, 52"
"Grandfather Smallweed","21, 33, 20, 26, 54, 27, 39, 34, 62"
"Guster","25, 11, 42, 10, 22, 19, 59"
"Inspector Bucket","56, 58, 54, 49, 22, 24, 53, 55, 26, 62, 42, 25, 63, 59, 57"
"James George Bogsby","33"
"Jenny","8, 31, 57, 22, 35"
"Jo","31, 54, 11, 22, 19, 25, 16, 64, 57, 29, 46, 47"
"Jobling","39, 32, 54, 33, 64, 20, 55"
"John Jarndyce","29, 13, 23, 38, 30, 45, 50, 37, 3, 39, 24, 4, 47, 65, 61, 64, 9, 62, 56, 8, 17, 51, 14, 5, 6, 35, 15, 43, 18, 60, 55, 44, 57, 36"
"Judy Smallweed","39, 34, 27, 47, 21, 26, 33"
"Kitty Skimpole","61, 43"
"Krook","54, 19, 39, 5, 20, 11, 16, 10, 14, 32, 62, 29, 33"
"Lady Dedlock","7, 18, 37, 42, 57, 33, 2, 12, 43, 58, 32, 48, 29, 36, 39, 16, 28, 9, 41, 53, 55, 23, 54, 56, 40, 66"
"Laura Skimpole","43, 61"
"Lawrence Boythorn","35, 43, 9, 36, 23, 66, 13, 16, 15, 12, 18, 57, 37"
"Little Swills","33, 19, 32, 11, 39"
"Liz","57, 46, 31, 22"
"Lord Boodle","28, 12, 66"
"Mademoiselle Hortense","42, 54, 23, 22, 18, 12"
"Malta Bagnet","34, 55, 49, 27"
"Matthew Bagnet","52, 55, 49, 34, 27"
"Mercury","29, 48, 16, 54, 40, 53, 33, 2, 55"
"Miss Barbary","29, 55, 3"
"Miss Donny","3"
"Miss Flite","35, 33, 14, 60, 45, 24, 23, 20, 30, 65, 50, 17, 47, 11"
"Miss Wisk","30"
"Mooney","11"
"Mr Badger","14, 23, 50, 18, 13, 17"
"Mr Gridley","1, 22, 15, 24, 27, 47, 35, 60, 26, 16, 49, 52, 56"
"Mr Grubble","37"
"Mr Gusher","8, 15"
"Mr Jellby","30, 23, 14, 50, 38, 67, 8, 4"
"Mr Pardiggle","8"
"Mr Quale","14, 4, 30, 15, 23, 5"
"Mr Rouncewell","7, 28, 63, 18, 41, 40, 48"
"Mr Skimpole","9, 8, 43, 61, 6, 18, 44, 37, 31, 57, 39, 15"
"Mr Snagsby","59, 10, 19, 11, 22, 25, 33, 54, 47, 20, 46, 42, 32"
"Mr Tangle","1"
"Mr Tulkinghorn","24, 22, 39, 54, 57, 40, 48, 49, 11, 42, 29, 25, 41, 12, 34, 47, 44, 59, 15, 2, 53, 20, 28, 26, 27, 55, 33, 7, 10, 16"
"Mr Turveydrop","14, 23, 67, 38, 30, 50"
"Mrs Badger","13, 30, 17"
"Mrs Bagnet","52, 49, 27, 55, 34"
"Mrs Blinder","23, 47, 15, 31"
"Mrs Bucket","53, 49, 54"
"Mrs Chadband","54, 24, 3, 44, 19, 25"
"Mrs Guppy","64, 9, 38"
"Mrs Pardiggle","30, 8, 47, 15"
"Mrs Perkins","39, 11, 33, 32, 20"
"Mrs Piper","39, 11, 33, 32, 20"
"Mrs Rouncewell","16, 28, 12, 58, 7, 34, 55, 56, 40"
"Mrs Skimpole","6, 18, 43"
"Mrs Smallweed","33, 54, 39, 21, 34"
"Mrs Snagsby","31, 33, 54, 10, 25, 20, 19, 46, 47, 59, 22, 11"
"Mrs Woodcourt","17, 64, 60, 44, 62, 30, 61"
"Oswald Pardiggle","8"
"Peepy Jellby","14, 4, 38, 23, 50, 5, 30, 67, 6"
"Peffer","10"
"Phil Squod","24, 34, 26, 56, 21, 47, 66"
"Polly","20"
"Prince Turvey","30, 14, 23, 38, 50, 17"
