"","ShannonWiener","Pielou","Richness"
"1",0.693147180559945,1,2
"2",2.07944154167984,1,8
"3",2.77258872223978,1,16
"4",3.08465194568951,0.983784926158898,23
"5",3.12201849851975,0.969909579735833,25
"6",3.15942631064736,0.948148980952324,28
"7",3.3073081241903,0.954287405892225,32
"8",3.48618819210546,0.945053433019497,40
"9",3.49207390176022,0.934291753524234,42
"10",3.59291402128157,0.938430542117711,46
"11",3.72426456391304,0.942555010312076,52
"12",3.78698492597376,0.945013741290412,55
"13",3.81796380863467,0.936340588200115,59
"14",3.83409069666454,0.928995845291006,62
"15",3.88377370307147,0.926991349457352,66
"16",3.88804821113752,0.928011602516196,66
"17",3.90434806387501,0.928569200485465,67
"18",3.88953277978729,0.925045688678826,67
"19",3.91352455386805,0.927483684664753,68
"20",3.95985327629817,0.925920604063716,72
"21",4.01528352229679,0.927160184383765,76
"22",4.05133930347691,0.927197083079845,79
"23",4.05243014572697,0.927446735275475,79
"24",4.04476806394754,0.925693176922533,79
"25",4.04931576610196,0.926733972535153,79
"26",4.05892241782399,0.928932568798663,79
"27",4.10265312781162,0.925936077718817,84
"28",4.12189391922444,0.927800468966075,85
"29",4.11135195531077,0.925427569698264,85
"30",4.1219494528753,0.925376756397556,86
"31",4.13204150215691,0.927642419268096,86
"32",4.13801198932942,0.928982792340832,86
"33",4.1518085124752,0.92966724844442,87
"34",4.17343257802222,0.934509279442929,87
"35",4.1633873082467,0.932259956458973,87
"36",4.15358400370625,0.930064813997465,87
"37",4.15688882425626,0.926091686171568,89
"38",4.15454406523178,0.925569309478216,89
"39",4.15438955741262,0.925534887483109,89
"40",4.16522168487403,0.925643969418895,90
"41",4.16361996147852,0.925288015831329,90
"42",4.16191066591319,0.924908156306025,90
"43",4.17342150550859,0.920756733925593,93
"44",4.16447581515566,0.918783100392244,93
"45",4.15785091505535,0.917321488769527,93
"46",4.15816635500217,0.917391082376309,93
"47",4.15774198944137,0.917297457170411,93
"48",4.15466153422433,0.916617834975311,93
"49",4.16971923280893,0.917774309754468,94
"50",4.16435830977011,0.916594346028641,94
"51",4.1571372979784,0.915004968244948,94
"52",4.16069381531762,0.91578777400809,94
"53",4.16447478325803,0.916619982377041,94
"54",4.16768991354567,0.917327647285816,94
"55",4.17131094409562,0.918124652702256,94
"56",4.16753492783394,0.917293534220485,94
"57",4.16173172053001,0.916016221701259,94
"58",4.16645074734533,0.917054901126978,94
"59",4.1600647506083,0.915649313983051,94
"60",4.15581459267895,0.914713834747598,94
"61",4.1601058196145,0.915658353459503,94
"62",4.15299594145089,0.914093436696593,94
"63",4.1539088050724,0.914294362162638,94
"64",4.14998278699642,0.913430227594198,94
"65",4.1434310250109,0.911988154759502,94
"66",4.14600047090391,0.912553701574348,94
"67",4.14521759783606,0.912381387624809,94
