"x"
"Admiral Crawford"
"Baddeley"
"Betsey Price"
"Captain Walsh"
"Charles"
"Charles Anderson"
"Charles Maddox"
"Charlie Price"
"Colonel Harrison"
"Dr Grant"
"Edmund Bertram"
"Ellis"
"Fanny Price"
"Henry Crawford"
"John Groom"
"Johnny Price"
"Julia Bertram"
"Lady Bertram"
"Lady Flora Stornaway"
"Lady Prescott"
"Lady Ravenshaw"
"Lord Ravenshaw"
"Lord Stornaway"
"Maddison"
"Margaret Fraser"
"Maria Bertram"
"Mary Crawford"
"Mary Price"
"Miss Anderson"
"Miss Augusta Sneyd"
"Miss Lee"
"Mr Campbell"
"Mr Fraser"
"Mr Green"
"Mr Harding"
"Mr Price"
"Mr Rushworth"
"Mrs Brown"
"Mrs Chapman"
"Mrs Crawford"
"Mrs Holford"
"Mrs Janet Fraser"
"Mrs Jefferies"
"Mrs Norris"
"Mrs Rushworth"
"Mrs Sneyd"
"Mrs. Admiral Maxwell"
"Mrs. Frances Price"
"Nanny"
"Old Scholey"
"Rebecca"
"Richard Price"
"Sam Price"
"Sir Charles"
"Sir Thomas Bertram"
"Smith"
"Sneyd"
"Susan PriceMP"
"The Aylmers"
"Tom Bertram"
"Turner"
"William Price"
"Tom Oliver"
"Robert"
