"Character","Node","Type","Appearances"
"AnneMitchell",27,"First Appearance",1
"AnneMitchell",27,"Last Appearance",1
"AnneThorpe",19,"Last Appearance",8
"AnneThorpe",4,"First Appearance",8
"CaptainFrederickTilney",28,"Last Appearance",11
"CaptainFrederickTilney",14,"First Appearance",11
"CaptainHunt",6,"Last Appearance",1
"CaptainHunt",6,"First Appearance",1
"CatherineMorland",1,"First Appearance",20
"CatherineMorland",30,"Last Appearance",20
"CharlesHodges",27,"Last Appearance",2
"CharlesHodges",16,"First Appearance",2
"Dorothy",20,"Last Appearance",1
"Dorothy",20,"First Appearance",1
"EdwardThorpe",4,"Last Appearance",1
"EdwardThorpe",4,"First Appearance",1
"EleanorTilney",8,"First Appearance",22
"EleanorTilney",31,"Last Appearance",22
"Emily",14,"Last Appearance",1
"Emily",14,"First Appearance",1
"Freeman",7,"Last Appearance",1
"Freeman",7,"First Appearance",1
"GeneralCourteney",17,"Last Appearance",1
"GeneralCourteney",17,"First Appearance",1
"GeneralTilney",10,"First Appearance",10
"GeneralTilney",30,"Last Appearance",10
"GeorgeMorland",1,"First Appearance",3
"GeorgeMorland",29,"Last Appearance",3
"GeorgeParry",2,"Last Appearance",1
"GeorgeParry",2,"First Appearance",1
"HarrietMorland",29,"Last Appearance",2
"HarrietMorland",1,"First Appearance",2
"IsabellaThorpe",30,"Last Appearance",24
"IsabellaThorpe",4,"First Appearance",24
"Jackson",7,"First Appearance",1
"Jackson",7,"Last Appearance",1
"JamesMorland",31,"Last Appearance",22
"JamesMorland",1,"First Appearance",22
"JohnThorpe",31,"Last Appearance",17
"JohnThorpe",4,"First Appearance",17
"LadyAliceLongtown",28,"Last Appearance",1
"LadyAliceLongtown",28,"First Appearance",1
"LittleRichardMorland",1,"First Appearance",2
"LittleRichardMorland",30,"Last Appearance",2
"MariaThorpe",19,"Last Appearance",8
"MariaThorpe",4,"First Appearance",8
"MarquisofLongtown",28,"Last Appearance",2
"MarquisofLongtown",17,"First Appearance",2
"MissAndrews",15,"Last Appearance",2
"MissAndrews",6,"First Appearance",2
"MrAllen",1,"First Appearance",21
"MrAllen",30,"Last Appearance",21
"MrDrummond",9,"First Appearance",1
"MrDrummond",9,"Last Appearance",1
"MrHenryTilney",31,"Last Appearance",27
"MrHenryTilney",3,"First Appearance",27
"MrKing",3,"Last Appearance",1
"MrKing",3,"First Appearance",1
"MrRichardMorland",31,"Last Appearance",6
"MrRichardMorland",1,"First Appearance",6
"MrsAllen",2,"First Appearance",22
"MrsAllen",30,"Last Appearance",22
"MrsHughes",16,"Last Appearance",4
"MrsHughes",8,"First Appearance",4
"MrsThorpe",29,"Last Appearance",11
"MrsThorpe",4,"First Appearance",11
"MrsTilney",24,"Last Appearance",4
"MrsTilney",9,"First Appearance",4
"SarahMoreland",1,"First Appearance",4
"SarahMoreland",30,"Last Appearance",4
"Sophia",14,"Last Appearance",1
"Sophia",14,"First Appearance",1
"TheViscount",31,"Last Appearance",1
"TheViscount",31,"First Appearance",1
"William",20,"Last Appearance",2
"William",13,"First Appearance",2
"WilliamThorpe",4,"First Appearance",1
"WilliamThorpe",4,"Last Appearance",1
