"V1","V2"
"25","Mr Nupkins"
"31","Mr Perker"
"27","Mr Stiggins"
"31","Sam Weller"
"32","Samuel Pickwick"
"31","Tony Weller"
"32","Augustus Snodgrass"
"31","Dodson"
"31","Fogg"
"31","Jackson"
"33","Martha Bardell"
"31","Mr Lowten"
"31","Mr Mallard"
"33","Mr Perker"
"31","Mr Phunky"
"26","Mrs Cluppins"
"26","Mrs Sanders"
"30","Mrs Wardle"
"32","Nathaniel Winkle"
"33","Sam Weller"
"33","Samuel Pickwick"
"31","Serjeant Snubbin"
"26","Tom Bardell"
"33","Tony Weller"
"32","Tracy Tupman"
"34","Augustus Snodgrass"
"34","Mr Perker"
"34","Nathaniel Winkle"
"34","Sam Weller"
"34","Samuel Pickwick"
"34","Tony Weller"
"34","Tracy Tupman"
"35","Dowager Snuphanuph"
"35","Lord Mutanhed"
"35","Mr Crushton"
"35","Mr Dowler"
"35","Mrs Dowler"
"35","Mrs Wugsby"
"35","Nathaniel Winkle"
"35","Samuel Pickwick"
"35","Tony Weller"
"35","Angelo Cyrus Bantam"
"36","Mr Dowler"
"36","Mrs Craddock"
"36","Nathaniel Winkle"
"35","Sam Weller"
"36","Samuel Pickwick"
"36","Tony Weller"
"32","Arabella Allen"
"32","Benjamin Allen"
"32","Bob Sawyer"
"34","Dodson"
"34","Fogg"
"37","Mr Dowler"
"36","Mrs Dowler"
"37","Nathaniel Winkle"
"37","Sam Weller"
"37","Samuel Pickwick"
"37","Tony Weller"
"38","Arabella Allen"
"38","Bob Sawyer"
"33","Mary"
"38","Mr Dowler"
"33","Mr Nupkins"
"25","Muzzle"
"38","Nathaniel Winkle"
"38","Sam Weller"
"38","Samuel Pickwick"
"38","Tony Weller"
"34","Mr Lowten"
"35","Mr Perker"
"39","Sam Weller"
"39","Samuel Pickwick"
"39","Tony Weller"
"38","Dodson"
"38","Fogg"
"39","Mary"
"40","Sam Weller"
"40","Samuel Pickwick"
"40","Tony Weller"
"26","Alfred Jingle"
"25","Job Trotter"
"41","Mr Mivins"
"41","Mr Smangle"
"41","Sam Weller"
"41","Samuel Pickwick"
"41","Tom Roker"
"41","Tony Weller"
"35","Tracy Tupman"
"38","Benjamin Allen"
"42","Neddy"
"42","Sam Weller"
"42","Samuel Pickwick"
"42","Tom Roker"
"42","Tony Weller"
"35","Augustus Snodgrass"
"42","Chancery Prisoner"
"42","Mr Mivins"
"42","Mr Smangle"
"39","Nathaniel Winkle"
"43","Neddy"
"43","Sam Weller"
"43","Samuel Pickwick"
"43","Tom Roker"
"43","Tony Weller"
"42","Tracy Tupman"
"42","Alfred Jingle"
"44","Chancery Prisoner"
"41","Dodson"
"41","Fogg"
"42","Job Trotter"
"34","Martha Bardell"
"44","Mr Mivins"
"40","Mr Perker"
"44","Mr Smangle"
"33","Mr Stiggins"
"27","Mrs Weller"
"44","Sam Weller"
"44","Samuel Pickwick"
"44","Tom Roker"
"44","Tony Weller"
"32","Betsy"
"45","Dodson"
"45","Fogg"
"34","Jackson"
"45","Job Trotter"
"45","Martha Bardell"
"41","Mary"
"45","Mr Perker"
"32","Mr Raddle"
"34","Mrs Cluppins"
"32","Mrs Raddle"
"34","Mrs Sanders"
"45","Sam Weller"
"45","Samuel Pickwick"
"34","Tom Bardell"
"45","Alfred Jingle"
"39","Arabella Allen"
"44","Augustus Snodgrass"
"43","Benjamin Allen"
"39","Bob Sawyer"
"46","Dodson"
"46","Fogg"
"28","Isabella Wardle"
"46","Job Trotter"
"46","Martha Bardell"
"46","Mary"
"40","Mr Lowten"
"46","Mr Perker"
"44","Nathaniel Winkle"
"46","Sam Weller"
"46","Samuel Pickwick"
"43","Solomon Pell"
"45","Tony Weller"
"44","Tracy Tupman"
"47","Arabella Allen"
"47","Benjamin Allen"
"47","Bob Sawyer"
"47","Martha Bardell"
"34","Mrs Wardle"
"47","Nathaniel Winkle"
"47","Sam Weller"
"47","Samuel Pickwick"
"38","Tom Cripps"
"14","Tom Smart"
"47","Tony Weller"
"48","Tom Smart"
"48","Benjamin Allen"
"48","Bob Sawyer"
"48","Nathaniel Winkle"
"48","Sam Weller"
"48","Samuel Pickwick"
"48","Tom Cripps"
"48","Tony Weller"
"50","Benjamin Allen"
"50","Bob Sawyer"
"13","Hon Slumkey"
"18","Mr Pott"
"18","Mrs Pott"
"50","Nathaniel Winkle"
"50","Sam Weller"
"50","Samuel Pickwick"
"50","Tony Weller"
"48","Arabella Allen"
"51","Bob Sawyer"
"47","Mary"
"45","Mr Stiggins"
"45","Mrs Weller"
"51","Sam Weller"
"51","Samuel Pickwick"
"51","Tony Weller"
"47","Alfred Jingle"
"52","Arabella Allen"
"47","Dodson"
"47","Fogg"
"47","Job Trotter"
"47","Mr Lowten"
"47","Mr Perker"
"51","Nathaniel Winkle"
"52","Samuel Pickwick"
"53","Arabella Allen"
"47","Augustus Snodgrass"
"51","Benjamin Allen"
"30","Emily Wardle"
"47","Isabella Wardle"
"30","Joe"
"52","Mary"
"53","Mr Lowten"
"53","Mr Perker"
"30","Mr Trundle"
"30","Mr Wardle"
"53","Nathaniel Winkle"
"53","Samuel Pickwick"
"52","Mrs Weller"
"52","Sam Weller"
"47","Solomon Pell"
"52","Tony Weller"
"54","Arabella Allen"
"54","Emily Wardle"
"54","Joe"
"54","Mary"
"54","Nathaniel Winkle"
"55","Sam Weller"
"54","Samuel Pickwick"
"55","Tony Weller"
"53","Alfred Jingle"
"56","Arabella Allen"
"54","Augustus Snodgrass"
"54","Benjamin Allen"
"52","Bob Sawyer"
"53","Dodson"
"56","Emily Wardle"
"53","Fogg"
"53","Job Trotter"
"48","Martha Bardell"
"56","Mary"
"54","Mr Perker"
"54","Mr Trundle"
"54","Mr Wardle"
"48","Mrs Wardle"
"56","Nathaniel Winkle"
"56","Sam Weller"
"56","Samuel Pickwick"
"56","Tony Weller"
"47","Tracy Tupman"
