"Character","Node","Type","Appearances"
"Bazzard",11,"First Appearance",3
"Bazzard",22,"Last Appearance",3
"Deputy",5,"First Appearance",4
"Deputy",23,"Last Appearance",4
"Dick Datchery",18,"First Appearance",2
"Dick Datchery",23,"Last Appearance",2
"Durdles",4,"First Appearance",6
"Durdles",23,"Last Appearance",6
"Edwin Drood",2,"First Appearance",13
"Edwin Drood",23,"Last Appearance",13
"Helena Landless",6,"First Appearance",14
"Helena Landless",23,"Last Appearance",14
"Hiram Grewgious",9,"First Appearance",11
"Hiram Grewgious",23,"Last Appearance",11
"Jack Chinaman",1,"First Appearance",2
"Jack Chinaman",23,"Last Appearance",2
"Joe",20,"Last Appearance",3
"Joe",6,"First Appearance",3
"John Jasper",2,"First Appearance",21
"John Jasper",23,"Last Appearance",21
"Lieutenant Tartar",17,"First Appearance",3
"Lieutenant Tartar",22,"Last Appearance",3
"Lobley",22,"First Appearance",1
"Lobley",22,"Last Appearance",1
"Luke Honeythunder",17,"Last Appearance",3
"Luke Honeythunder",6,"First Appearance",3
"Miss Brobity",4,"First Appearance",1
"Miss Brobity",4,"Last Appearance",1
"Miss Dean",2,"First Appearance",1
"Miss Dean",2,"Last Appearance",1
"Miss Ferdinand",9,"First Appearance",2
"Miss Ferdinand",13,"Last Appearance",2
"Miss Giggles",9,"First Appearance",2
"Miss Giggles",13,"Last Appearance",2
"Miss Jennings",9,"First Appearance",1
"Miss Jennings",9,"Last Appearance",1
"Miss Reynolds",9,"First Appearance",1
"Miss Reynolds",9,"Last Appearance",1
"Miss Rickitts",13,"First Appearance",1
"Miss Rickitts",13,"Last Appearance",1
"Miss Twinkleton",3,"First Appearance",10
"Miss Twinkleton",22,"Last Appearance",10
"Mr Porters",3,"Last Appearance",1
"Mr Porters",3,"First Appearance",1
"Mr Tope",2,"First Appearance",8
"Mr Tope",23,"Last Appearance",8
"Mrs Billickin",22,"First Appearance",1
"Mrs Billickin",22,"Last Appearance",1
"Mrs Crisparkle",6,"First Appearance",6
"Mrs Crisparkle",17,"Last Appearance",6
"Mrs Dean",2,"Last Appearance",1
"Mrs Dean",2,"First Appearance",1
"Mrs Tisher",3,"First Appearance",5
"Mrs Tisher",19,"Last Appearance",5
"Mrs Tope",2,"First Appearance",5
"Mrs Tope",23,"Last Appearance",5
"Neville Landless",6,"First Appearance",15
"Neville Landless",23,"Last Appearance",15
"Princess Puffer",23,"First Appearance",1
"Princess Puffer",23,"Last Appearance",1
"Rosa Bud",3,"First Appearance",14
"Rosa Bud",23,"Last Appearance",14
"Septimus Crisparkle",2,"First Appearance",17
"Septimus Crisparkle",23,"Last Appearance",17
"The Dean",2,"First Appearance",7
"The Dean",23,"Last Appearance",7
"Thomas Sapsea",4,"First Appearance",10
"Thomas Sapsea",19,"Last Appearance",10
