"","V1","V2"
"144","Captain Maroon","Daniel Doyce"
"145","Captain Maroon","Edward Dorrit"
"146","Captain Maroon","Mr Meagles"
"147","Captain Maroon","Mr Pancks"
"148","Captain Maroon","Mr Plornish"
"149","Captain Maroon","Mr William Dorrit"
"150","Captain Maroon","Mrs Captain Barbary"
"151","Captain Maroon","Mrs Clennam"
"152","Captain Maroon","Mrs Plornish"
"153","Christopher Casby","Daniel Doyce"
"154","Christopher Casby","Edward Dorrit"
"155","Christopher Casby","Mr Meagles"
"156","Christopher Casby","Mr Pancks"
"157","Christopher Casby","Mr Plornish"
"158","Christopher Casby","Mr William Dorrit"
"159","Christopher Casby","Mrs Captain Barbary"
"160","Christopher Casby","Mrs Clennam"
"161","Christopher Casby","Mrs Plornish"
"162","Daniel Doyce","Edward Dorrit"
"163","Daniel Doyce","Mr Pancks"
"164","Daniel Doyce","Mr Plornish"
"165","Daniel Doyce","Mrs Captain Barbary"
"166","Daniel Doyce","Mrs Clennam"
"167","Daniel Doyce","Mrs Plornish"
"168","Edward Dorrit","Mr Meagles"
"169","Edward Dorrit","Mr Pancks"
"170","Edward Dorrit","Mr Plornish"
"171","Edward Dorrit","Mrs Captain Barbary"
"172","Edward Dorrit","Mrs Plornish"
"173","Mr Meagles","Mr Pancks"
"174","Mr Meagles","Mr Plornish"
"175","Mr Meagles","Mrs Captain Barbary"
"176","Mr Meagles","Mrs Clennam"
"177","Mr Meagles","Mrs Plornish"
"178","Mr Pancks","Mr Plornish"
"179","Mr Pancks","Mr William Dorrit"
"180","Mr Pancks","Mrs Captain Barbary"
"181","Mr Pancks","Mrs Clennam"
"182","Mr Pancks","Mrs Plornish"
"183","Mr Plornish","Mrs Captain Barbary"
"184","Mr Plornish","Mrs Clennam"
"185","Mr Plornish","Mrs Plornish"
"186","Mr William Dorrit","Mrs Captain Barbary"
"187","Mr William Dorrit","Mrs Plornish"
"188","Mrs Captain Barbary","Mrs Clennam"
"189","Mrs Captain Barbary","Mrs Plornish"
"190","Mrs Clennam","Mrs Plornish"
"191","Affery Flintwinch","Christopher Casby"
"192","Affery Flintwinch","Flora Finching"
"193","Affery Flintwinch","Lord Decimus Tite Barnacle"
"194","Affery Flintwinch","Mr F.'s Aunt"
"195","Affery Flintwinch","Mr Pancks"
"196","Affery Flintwinch","Mr William Dorrit"
"197","Amy Dorrit","Flora Finching"
"198","Amy Dorrit","Lord Decimus Tite Barnacle"
"199","Amy Dorrit","Mr F.'s Aunt"
"200","Arthur Clennam","Flora Finching"
"201","Arthur Clennam","Lord Decimus Tite Barnacle"
"202","Arthur Clennam","Mr F.'s Aunt"
"203","Christopher Casby","Flora Finching"
"204","Christopher Casby","Lord Decimus Tite Barnacle"
"205","Christopher Casby","Mr F.'s Aunt"
"206","Flora Finching","Lord Decimus Tite Barnacle"
"207","Flora Finching","Mr F.'s Aunt"
"208","Flora Finching","Mr Pancks"
"209","Flora Finching","Mr William Dorrit"
"210","Lord Decimus Tite Barnacle","Mr F.'s Aunt"
"211","Lord Decimus Tite Barnacle","Mr Pancks"
"212","Lord Decimus Tite Barnacle","Mr William Dorrit"
"213","Mr F.'s Aunt","Mr Pancks"
"214","Mr F.'s Aunt","Mr William Dorrit"
"215","Affery Flintwinch","Fanny Dorrit"
"216","Affery Flintwinch","Maggy"
"217","Affery Flintwinch","Mrs Bangham"
"218","Fanny Dorrit","Jeremiah Flintwinch"
"219","Jeremiah Flintwinch","Maggy"
"220","Jeremiah Flintwinch","Mrs Bangham"
"221","Maggy","Mrs Bangham"
"222","Maggy","Mrs Clennam"
"223","Mrs Bangham","Mrs Clennam"
"224","Amy Dorrit","Harriet Beadle"
"225","Amy Dorrit","Minnie Meagles"
