"","x"
"1","ColonelCampbell"
"2","DrHughes"
"3","ElizabethMartin"
"4","EmmaWoodhouse"
"5","FarmerMitchell"
"6","FrankChurchill"
"7","Hannah"
"8","Harriet Smith"
"9","Harry"
"10","HenryKnightley"
"11","JohnKnightley"
"12","JohnSaunders"
"13","LitteIsabellaKnightley"
"14","LittleEmmaKnightley"
"15","LittleGeorgeKnightley"
"16","LittleJohnKnightley"
"17","LiutenantFairfax"
"18","Miss Martin"
"19","MissBates"
"20","MissBickerton"
"21","MissCaroline Otway"
"22","MissGilbert"
"23","MissJaneFairfax"
"24","MissNash"
"25","MissOtway"
"26","MissPrince"
"27","MissRichardson"
"28","Mr. Wingfield"
"29","MrBragge"
"30","MrCole"
"31","MrCoxe"
"32","MrGeorgeKnightley"
"33","MrGeorgeOtway"
"34","MrGraham"
"35","MrOtway"
"36","MrPerry"
"37","MrPhillipElton"
"38","MrsBates"
"39","MrsBird"
"40","MrsBragge"
"41","MrsBrown"
"42","MrsCampbell"
"43","MrsChurchill"
"44","MrsCole"
"45","MrsElton"
"46","MrsFordEM"
"47","MrsGilbert"
"48","MrsGoddard"
"49","MrsHodges"
"50","MrsHughes"
"51","MrsIsabellaKnightley"
"52","MrsJamesCooper"
"53","MrsMartin"
"54","MrsPartridge"
"55","MrsPerry"
"56","MrsSmallridge"
"57","MrsStokes"
"58","MrsSuckling"
"59","MrSuckling"
"60","MrsWeston"
"61","MrWeston"
"62","MrWoodhouse"
"63","OldJohnAbdy"
"64","OldMrChurchill"
"65","Patty"
"66","RobertMartin"
"67","WilliamCox"
"68","Serle"
"69","WilliamLarkins"
