"Character","Node","Type","Appearances"
"Polly",20,"First Appearance",1
"Polly",20,"Last Appearance",1
"Prince Turvey",14,"First Appearance",6
"Prince Turvey",50,"Last Appearance",6
"Priscilla",4,"First Appearance",2
"Priscilla",5,"Last Appearance",2
"Professor Dingo",17,"Last Appearance",2
"Professor Dingo",13,"First Appearance",2
"Quebec Bagnet",27,"First Appearance",4
"Quebec Bagnet",55,"Last Appearance",4
"Reverend Chadband",54,"Last Appearance",3
"Reverend Chadband",19,"First Appearance",3
"Richard Carstone",67,"Last Appearance",30
"Richard Carstone",3,"First Appearance",30
"Rosa",63,"Last Appearance",6
"Rosa",7,"First Appearance",6
"Sir Dedlock",66,"Last Appearance",25
"Sir Dedlock",2,"First Appearance",25
"Sladdery",58,"Last Appearance",2
"Sladdery",2,"First Appearance",2
"Thomas",40,"Last Appearance",1
"Thomas",40,"First Appearance",1
"Tom Neckett",67,"Last Appearance",4
"Tom Neckett",15,"First Appearance",4
"Vholes",65,"Last Appearance",8
"Vholes",37,"First Appearance",8
"Volumnia Dedlock",66,"Last Appearance",7
"Volumnia Dedlock",28,"First Appearance",7
"Watt Rouncewell",63,"Last Appearance",3
"Watt Rouncewell",7,"First Appearance",3
"William Buffy",66,"Last Appearance",5
"William Buffy",12,"First Appearance",5
"William Guppy",64,"Last Appearance",20
"William Guppy",4,"First Appearance",20
"Woolwich Bagnet",27,"First Appearance",5
"Woolwich Bagnet",55,"Last Appearance",5
