"source" "target" "tag"
"62" 12 13 "Eugene Wrayburn"
"63" 12 13 "Gaffer Hexam"
"64" 12 13 "Mortimer Lightwood"
"65" 12 13 "Mr Inspector"
"66" 12 13 "Rogue Riderhood"
"67" 13 14 "Eugene Wrayburn"
"68" 13 14 "Gaffer Hexam"
"69" 13 14 "Mortimer Lightwood"
"70" 9 14 "Mr Boffin"
"71" 13 14 "Mr Inspector"
"72" 13 14 "Rogue Riderhood"
"73" 9 15 "Bella Wilfer"
"74" 9 15 "John Harmon"
"75" 14 15 "Mr Boffin"
"76" 9 15 "Mrs Boffin"
"77" 7 15 "Silas Wegg"
"78" 15 16 "Bella Wilfer"
"79" 12 16 "Blight"
"80" 15 16 "John Harmon"
"81" 14 16 "Mortimer Lightwood"
"82" 15 16 "Mr Boffin"
"83" 11 16 "Mr Wilfer"
"84" 15 16 "Mrs Boffin"
"85" 9 16 "Mrs Milvey"
"86" 9 16 "Mrs Wilfer"
"87" 9 16 "Reverend  FrankMilvey"
"88" 16 17 "Bella Wilfer"
"89" 11 17 "Georgiana Podsnap"
"90" 16 17 "John Harmon"
"91" 10 17 "Lady Tippins"
"92" 10 17 "Melvin Twemlow"
"93" 16 17 "Mr Boffin"
"94" 11 17 "Mr Veneering"
"95" 11 17 "Mrs  Veneering"
"96" 16 17 "Mrs Boffin"
"97" 11 17 "Mrs Podsnap"
"98" 13 18 "Abbey Potterson"
"99" 8 18 "Bradley Headstone"
"100" 6 18 "Charley Hexam"
"101" 14 18 "Eugene Wrayburn"
"102" 6 18 "Lizzie Hexam"
"103" 18 19 "Bradley Headstone"
"104" 18 19 "Eugene Wrayburn"
"105" 18 19 "Jenny Wren"
"106" 18 19 "Lizzie Hexam"
"107" 14 19 "Rogue Riderhood"
"108" 10 20 "Analytical Chemist"
"109" 10 20 "Boots Brewer"
"110" 17 20 "Lady Tippins"
"111" 10 20 "Lord Snigsworth"
"112" 17 20 "Melvin Twemlow"
"113" 12 20 "Mr Podsnap"
"114" 17 20 "Mr Veneering"
"115" 17 20 "Mrs  Veneering"
"116" 17 20 "Mrs Podsnap"
"117" 12 21 "Alfred Lammle"
"118" 17 21 "Georgiana Podsnap"
"119" 20 21 "Mr Podsnap"
"120" 20 21 "Mr Veneering"
"121" 20 21 "Mrs Podsnap"
"122" 11 21 "Sophronia Akershem"
"123" 21 22 "Alfred Lammle"
"124" 21 22 "Fledgeby"
"125" 21 22 "Georgiana Podsnap"
"126" 19 22 "Jenny Wren"
"127" 19 22 "Lizzie Hexam"
"128" 20 22 "Lord Snigsworth"
"129" 21 22 "Mr Podsnap"
"130" 21 22 "Sophronia Akershem"
"131" 19 23 "Bradley Headstone"
"132" 18 23 "Charley Hexam"
"133" 19 23 "Eugene Wrayburn"
"134" 12 23 "George Jones"
"135" 20 23 "Lady Tippins"
"136" 22 23 "Lizzie Hexam"
"137" 16 23 "Mortimer Lightwood"
"138" 17 24 "John Harmon"
"139" 17 24 "Mr Boffin"
"140" 7 24 "MrVenus"
"141" 15 24 "Silas Wegg"
"142" 17 25 "Bella Wilfer"
"143" 22 25 "Jenny Wren"
"144" 24 25 "John Harmon"
"145" 9 25 "Lavinia Wilfer"
"146" 23 25 "Mortimer Lightwood"
"147" 24 25 "Mr Boffin"
"148" 21 25 "Mr Veneering"
"149" 16 25 "Mr Wilfer"
"150" 17 25 "Mrs Boffin"
"151" 16 25 "Mrs Wilfer"
"152" 25 26 "Bella Wilfer"
"153" 16 26 "Betty Higden"
"154" 25 26 "John Harmon"
"155" 16 26 "Johnny"
"156" 25 26 "Mrs Boffin"
"157" 16 26 "Sloppy"
"158" 26 27 "Bella Wilfer"
"159" 26 27 "Betty Higden"
"160" 26 27 "John Harmon"
"161" 26 27 "Johnny"
"162" 25 27 "Mr Boffin"
"163" 26 27 "Mrs Boffin"
"164" 16 27 "Mrs Milvey"
"165" 16 27 "Reverend  FrankMilvey"
"166" 24 27 "Silas Wegg"
"167" 26 27 "Sloppy"
"168" 23 28 "Bradley Headstone"
"169" 23 28 "Charley Hexam"
"170" 23 28 "Eugene Wrayburn"
"171" 25 28 "Jenny Wren"
"172" 23 28 "Lizzie Hexam"
"173" 18 28 "Mary Anne"
"174" 18 28 "Miss Peecher"
"175" 19 28 "Mr Dolls"
"176" 22 29 "Alfred Lammle"
"177" 28 29 "Eugene Wrayburn"
"178" 14 29 "Gaffer Hexam"
"179" 28 29 "Lizzie Hexam"
"180" 19 29 "Rogue Riderhood"
"181" 27 30 "Bella Wilfer"
"182" 3 30 "Jacob Kibble"
"183" 27 30 "John Harmon"
"184" 25 30 "Lavinia Wilfer"
"185" 27 30 "Mr Boffin"
"186" 25 30 "Mr Wilfer"
"187" 27 30 "Mrs Boffin"
"188" 25 30 "Mrs Wilfer"
"189" 29 30 "Pleasant Riderhood"
"190" 29 30 "Rogue Riderhood"
"191" 30 31 "Bella Wilfer"
"192" 27 31 "Betty Higden"
"193" 28 31 "Bradley Headstone"
"194" 29 31 "Eugene Wrayburn"
"195" 9 31 "George Sampson"
"196" 30 31 "John Harmon"
"197" 27 31 "Johnny"
"198" 29 31 "Lizzie Hexam"
"199" 25 31 "Mortimer Lightwood"
"200" 30 31 "Mr Boffin"
"201" 30 31 "Mr Wilfer"
"202" 30 31 "Mrs Boffin"
"203" 30 31 "Pleasant Riderhood"
"204" 30 31 "Rogue Riderhood"
"205" 27 31 "Sloppy"
"206" 31 32 "Bradley Headstone"
"207" 28 32 "Charley Hexam"
"208" 31 32 "Eugene Wrayburn"
"209" 28 32 "Jenny Wren"
"210" 31 32 "John Harmon"
