"root_node_id" "tag"
"1" "2" "Jarvis Lorry"
"2" "2" "Jerry Cruncher"
"3" "2" "Joe"
"4" "2" "Tom"
"5" "4" "Doctor Manette"
"6" "5" "Ernest Defarge"
"7" "5" "Gaspard"
"8" "5" "Jacques"
"9" "5" "Thérèse Defarge"
"10" "7" "Mrs Cruncher"
"11" "7" "Young Jerry Cruncher"
"12" "8" "Charles St Evrémonde"
"13" "9" "Mr Stryver"
"14" "9" "Roger Cly"
"15" "9" "Solomon Pross"
"16" "9" "Sydney Carton"
"17" "10" "Lucie Manette"
"18" "12" "Miss Pross"
"19" "13" "Marquis St Evrémonde II"
"20" "14" "Théophile Gabelle"
"21" "27" "Mrs Stryver"
"22" "28" "Foulon"
"23" "28" "The Vengeance"
"24" "40" "Marquis St Evrémonde I"
