"ShannonWiener";"Pielou";"Richness"
1.6094379124341;1;5
1.88669678465808;0.969570350190125;7
2.06797591229398;0.941176397544699;9
2.2274376530947;0.928913651218492;11
2.19889150815436;0.917008984128081;11
2.16186417897159;0.901567388490938;11
2.2661083044163;0.88349046651705;13
2.28578755104665;0.891162838906432;13
2.32702861745635;0.881765087610127;14
2.3460311503533;0.88896558783561;14
2.39134608105707;0.883050868142607;15
2.38280023224294;0.879895147908673;15
2.45377568470623;0.866075154507513;17
2.45520527801002;0.866579738218721;17
2.44338330662328;0.862407101021616;17
2.43240328204256;0.858531634105666;17
2.43968959149173;0.861103381646125;17
2.47375593085307;0.855860815860469;18
2.52905805724841;0.844220319544128;20
2.56952375130623;0.843982530550052;21
2.69850458196934;0.828245741179921;26
2.74516251094134;0.832918200308077;27
2.77473520899271;0.841890943575926;27
2.78163932709231;0.843985743282433;27
2.79993730944798;0.840265746264405;28
2.82309260253239;0.838385679509403;29
2.83391059013323;0.833209682393765;30
2.82272182684263;0.829920028182301;30
2.81470320393831;0.827562439955418;30
2.87304259889442;0.814733087793723;34
2.88354879907567;0.811045430490901;35
2.89547294211043;0.814399291443059;35
2.93556547272002;0.812969317978858;37
2.95527331176217;0.818427165406834;37
2.95215418149137;0.817563360040371;37
2.98836961593311;0.81570064996454;39
3.01187285297347;0.822116056421582;39
3.09346025987477;0.812643691997348;45
3.08955796126561;0.811618568645948;45
3.0867355581989;0.810877130949726;45
3.09476092158497;0.812985372331158;45
3.08917222250056;0.811517236109615;45
3.08259973390903;0.809790661029953;45
3.08766612230474;0.811121587638056;45
3.08218819598479;0.809682551123873;45
3.08085281191885;0.80933174932058;45
3.10352553961249;0.806079626202913;47
3.09974444957249;0.805097562544285;47
3.11673933417335;0.805109144524222;48
3.11125496118445;0.80369243354139;48
