"node_id" "tags" "dpub"
"38" "Anne Steele, Betty, Edward Ferrars, Elinor Dashwood, Lucy Steele, Marianne Dashwood, Martha Sharpe, Miss Godby, Miss Morton, Miss Sparks, Mr Pratt, Mr Richardson, Mr Thomas Palmer, Mrs Jennings, Mrs Richardson, MrsClarke, Sir John Middleton" "38"
"39" "Anne Steele, ColonelBrandon, Edward Ferrars, Elinor Dashwood, Marianne Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Ferrars, Mrs Jennings" "39"
"40" "Betty, ColonelBrandon, Edward Ferrars, Elinor Dashwood, Lucy Steele, Marianne Dashwood, Mrs Charlotte Palmer, Mrs Jennings" "40"
"41" "ColonelBrandon, Edward Ferrars, Lady Mary Middleton, Lucy Steele, Marianne Dashwood, Miss Morton, Mr John Dashwood, Mrs Dashwood, Mrs Fanny Dashwood, Mrs Ferrars, Mrs Jennings" "41"
"42" "ColonelBrandon, Edward Ferrars, John Willoughby, Lucy Steele, Marianne Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Jennings" "42"
"43" "ColonelBrandon, John Willoughby, Marianne Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Dashwood, Mrs Jennings" "43"
"44" "ColonelBrandon, ElizaBrandon, John Willoughby, Marianne Dashwood, Miss Sophia Grey, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Jennings, Sir John Middleton" "44"
"45" "ColonelBrandon, Edward Ferrars, John Willoughby, Marianne Dashwood, Mrs Dashwood, Mrs Jennings, Sir John Middleton, The Miss Careys" "45"
"46" "Anne Steele, ColonelBrandon, ElizaBrandon, John Willoughby, Lucy Steele, Marianne Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "46"
"47" "Anne Steele, ColonelBrandon, Edward Ferrars, ElizaBrandon, John Willoughby, Lucy Steele, Marianne Dashwood, Mr Pratt, Mrs Dashwood, Mrs Ferrars, Sally, Thomas" "47"
"48" "ColonelBrandon, Edward Ferrars, Lucy Steele, Marianne Dashwood, Mr Pratt, Mrs Dashwood, Mrs Ferrars, Mrs Jennings" "48"
"49" "ColonelBrandon, Edward Ferrars, Lucy Steele, Marianne Dashwood, Miss Morton, Mr John Dashwood, Mr Pratt, Mrs Dashwood, Mrs Ferrars, Mrs Jennings, MrsBurgess, Thomas" "49"
"50" "ColonelBrandon, Edward Ferrars, John Willoughby, Lucy Steele, Marianne Dashwood, Miss Morton, Mrs Dashwood, Mrs Fanny Dashwood, Mrs Ferrars, Mrs Jennings, Sir John Middleton" "50"
