"","V1","V2"
"214","31","Edward Dorrit"
"215","31","Fanny Dorrit"
"216","35","Maggy"
"217","19","Mr Frederick Dorrit"
"218","35","Mr John Chivery"
"219","35","Mr Pancks"
"220","31","Mr Plornish"
"221","35","Mr Rugg"
"222","35","Mr William Dorrit"
"223","36","Amy Dorrit"
"224","36","Edward Dorrit"
"225","34","Minnie Meagles"
"226","36","Mr Frederick Dorrit"
"227","36","Mr William Dorrit"
"228","30","Rigaud"
"229","37","Mr William Dorrit"
"230","37","Mrs General"
"231","37","Amy Dorrit"
"232","36","Arthur Clennam"
"233","37","Edward Dorrit"
"234","36","Fanny Dorrit"
"235","34","Henry Gowan"
"236","36","Maggy"
"237","37","Mr Frederick Dorrit"
"238","33","Mr Sparkler"
"239","38","Mr William Dorrit"
"240","38","Mrs General"
"241","34","Mrs Gowan"
"242","33","Mrs Merdle"
"243","37","Rigaud"
"244","39","Amy Dorrit"
"245","39","Arthur Clennam"
"246","39","Fanny Dorrit"
"247","39","Henry Gowan"
"248","31","John Edward Nandy"
"249","39","Maggy"
"250","30","Mrs Clennam"
"251","39","Mrs General"
"252","39","Mrs Gowan"
"253","31","Mrs Plornish"
"254","40","Amy Dorrit"
"255","40","Arthur Clennam"
"256","39","Edward Dorrit"
"257","40","Fanny Dorrit"
"258","40","Henry Gowan"
"259","39","Mr Frederick Dorrit"
"260","33","Mr Merdle"
"261","39","Mr Sparkler"
"262","39","Mr William Dorrit"
"263","40","Mrs General"
"264","40","Mrs Gowan"
"265","39","Mrs Merdle"
"266","41","Amy Dorrit"
"267","41","Edward Dorrit"
"268","41","Fanny Dorrit"
"269","41","Henry Gowan"
"270","37","Minnie Meagles"
"271","41","Mr Merdle"
"272","41","Mr Sparkler"
"273","41","Mr William Dorrit"
"274","41","Mrs General"
"275","41","Mrs Gowan"
"276","41","Mrs Merdle"
"277","39","Rigaud"
"278","42","Amy Dorrit"
"279","42","Fanny Dorrit"
"280","42","Henry Gowan"
"281","42","Minnie Meagles"
"282","34","Mr Meagles"
"283","42","Mr Merdle"
"284","42","Mr Sparkler"
"285","42","Mr William Dorrit"
"286","42","Mrs General"
"287","42","Mrs Gowan"
"288","42","Mrs Merdle"
"289","42","Rigaud"
"290","43","Amy Dorrit"
"291","41","Arthur Clennam"
"292","35","Daniel Doyce"
"293","43","Henry Gowan"
"294","43","Minnie Meagles"
"295","43","Mr Meagles"
"296","43","Mrs Gowan"
"297","34","Mrs Meagles"
"298","44","Amy Dorrit"
"299","44","Arthur Clennam"
"300","36","Christopher Casby"
"301","44","Daniel Doyce"
"302","35","Flora Finching"
"303","28","Harriet Beadle"
"304","44","Henry Gowan"
"305","25","John Baptist Cavalletto"
"306","44","Minnie Meagles"
"307","28","Miss Wade"
"308","44","Mr Meagles"
"309","36","Mr Pancks"
"310","44","Mrs Meagles"
"311","34","Mrs Tickit"
"312","30","Affery Flintwinch"
"313","45","Arthur Clennam"
"314","45","Harriet Beadle"
"315","30","Jeremiah Flintwinch"
"316","45","Miss Wade"
"317","40","Mrs Clennam"
"318","43","Rigaud"
"319","45","Amy Dorrit"
"320","46","Arthur Clennam"
"321","43","Fanny Dorrit"
"322","45","Henry Gowan"
"323","45","Minnie Meagles"
"324","45","Mr Meagles"
"325","45","Mr Pancks"
"326","43","Mrs General"
"327","44","Mrs Gowan"
"328","34","Ferdinand Barnacle"
"329","43","Mr Merdle"
"330","43","Mr Sparkler"
"331","34","Mr Tite Barnacle"
"332","43","Mr William Dorrit"
"333","43","Mrs Merdle"
"334","33","Physician"
"335","47","Arthur Clennam"
"336","45","Daniel Doyce"
"337","45","John Baptist Cavalletto"
"338","40","John Edward Nandy"
"339","40","Maggy"
"340","48","Mr Merdle"
"341","47","Mr Pancks"
"342","36","Mr Plornish"
"343","36","Mr Rugg"
"344","48","Mr William Dorrit"
"345","40","Mrs Plornish"
"346","47","Amy Dorrit"
"347","47","Fanny Dorrit"
"348","47","Henry Gowan"
"349","47","Minnie Meagles"
"350","49","Mr Merdle"
"351","48","Mr Sparkler"
"352","47","Mrs General"
"353","48","Mrs Merdle"
"354","50","Amy Dorrit"
"355","50","Fanny Dorrit"
"356","50","Mr Merdle"
