"Character","Node","Type","Appearances"
"Alfred Jingle",2,"First Appearance",16
"Alfred Jingle",57,"Last Appearance",16
"Angelo Cyrus Bantam",35,"First Appearance",2
"Angelo Cyrus Bantam",37,"Last Appearance",2
"Anthony Humm",33,"Last Appearance",1
"Anthony Humm",33,"First Appearance",1
"Arabella Allen",57,"Last Appearance",12
"Arabella Allen",28,"First Appearance",12
"Augustus Snodgrass",1,"First Appearance",28
"Augustus Snodgrass",57,"Last Appearance",28
"Benjamin Allen",30,"First Appearance",10
"Benjamin Allen",57,"Last Appearance",10
"Betsy",46,"Last Appearance",2
"Betsy",32,"First Appearance",2
"Bill",41,"Last Appearance",1
"Bill",41,"First Appearance",1
"Bob Sawyer",57,"Last Appearance",10
"Bob Sawyer",30,"First Appearance",10
"Boffer",55,"Last Appearance",1
"Boffer",55,"First Appearance",1
"Brooks",19,"Last Appearance",1
"Brooks",19,"First Appearance",1
"Brother Mordlin",33,"Last Appearance",1
"Brother Mordlin",33,"First Appearance",1
"Brother Tadger",33,"Last Appearance",1
"Brother Tadger",33,"First Appearance",1
"Bullman",20,"Last Appearance",1
"Bullman",20,"First Appearance",1
"Chancery Prisoner",42,"First Appearance",3
"Chancery Prisoner",45,"Last Appearance",3
"Charley",20,"Last Appearance",1
"Charley",20,"First Appearance",1
"Clergyman",29,"Last Appearance",6
"Clergyman",6,"First Appearance",6
"Colonel Bulder",4,"Last Appearance",2
"Colonel Bulder",2,"First Appearance",2
"Count Smorltork",15,"First Appearance",1
"Count Smorltork",15,"Last Appearance",1
"Crookey",40,"Last Appearance",1
"Crookey",40,"First Appearance",1
"Daniel Grummer",25,"Last Appearance",2
"Daniel Grummer",24,"First Appearance",2
"Doctor Payne",3,"Last Appearance",2
"Doctor Payne",2,"First Appearance",2
"Doctor Slammer",3,"Last Appearance",2
"Doctor Slammer",2,"First Appearance",2
"Dodson",57,"Last Appearance",13
"Dodson",18,"First Appearance",13
"Dowager Snuphanuph",36,"Last Appearance",2
"Dowager Snuphanuph",35,"First Appearance",2
"Dubbley",25,"Last Appearance",2
"Dubbley",24,"First Appearance",2
"Emily Wardle",57,"Last Appearance",11
"Emily Wardle",4,"First Appearance",11
"Emma",5,"First Appearance",3
"Emma",28,"Last Appearance",3
"Fogg",57,"Last Appearance",13
"Fogg",18,"First Appearance",13
"Frank Simmery",55,"Last Appearance",1
"Frank Simmery",55,"First Appearance",1
"Gabriel Grub",29,"Last Appearance",2
"Gabriel Grub",28,"First Appearance",2
"George Heyling",21,"First Appearance",1
"George Heyling",21,"Last Appearance",1
"Goodwin",18,"Last Appearance",1
"Goodwin",18,"First Appearance",1
"Harris",37,"Last Appearance",1
"Harris",37,"First Appearance",1
"Henry Beller",33,"Last Appearance",1
"Henry Beller",33,"First Appearance",1
"Hon Slumkey",51,"Last Appearance",2
"Hon Slumkey",13,"First Appearance",2
"Hon Snipe",2,"Last Appearance",1
"Hon Snipe",2,"First Appearance",1
"Horatio Fizkin",18,"Last Appearance",2
"Horatio Fizkin",13,"First Appearance",2
"Isabella Wardle",54,"Last Appearance",8
"Isabella Wardle",4,"First Appearance",8
"Jack Bamber",21,"Last Appearance",2
"Jack Bamber",20,"First Appearance",2
"Jack Hopkins",32,"First Appearance",1
"Jack Hopkins",32,"Last Appearance",1
"Jack Martin",49,"First Appearance",1
"Jack Martin",49,"Last Appearance",1
"Jackson",46,"Last Appearance",4
"Jackson",20,"First Appearance",4
"Jane1",5,"Last Appearance",1
"Jane1",5,"First Appearance",1
"Jem Hutley",3,"First Appearance",1
"Jem Hutley",3,"Last Appearance",1
"Job Trotter",16,"First Appearance",10
"Job Trotter",57,"Last Appearance",10
"Joe",56,"Last Appearance",9
"Joe",4,"First Appearance",9
"Joe Smiggers",1,"Last Appearance",1
"Joe Smiggers",1,"First Appearance",1
"John Edmunds",6,"Last Appearance",1
"John Edmunds",6,"First Appearance",1
"John Smauker",37,"Last Appearance",1
"John Smauker",37,"First Appearance",1
"Jonas Mudge",33,"Last Appearance",1
"Jonas Mudge",33,"First Appearance",1
"Kate",17,"Last Appearance",1
"Kate",17,"First Appearance",1
"Lady Clubber",2,"Last Appearance",1
"Lady Clubber",2,"First Appearance",1
"Lieutenant Tappleton",3,"Last Appearance",2
"Lieutenant Tappleton",2,"First Appearance",2
"Lord Mutanhed",35,"First Appearance",2
"Lord Mutanhed",36,"Last Appearance",2
"Lud Hudibaras",36,"Last Appearance",1
"Lud Hudibaras",36,"First Appearance",1
"Maria Lobbs",17,"Last Appearance",1
"Maria Lobbs",17,"First Appearance",1
