"Character","Node"
"Admiral Crawford","31, 4, 43, 36, 27, 6, 24, 7, 30"
"Baddeley","32, 34, 19"
"Betsey Price","39, 40, 41, 37, 38"
"Captain Walsh","38"
"Charles","20, 5"
"Charles Anderson","5"
"Charles Maddox","15, 16, 17"
"Charlie Price","39, 38"
"Colonel Harrison","29"
"Dr Grant","4, 11, 27, 25, 5, 20, 35, 18, 48, 23, 12, 44, 7, 3, 21, 22, 8, 36, 6"
"Edmund Bertram","1, 23, 45, 36, 29, 42, 12, 17, 21, 16, 24, 5, 46, 2, 8, 43, 13, 18, 37, 25, 41, 35, 9, 4, 40, 3, 44, 14, 30, 38, 10, 22, 48, 28, 32, 39, 34, 15, 27, 7, 19, 26, 47, 6, 11, 20"
"Ellis","1"
"Fanny Price","22, 9, 17, 45, 36, 35, 29, 12, 41, 1, 42, 16, 24, 28, 13, 18, 6, 23, 32, 38, 21, 2, 43, 37, 33, 10, 25, 27, 39, 11, 46, 19, 8, 30, 20, 44, 14, 48, 26, 3, 5, 4, 40, 31, 15, 7, 34, 47"
"Henry Crawford","21, 9, 42, 22, 32, 13, 37, 12, 35, 28, 45, 41, 18, 17, 36, 10, 33, 19, 25, 46, 24, 29, 11, 38, 23, 7, 26, 5, 8, 30, 31, 6, 27, 39, 14, 48, 43, 4, 44, 15, 34, 47, 40, 20"
"John Groom","7"
"Johnny Price","39"
"Julia Bertram","21, 29, 33, 12, 22, 35, 28, 30, 6, 18, 38, 17, 8, 10, 32, 1, 36, 47, 23, 13, 7, 2, 3, 45, 48, 14, 4, 26, 19, 20, 5, 11, 16, 9, 46, 44, 40, 15"
"Lady Bertram","44, 2, 38, 1"
"Lady Flora Stornaway","43, 44, 47, 36"
"Lady Prescott","29"
"Lady Ravenshaw","15, 13"
"Lord Ravenshaw","14, 13"
"Lord Stornaway","36"
"Maddison","42"
"Margaret Fraser","36, 41, 44"
"Maria Bertram","12, 32, 35, 44, 22, 29, 28, 33, 25, 13, 5, 19, 10, 47, 23, 45, 18, 6, 48, 11, 1, 38, 43, 14, 2, 17, 15, 34, 8, 30, 46, 26, 4, 16, 40, 7, 20, 21, 9, 3"
"Mary Crawford","42, 44, 38, 22, 29, 18, 48, 32, 37, 36, 10, 23, 13, 45, 43, 12, 46, 14, 25, 26, 8, 35, 30, 6, 41, 11, 40, 24, 47, 7, 28, 27, 16, 9, 5, 4, 19, 34, 15, 17, 21, 31"
"Mary Price","38"
"Miss Anderson","5"
"Miss Augusta Sneyd","5"
"Miss Lee","1, 16, 4, 3, 2"
"Mr Campbell","38"
"Mr Fraser","44, 41, 36"
"Mr Green","7"
"Mr Harding","47"
"Mr Price","38, 1, 41, 43, 46"
"Mr Rushworth","22, 18, 45, 33, 44, 43, 14, 7, 10, 30, 6, 47, 23, 5, 12, 48, 11, 46, 15, 35, 19, 25, 26, 9, 20, 8, 16, 21, 28, 40, 32, 36, 4, 17"
"Mrs Brown","24"
"Mrs Chapman","27"
"Mrs Crawford","4, 30, 7"
"Mrs Holford","5"
"Mrs Janet Fraser","41, 36, 44, 43, 48"
"Mrs Jefferies","7"
"Mrs Norris","23, 13, 27, 2, 3, 38, 29, 47, 39, 31, 22, 48, 32, 12, 28, 1, 24"
"Mrs Rushworth","47"
"Mrs Sneyd","5"
"Mrs. Admiral Maxwell","38"
"Mrs. Frances Price","37, 44, 39, 1, 38, 46, 42, 41, 2"
"Nanny","1, 32"
"Old Scholey","38"
"Rebecca","41, 38, 42, 46"
"Richard Price","39"
"Robert","22"
"Sam Price","39, 38"
"Sir Charles","31"
"Sir Thomas Bertram","33, 46, 37, 5, 47, 18, 6, 7, 42, 1, 29, 39, 8, 30, 26, 23, 20, 35, 45, 48, 11, 24, 19, 2, 12, 28, 3, 36, 34, 15, 4, 38, 13, 25, 21, 27, 16, 32, 31, 17, 44"
"Smith","10, 6"
"Sneyd","5"
"Susan PriceMP","41, 46, 48, 43, 47, 44, 37, 40, 38, 42, 39"
"The Aylmers","45"
"Tom Bertram","45, 20, 46, 6, 15, 19, 2, 14, 38, 47, 3, 1, 18, 36, 13, 4, 16, 48, 12, 17, 44, 5, 21"
"Tom Oliver","15"
"Turner","38"
"William Price","2, 33, 6, 19, 4, 3, 38, 27, 48, 31, 44, 26, 7, 36, 41, 39, 35, 37, 28, 29, 24, 25, 16, 32, 34"
