"source" "target" "tag"
32 35 "Mr William Dorrit"
35 36 "Amy Dorrit"
35 36 "Arthur Clennam"
35 36 "Christopher Casby"
31 36 "Edward Dorrit"
31 36 "Fanny Dorrit"
35 36 "Maggy"
19 36 "Mr Frederick Dorrit"
35 36 "Mr John Chivery"
35 36 "Mr Pancks"
31 36 "Mr Plornish"
35 36 "Mr Rugg"
35 36 "Mr William Dorrit"
36 37 "Amy Dorrit"
36 37 "Edward Dorrit"
34 37 "Minnie Meagles"
36 37 "Mr Frederick Dorrit"
36 37 "Mr William Dorrit"
30 37 "Rigaud"
37 38 "Mr William Dorrit"
37 38 "Mrs General"
37 39 "Amy Dorrit"
36 39 "Arthur Clennam"
37 39 "Edward Dorrit"
36 39 "Fanny Dorrit"
34 39 "Henry Gowan"
36 39 "Maggy"
37 39 "Mr Frederick Dorrit"
33 39 "Mr Sparkler"
38 39 "Mr William Dorrit"
38 39 "Mrs General"
34 39 "Mrs Gowan"
33 39 "Mrs Merdle"
37 39 "Rigaud"
39 40 "Amy Dorrit"
39 40 "Arthur Clennam"
39 40 "Fanny Dorrit"
39 40 "Henry Gowan"
31 40 "John Edward Nandy"
39 40 "Maggy"
30 40 "Mrs Clennam"
39 40 "Mrs General"
39 40 "Mrs Gowan"
31 40 "Mrs Plornish"
40 41 "Amy Dorrit"
40 41 "Arthur Clennam"
39 41 "Edward Dorrit"
40 41 "Fanny Dorrit"
40 41 "Henry Gowan"
39 41 "Mr Frederick Dorrit"
33 41 "Mr Merdle"
39 41 "Mr Sparkler"
39 41 "Mr William Dorrit"
40 41 "Mrs General"
40 41 "Mrs Gowan"
39 41 "Mrs Merdle"
41 42 "Amy Dorrit"
41 42 "Edward Dorrit"
41 42 "Fanny Dorrit"
41 42 "Henry Gowan"
37 42 "Minnie Meagles"
41 42 "Mr Merdle"
41 42 "Mr Sparkler"
41 42 "Mr William Dorrit"
41 42 "Mrs General"
41 42 "Mrs Gowan"
41 42 "Mrs Merdle"
39 42 "Rigaud"
42 43 "Amy Dorrit"
42 43 "Fanny Dorrit"
42 43 "Henry Gowan"
42 43 "Minnie Meagles"
34 43 "Mr Meagles"
42 43 "Mr Merdle"
42 43 "Mr Sparkler"
42 43 "Mr William Dorrit"
42 43 "Mrs General"
42 43 "Mrs Gowan"
42 43 "Mrs Merdle"
42 43 "Rigaud"
43 44 "Amy Dorrit"
41 44 "Arthur Clennam"
35 44 "Daniel Doyce"
43 44 "Henry Gowan"
43 44 "Minnie Meagles"
43 44 "Mr Meagles"
43 44 "Mrs Gowan"
34 44 "Mrs Meagles"
44 45 "Amy Dorrit"
44 45 "Arthur Clennam"
36 45 "Christopher Casby"
44 45 "Daniel Doyce"
35 45 "Flora Finching"
28 45 "Harriet Beadle"
44 45 "Henry Gowan"
25 45 "John Baptist Cavalletto"
44 45 "Minnie Meagles"
28 45 "Miss Wade"
35 45 "Mr F.'s Aunt"
44 45 "Mr Meagles"
36 45 "Mr Pancks"
44 45 "Mrs Meagles"
34 45 "Mrs Tickit"
30 46 "Affery Flintwinch"
45 46 "Arthur Clennam"
45 46 "Harriet Beadle"
30 46 "Jeremiah Flintwinch"
45 46 "Miss Wade"
40 46 "Mrs Clennam"
43 46 "Rigaud"
45 47 "Amy Dorrit"
46 47 "Arthur Clennam"
43 47 "Fanny Dorrit"
45 47 "Henry Gowan"
45 47 "Minnie Meagles"
45 47 "Mr Meagles"
45 47 "Mr Pancks"
43 47 "Mrs General"
44 47 "Mrs Gowan"
34 48 "Ferdinand Barnacle"
43 48 "Mr Merdle"
43 48 "Mr Sparkler"
34 48 "Mr Tite Barnacle"
43 48 "Mr William Dorrit"
43 48 "Mrs Merdle"
33 48 "Physician"
47 49 "Arthur Clennam"
45 49 "Daniel Doyce"
45 49 "John Baptist Cavalletto"
40 49 "John Edward Nandy"
40 49 "Maggy"
48 49 "Mr Merdle"
47 49 "Mr Pancks"
36 49 "Mr Plornish"
36 49 "Mr Rugg"
48 49 "Mr William Dorrit"
40 49 "Mrs Plornish"
47 50 "Amy Dorrit"
47 50 "Fanny Dorrit"
47 50 "Henry Gowan"
47 50 "Minnie Meagles"
49 50 "Mr Merdle"
48 50 "Mr Sparkler"
47 50 "Mrs General"
48 50 "Mrs Merdle"
50 51 "Amy Dorrit"
50 51 "Fanny Dorrit"
50 51 "Mr Merdle"
50 51 "Mr Sparkler"
