"source" "target" "tag"
29 30 "Miss Snevellicci"
23 30 "Mr Bulph"
29 30 "Mr Crummles"
29 30 "Mr Folair"
29 30 "Mr Lenville"
25 30 "Mr Lillyvick"
29 30 "Mrs Crummles"
29 30 "Mrs Grudden"
29 30 "Newman Noggs"
29 30 "Nicholas Nickleby"
29 30 "Ninetta Crummles"
29 30 "Smike"
25 30 "The Master Crummleses"
29 31 "Kate Nickleby"
27 31 "Miss La Creevy"
29 31 "Mrs Nickleby"
30 31 "Newman Noggs"
30 31 "Nicholas Nickleby"
29 31 "Ralph Nickleby"
31 32 "Kate Nickleby"
28 32 "Lord Frederick Verisopht"
31 32 "Miss La Creevy"
15 32 "Mr Crowl"
31 32 "Mrs Nickleby"
31 32 "Newman Noggs"
31 32 "Nicholas Nickleby"
31 32 "Ralph Nickleby"
28 32 "Sir Mulberry Hawk"
30 32 "Smike"
28 33 "Henry Wititterly"
32 33 "Kate Nickleby"
32 33 "Miss La Creevy"
28 33 "Mr Pluck"
28 33 "Mr Pyke"
32 33 "Mrs Nickleby"
32 33 "Newman Noggs"
32 33 "Nicholas Nickleby"
32 33 "Ralph Nickleby"
32 33 "Sir Mulberry Hawk"
28 33 "Sir Tumley Snuffim"
32 33 "Smike"
33 34 "Kate Nickleby"
21 34 "Madame Mantalini"
21 34 "Miss Knag"
21 34 "Mr Mantalini"
33 34 "Mr Pyke"
13 34 "Mrs Squeers"
33 34 "Newman Noggs"
33 34 "Nicholas Nickleby"
33 34 "Ralph Nickleby"
33 34 "Sir Mulberry Hawk"
29 34 "Wackford Squeers"
13 34 "Wackford SqueersJunior"
34 35 "Kate Nickleby"
33 35 "Miss La Creevy"
30 35 "Mr Crummles"
34 35 "Mr Pyke"
30 35 "Mrs Grudden"
33 35 "Mrs Nickleby"
34 35 "Newman Noggs"
34 35 "Nicholas Nickleby"
34 35 "Sir Mulberry Hawk"
33 35 "Smike"
30 36 "Henrietta Petowker"
16 36 "Morleena Kenwigs"
16 36 "Mr Kenwigs"
16 36 "Mrs Kenwigs"
35 36 "Nicholas Nickleby"
25 36 "The Misses Kenwigses"
35 37 "Charles Cheeryble"
35 37 "Edwin Cheeryble"
35 37 "Kate Nickleby"
35 37 "Mrs Nickleby"
36 37 "Nicholas Nickleby"
34 37 "Ralph Nickleby"
35 37 "Smike"
35 37 "Tim Linkinwater"
37 38 "Kate Nickleby"
32 38 "Lord Frederick Verisopht"
35 38 "Miss La Creevy"
33 38 "Mr Pluck"
35 38 "Mr Pyke"
5 38 "Mr Snawley"
37 38 "Mrs Nickleby"
34 38 "Mrs Squeers"
37 38 "Nicholas Nickleby"
37 38 "Ralph Nickleby"
35 38 "Sir Mulberry Hawk"
37 38 "Smike"
34 38 "Wackford Squeers"
34 38 "Wackford SqueersJunior"
30 39 "Fanny Squeers"
29 39 "John Browdie"
12 39 "Matilda Price"
38 39 "Smike"
38 39 "Wackford Squeers"
38 39 "Wackford SqueersJunior"
37 40 "Charles Cheeryble"
37 40 "Edwin Cheeryble"
39 40 "John Browdie"
38 40 "Kate Nickleby"
38 40 "Mrs Nickleby"
35 40 "Newman Noggs"
38 40 "Nicholas Nickleby"
30 40 "Ninetta Crummles"
38 40 "Ralph Nickleby"
39 40 "Smike"
37 40 "Tim Linkinwater"
39 40 "Wackford Squeers"
40 41 "Kate Nickleby"
40 41 "Mrs Nickleby"
40 41 "Nicholas Nickleby"
40 41 "Smike"
39 42 "Fanny Squeers"
40 42 "John Browdie"
39 42 "Matilda Price"
41 42 "Nicholas Nickleby"
