"","V1","V2"
"157","James Steerforth","Mrs Fibbitson"
"158","James Steerforth","Tommy Traddles"
"159","James Steerforth","Topsawyer"
"160","Jane Murdstone","Miss Creakle"
"161","Jane Murdstone","Mr Creakle"
"162","Jane Murdstone","Mr Mell"
"163","Jane Murdstone","Mrs Creakle"
"164","Jane Murdstone","Mrs Fibbitson"
"165","Jane Murdstone","Tommy Traddles"
"166","Jane Murdstone","Topsawyer"
"167","Little Emily","Miss Creakle"
"168","Little Emily","Mr Creakle"
"169","Little Emily","Mr Mell"
"170","Little Emily","Mrs Creakle"
"171","Little Emily","Mrs Fibbitson"
"172","Little Emily","Tommy Traddles"
"173","Little Emily","Topsawyer"
"174","Miss Creakle","Mr Creakle"
"175","Miss Creakle","Mr Mell"
"176","Miss Creakle","Mr Murdstone"
"177","Miss Creakle","Mrs Creakle"
"178","Miss Creakle","Mrs Fibbitson"
"179","Miss Creakle","Tommy Traddles"
"180","Miss Creakle","Topsawyer"
"181","Mr Creakle","Mr Mell"
"182","Mr Creakle","Mr Murdstone"
"183","Mr Creakle","Mrs Creakle"
"184","Mr Creakle","Mrs Fibbitson"
"185","Mr Creakle","Tommy Traddles"
"186","Mr Creakle","Topsawyer"
"187","Mr Mell","Mr Murdstone"
"188","Mr Mell","Mrs Creakle"
"189","Mr Mell","Mrs Fibbitson"
"190","Mr Mell","Tommy Traddles"
"191","Mr Mell","Topsawyer"
"192","Mr Murdstone","Mrs Creakle"
"193","Mr Murdstone","Mrs Fibbitson"
"194","Mr Murdstone","Tommy Traddles"
"195","Mr Murdstone","Topsawyer"
"196","Mrs Creakle","Mrs Fibbitson"
"197","Mrs Creakle","Tommy Traddles"
"198","Mrs Creakle","Topsawyer"
"199","Mrs Fibbitson","Tommy Traddles"
"200","Mrs Fibbitson","Topsawyer"
"201","Tommy Traddles","Topsawyer"
"202","Clara Copperfield","Mr Sharp"
"203","Clara Copperfield","Mrs Mell"
"204","Clara Copperfield","Tungay"
"205","Clara Peggotty","Mr Sharp"
"206","Clara Peggotty","Mrs Mell"
"207","Clara Peggotty","Tungay"
"208","David Copperfield","Mr Sharp"
"209","David Copperfield","Mrs Mell"
"210","David Copperfield","Tungay"
"211","James Steerforth","Mr Sharp"
"212","James Steerforth","Mrs Mell"
"213","James Steerforth","Tungay"
