"id1" "id2" "label"
"128" "Allan Woodcourt" "Woolwich Bagnet" 1
"129" "Arethusa Skimpole" "Charley" 1
"130" "Arethusa Skimpole" "Coavinses" 1
"131" "Arethusa Skimpole" "Esther Summerson" 2
"132" "Arethusa Skimpole" "John Jarndyce" 2
"133" "Arethusa Skimpole" "Kitty Skimpole" 2
"134" "Arethusa Skimpole" "Lady Dedlock" 1
"135" "Arethusa Skimpole" "Laura Skimpole" 2
"136" "Arethusa Skimpole" "Lawrence Boythorn" 1
"137" "Arethusa Skimpole" "Mr Skimpole" 2
"138" "Arethusa Skimpole" "Mrs Skimpole" 1
"139" "Arethusa Skimpole" "Mrs Woodcourt" 1
"140" "Arethusa Skimpole" "Richard Carstone" 2
"141" "Arethusa Skimpole" "Sir Dedlock" 1
"142" "Arethusa Skimpole" "Vholes" 1
"143" "Bartholomew Smallweed" "Captain Hawden" 1
"144" "Bartholomew Smallweed" "Caroline Caddy" 1
"145" "Bartholomew Smallweed" "Charley" 1
"146" "Bartholomew Smallweed" "Conversation Kenge" 1
"147" "Bartholomew Smallweed" "Emma Neckett" 1
"148" "Bartholomew Smallweed" "George Rouncewell" 1
"149" "Bartholomew Smallweed" "Grandfather Smallweed" 4
"150" "Bartholomew Smallweed" "James George Bogsby" 1
"151" "Bartholomew Smallweed" "Jobling" 3
"152" "Bartholomew Smallweed" "John Jarndyce" 1
"153" "Bartholomew Smallweed" "Judy Smallweed" 3
"154" "Bartholomew Smallweed" "Krook" 3
"155" "Bartholomew Smallweed" "Lady Dedlock" 2
"156" "Bartholomew Smallweed" "Little Swills" 2
"157" "Bartholomew Smallweed" "Mercury" 1
"158" "Bartholomew Smallweed" "Miss Flite" 2
"159" "Bartholomew Smallweed" "Mr Skimpole" 1
"160" "Bartholomew Smallweed" "Mr Snagsby" 2
"161" "Bartholomew Smallweed" "Mr Tulkinghorn" 3
"162" "Bartholomew Smallweed" "Mrs Perkins" 3
"163" "Bartholomew Smallweed" "Mrs Piper" 3
"164" "Bartholomew Smallweed" "Mrs Smallweed" 3
"165" "Bartholomew Smallweed" "Mrs Snagsby" 2
"166" "Bartholomew Smallweed" "Phil Squod" 1
"167" "Bartholomew Smallweed" "Polly" 1
"168" "Bartholomew Smallweed" "Richard Carstone" 2
"169" "Bartholomew Smallweed" "Vholes" 1
"170" "Bartholomew Smallweed" "William Guppy" 4
"171" "Bob Stables" "George Rouncewell" 1
"172" "Bob Stables" "Inspector Bucket" 1
"173" "Bob Stables" "Lady Dedlock" 4
"174" "Bob Stables" "Lord Boodle" 1
"175" "Bob Stables" "Mercury" 2
"176" "Bob Stables" "Mr Rouncewell" 2
"177" "Bob Stables" "Mr Tulkinghorn" 3
"178" "Bob Stables" "Mrs Rouncewell" 3
"179" "Bob Stables" "Rosa" 1
"180" "Bob Stables" "Sir Dedlock" 4
"181" "Bob Stables" "Sladdery" 2
"182" "Bob Stables" "Thomas" 1
"183" "Bob Stables" "Volumnia Dedlock" 3
"184" "Bob Stables" "William Buffy" 2
"185" "Captain Hawden" "Caroline Caddy" 1
"186" "Captain Hawden" "Charley" 1
"187" "Captain Hawden" "Coavinses" 1
"188" "Captain Hawden" "Esther Summerson" 1
"189" "Captain Hawden" "George Rouncewell" 3
"190" "Captain Hawden" "Grandfather Smallweed" 4
"191" "Captain Hawden" "Guster" 2
"192" "Captain Hawden" "Inspector Bucket" 2
"193" "Captain Hawden" "Jo" 3
"194" "Captain Hawden" "Jobling" 1
"195" "Captain Hawden" "John Jarndyce" 2
"196" "Captain Hawden" "Judy Smallweed" 3
"197" "Captain Hawden" "Krook" 5
"198" "Captain Hawden" "Lady Dedlock" 2
"199" "Captain Hawden" "Little Swills" 1
"200" "Captain Hawden" "Mademoiselle Hortense" 1
"201" "Captain Hawden" "Malta Bagnet" 1
"202" "Captain Hawden" "Matthew Bagnet" 1
"203" "Captain Hawden" "Mercury" 2
"204" "Captain Hawden" "Miss Barbary" 1
"205" "Captain Hawden" "Miss Flite" 1
"206" "Captain Hawden" "Mooney" 1
"207" "Captain Hawden" "Mr Gridley" 2
"208" "Captain Hawden" "Mr Quale" 1
"209" "Captain Hawden" "Mr Snagsby" 3
"210" "Captain Hawden" "Mr Tulkinghorn" 6
"211" "Captain Hawden" "Mrs Bagnet" 1
"212" "Captain Hawden" "Mrs Bucket" 1
"213" "Captain Hawden" "Mrs Chadband" 1
"214" "Captain Hawden" "Mrs Jellyby" 1
"215" "Captain Hawden" "Mrs Perkins" 1
"216" "Captain Hawden" "Mrs Piper" 1
"217" "Captain Hawden" "Mrs Smallweed" 2
"218" "Captain Hawden" "Mrs Snagsby" 3
"219" "Captain Hawden" "Peepy Jellby" 1
"220" "Captain Hawden" "Peffer" 1
"221" "Captain Hawden" "Phil Squod" 2
"222" "Captain Hawden" "Priscilla" 1
"223" "Captain Hawden" "Quebec Bagnet" 1
"224" "Captain Hawden" "Reverend Chadband" 1
"225" "Captain Hawden" "Richard Carstone" 1
"226" "Captain Hawden" "Sir Dedlock" 3
"227" "Captain Hawden" "William Guppy" 3
"228" "Captain Hawden" "Woolwich Bagnet" 1
"229" "Captain Swosser" "Caroline Caddy" 1
"230" "Captain Swosser" "Conversation Kenge" 2
"231" "Captain Swosser" "Esther Summerson" 2
"232" "Captain Swosser" "John Jarndyce" 2
"233" "Captain Swosser" "Lawrence Boythorn" 1
"234" "Captain Swosser" "Miss Flite" 1
"235" "Captain Swosser" "Mr Badger" 2
"236" "Captain Swosser" "Mrs Badger" 2
"237" "Captain Swosser" "Mrs Woodcourt" 1
"238" "Captain Swosser" "Prince Turvey" 1
"239" "Captain Swosser" "Professor Dingo" 2
"240" "Captain Swosser" "Richard Carstone" 2
"241" "Captain Swosser" "William Guppy" 1
"242" "Caroline Caddy" "Charley" 6
"243" "Caroline Caddy" "Coavinses" 2
"244" "Caroline Caddy" "Conversation Kenge" 8
"245" "Caroline Caddy" "Emma Neckett" 4
"246" "Caroline Caddy" "Esther Summerson" 13
"247" "Caroline Caddy" "Grandfather Smallweed" 1
"248" "Caroline Caddy" "Jenny" 1
"249" "Caroline Caddy" "Jobling" 1
"250" "Caroline Caddy" "John Jarndyce" 14
"251" "Caroline Caddy" "Judy Smallweed" 1
"252" "Caroline Caddy" "Krook" 3
"253" "Caroline Caddy" "Lady Dedlock" 3
"254" "Caroline Caddy" "Lawrence Boythorn" 3
"255" "Caroline Caddy" "Little Swills" 1
"256" "Caroline Caddy" "Mademoiselle Hortense" 1
"257" "Caroline Caddy" "Miss Flite" 7
"258" "Caroline Caddy" "Miss Wisk" 1
"259" "Caroline Caddy" "Mr Badger" 4
"260" "Caroline Caddy" "Mr Gridley" 1
"261" "Caroline Caddy" "Mr Grubble" 1
"262" "Caroline Caddy" "Mr Jellyby" 7
"263" "Caroline Caddy" "Mr Quale" 5
"264" "Caroline Caddy" "Mr Skimpole" 3
"265" "Caroline Caddy" "Mr Tulkinghorn" 1
"266" "Caroline Caddy" "Mr Turveydrop" 6
"267" "Caroline Caddy" "Mrs Badger" 2
"268" "Caroline Caddy" "Mrs Blinder" 1
"269" "Caroline Caddy" "Mrs Guppy" 1
"270" "Caroline Caddy" "Mrs Jellyby" 9
"271" "Caroline Caddy" "Mrs Pardiggle" 1
"272" "Caroline Caddy" "Mrs Perkins" 1
"273" "Caroline Caddy" "Mrs Piper" 1
"274" "Caroline Caddy" "Mrs Skimpole" 1
"275" "Caroline Caddy" "Mrs Smallweed" 1
"276" "Caroline Caddy" "Mrs Woodcourt" 2
"277" "Caroline Caddy" "Peepy Jellby" 9
"278" "Caroline Caddy" "Prince Turvey" 6
"279" "Caroline Caddy" "Priscilla" 2
"280" "Caroline Caddy" "Professor Dingo" 1
"281" "Caroline Caddy" "Richard Carstone" 14
"282" "Caroline Caddy" "Tom Neckett" 2
"283" "Caroline Caddy" "Vholes" 4
"284" "Caroline Caddy" "William Guppy" 4
"285" "Charley" "Coavinses" 3
"286" "Charley" "Conversation Kenge" 2
"287" "Charley" "Emma Neckett" 5
"288" "Charley" "Esther Summerson" 13
"289" "Charley" "George Rouncewell" 1
"290" "Charley" "Grandfather Smallweed" 2
"291" "Charley" "Inspector Bucket" 2
"292" "Charley" "Jenny" 3
"293" "Charley" "Jo" 3
"294" "Charley" "Jobling" 1
"295" "Charley" "John Jarndyce" 13
"296" "Charley" "Judy Smallweed" 1
"297" "Charley" "Kitty Skimpole" 1
"298" "Charley" "Krook" 1
"299" "Charley" "Lady Dedlock" 4
"300" "Charley" "Laura Skimpole" 1
"301" "Charley" "Lawrence Boythorn" 6
"302" "Charley" "Liz" 2
"303" "Charley" "Mademoiselle Hortense" 1
"304" "Charley" "Miss Flite" 4
"305" "Charley" "Miss Wisk" 1
"306" "Charley" "Mr Badger" 1
"307" "Charley" "Mr Gridley" 2
"308" "Charley" "Mr Grubble" 1
"309" "Charley" "Mr Gusher" 1
"310" "Charley" "Mr Jellyby" 3
"311" "Charley" "Mr Quale" 3
"312" "Charley" "Mr Skimpole" 6
"313" "Charley" "Mr Tulkinghorn" 3
"314" "Charley" "Mr Turveydrop" 3
"315" "Charley" "Mrs Badger" 1
"316" "Charley" "Mrs Blinder" 3
"317" "Charley" "Mrs Chadband" 1
"318" "Charley" "Mrs Guppy" 1
"319" "Charley" "Mrs Jellyby" 4
"320" "Charley" "Mrs Pardiggle" 2
"321" "Charley" "Mrs Smallweed" 1
"322" "Charley" "Mrs Snagsby" 1
"323" "Charley" "Mrs Woodcourt" 5
"324" "Charley" "Peepy Jellby" 3
"325" "Charley" "Phil Squod" 1
"326" "Charley" "Prince Turvey" 2
"327" "Charley" "Richard Carstone" 11
"328" "Charley" "Sir Dedlock" 3
"329" "Charley" "Tom Neckett" 4
"330" "Charley" "Vholes" 4
"331" "Charley" "William Guppy" 4
"332" "Coavinses" "Conversation Kenge" 2
"333" "Coavinses" "Emma Neckett" 2
"334" "Coavinses" "Esther Summerson" 4
"335" "Coavinses" "Guster" 1
"336" "Coavinses" "John Jarndyce" 5
"337" "Coavinses" "Kitty Skimpole" 1
"338" "Coavinses" "Krook" 1
"339" "Coavinses" "Lady Dedlock" 2
"340" "Coavinses" "Laura Skimpole" 1
"341" "Coavinses" "Lawrence Boythorn" 3
"342" "Coavinses" "Mr Gridley" 1
"343" "Coavinses" "Mr Grubble" 1
"344" "Coavinses" "Mr Gusher" 1
"345" "Coavinses" "Mr Quale" 1
"346" "Coavinses" "Mr Skimpole" 5
"347" "Coavinses" "Mr Snagsby" 1
"348" "Coavinses" "Mr Tulkinghorn" 2
"349" "Coavinses" "Mrs Blinder" 1
"350" "Coavinses" "Mrs Guppy" 1
"351" "Coavinses" "Mrs Jellyby" 2
"352" "Coavinses" "Mrs Pardiggle" 1
"353" "Coavinses" "Mrs Skimpole" 1
"354" "Coavinses" "Mrs Snagsby" 1
"355" "Coavinses" "Mrs Woodcourt" 1
"356" "Coavinses" "Peepy Jellby" 1
"357" "Coavinses" "Peffer" 1
"358" "Coavinses" "Richard Carstone" 4
"359" "Coavinses" "Sir Dedlock" 1
"360" "Coavinses" "Tom Neckett" 1
"361" "Coavinses" "Vholes" 1
"362" "Coavinses" "William Guppy" 1
"363" "Conversation Kenge" "Emma Neckett" 1
"364" "Conversation Kenge" "Esther Summerson" 13
"365" "Conversation Kenge" "George Rouncewell" 1
"366" "Conversation Kenge" "Grandfather Smallweed" 2
"367" "Conversation Kenge" "Inspector Bucket" 2
"368" "Conversation Kenge" "Jenny" 1
"369" "Conversation Kenge" "Jobling" 1
"370" "Conversation Kenge" "John Jarndyce" 14
"371" "Conversation Kenge" "Judy Smallweed" 1
"372" "Conversation Kenge" "Krook" 3
"373" "Conversation Kenge" "Lady Dedlock" 3
"374" "Conversation Kenge" "Lawrence Boythorn" 4
"375" "Conversation Kenge" "Little Swills" 1
"376" "Conversation Kenge" "Mademoiselle Hortense" 1
"377" "Conversation Kenge" "Miss Barbary" 1
"378" "Conversation Kenge" "Miss Donny" 1
"379" "Conversation Kenge" "Miss Flite" 5
"380" "Conversation Kenge" "Mr Badger" 4
"381" "Conversation Kenge" "Mr Gridley" 2
"382" "Conversation Kenge" "Mr Jellyby" 3
"383" "Conversation Kenge" "Mr Quale" 2
"384" "Conversation Kenge" "Mr Rouncewell" 1
"385" "Conversation Kenge" "Mr Skimpole" 4
"386" "Conversation Kenge" "Mr Tulkinghorn" 2
"387" "Conversation Kenge" "Mr Turveydrop" 2
"388" "Conversation Kenge" "Mrs Badger" 2
"389" "Conversation Kenge" "Mrs Chadband" 2
"390" "Conversation Kenge" "Mrs Guppy" 2
"391" "Conversation Kenge" "Mrs Jellyby" 4
"392" "Conversation Kenge" "Mrs Perkins" 1
"393" "Conversation Kenge" "Mrs Piper" 1
"394" "Conversation Kenge" "Mrs Skimpole" 2
"395" "Conversation Kenge" "Mrs Smallweed" 1
"396" "Conversation Kenge" "Mrs Woodcourt" 2
"397" "Conversation Kenge" "Peepy Jellby" 4
"398" "Conversation Kenge" "Phil Squod" 1
"399" "Conversation Kenge" "Prince Turvey" 3
"400" "Conversation Kenge" "Priscilla" 1
"401" "Conversation Kenge" "Professor Dingo" 2
"402" "Conversation Kenge" "Richard Carstone" 13
"403" "Conversation Kenge" "Sir Dedlock" 3
"404" "Conversation Kenge" "Vholes" 3
"405" "Conversation Kenge" "William Guppy" 8
"406" "Darby" "Guster" 1
"407" "Darby" "Inspector Bucket" 1
"408" "Darby" "Jenny" 1
"409" "Darby" "Jo" 1
"410" "Darby" "Liz" 1
"411" "Darby" "Mademoiselle Hortense" 1
"412" "Darby" "Mr Gridley" 1
"413" "Darby" "Mr Snagsby" 1
"414" "Darby" "Mr Tulkinghorn" 1
"415" "Darby" "Mrs Snagsby" 1
"416" "Egbert Pardiggle" "Esther Summerson" 1
"417" "Egbert Pardiggle" "Francis Pardiggle" 1
"418" "Egbert Pardiggle" "Jenny" 1
"419" "Egbert Pardiggle" "John Jarndyce" 1
"420" "Egbert Pardiggle" "Mr Gusher" 1
"421" "Egbert Pardiggle" "Mr Jellyby" 1
"422" "Egbert Pardiggle" "Mr Pardiggle" 1
"423" "Egbert Pardiggle" "Mr Skimpole" 1
"424" "Egbert Pardiggle" "Mrs Jellyby" 1
"425" "Egbert Pardiggle" "Mrs Pardiggle" 1
"426" "Egbert Pardiggle" "Oswald Pardiggle" 1
"427" "Egbert Pardiggle" "Richard Carstone" 1
"428" "Emma Neckett" "Esther Summerson" 3
"429" "Emma Neckett" "Grandfather Smallweed" 1
"430" "Emma Neckett" "Jenny" 1
"431" "Emma Neckett" "Jo" 1
"432" "Emma Neckett" "Jobling" 1
"433" "Emma Neckett" "John Jarndyce" 4
"434" "Emma Neckett" "Judy Smallweed" 1
"435" "Emma Neckett" "Krook" 1
"436" "Emma Neckett" "Lady Dedlock" 3
"437" "Emma Neckett" "Lawrence Boythorn" 3
"438" "Emma Neckett" "Little Swills" 1
"439" "Emma Neckett" "Liz" 1
"440" "Emma Neckett" "Mademoiselle Hortense" 1
"441" "Emma Neckett" "Miss Flite" 1
"442" "Emma Neckett" "Mr Badger" 1
"443" "Emma Neckett" "Mr Gridley" 1
"444" "Emma Neckett" "Mr Grubble" 1
"445" "Emma Neckett" "Mr Gusher" 1
"446" "Emma Neckett" "Mr Jellyby" 2
"447" "Emma Neckett" "Mr Quale" 2
"448" "Emma Neckett" "Mr Skimpole" 4
"449" "Emma Neckett" "Mr Tulkinghorn" 2
"450" "Emma Neckett" "Mr Turveydrop" 2
"451" "Emma Neckett" "Mrs Blinder" 3
"452" "Emma Neckett" "Mrs Jellyby" 3
"453" "Emma Neckett" "Mrs Pardiggle" 1
"454" "Emma Neckett" "Mrs Perkins" 1
"455" "Emma Neckett" "Mrs Piper" 1
"456" "Emma Neckett" "Mrs Smallweed" 1
"457" "Emma Neckett" "Mrs Snagsby" 1
"458" "Emma Neckett" "Peepy Jellby" 2
"459" "Emma Neckett" "Prince Turvey" 1
"460" "Emma Neckett" "Richard Carstone" 4
"461" "Emma Neckett" "Tom Neckett" 4
"462" "Emma Neckett" "Vholes" 2
"463" "Emma Neckett" "William Guppy" 1
"464" "Esther Summerson" "Francis Pardiggle" 1
"465" "Esther Summerson" "George Rouncewell" 2
"466" "Esther Summerson" "Grandfather Smallweed" 1
"467" "Esther Summerson" "Guster" 2
"468" "Esther Summerson" "Inspector Bucket" 6
"469" "Esther Summerson" "Jenny" 3
"470" "Esther Summerson" "Jo" 4
"471" "Esther Summerson" "Jobling" 1
"472" "Esther Summerson" "John Jarndyce" 29
"473" "Esther Summerson" "Kitty Skimpole" 2
"474" "Esther Summerson" "Krook" 4
"475" "Esther Summerson" "Lady Dedlock" 10
"476" "Esther Summerson" "Laura Skimpole" 2
"477" "Esther Summerson" "Lawrence Boythorn" 9
"478" "Esther Summerson" "Little Swills" 1
"479" "Esther Summerson" "Liz" 1
"480" "Esther Summerson" "Mademoiselle Hortense" 2
"481" "Esther Summerson" "Mercury" 1
"482" "Esther Summerson" "Miss Barbary" 2
"483" "Esther Summerson" "Miss Donny" 1
"484" "Esther Summerson" "Miss Flite" 10
"485" "Esther Summerson" "Miss Wisk" 1
"486" "Esther Summerson" "Mr Badger" 6
"487" "Esther Summerson" "Mr Gridley" 4
"488" "Esther Summerson" "Mr Grubble" 1
"489" "Esther Summerson" "Mr Gusher" 1
"490" "Esther Summerson" "Mr Jellyby" 8
"491" "Esther Summerson" "Mr Pardiggle" 1
"492" "Esther Summerson" "Mr Quale" 4
"493" "Esther Summerson" "Mr Rouncewell" 3
"494" "Esther Summerson" "Mr Skimpole" 9
"495" "Esther Summerson" "Mr Snagsby" 2
"496" "Esther Summerson" "Mr Tulkinghorn" 6
"497" "Esther Summerson" "Mr Turveydrop" 6
"498" "Esther Summerson" "Mrs Badger" 3
"499" "Esther Summerson" "Mrs Blinder" 1
"500" "Esther Summerson" "Mrs Chadband" 4
"501" "Esther Summerson" "Mrs Guppy" 3
"502" "Esther Summerson" "Mrs Jellyby" 9
"503" "Esther Summerson" "Mrs Pardiggle" 2
"504" "Esther Summerson" "Mrs Rouncewell" 2
"505" "Esther Summerson" "Mrs Skimpole" 3
"506" "Esther Summerson" "Mrs Snagsby" 2
"507" "Esther Summerson" "Mrs Woodcourt" 7
"508" "Esther Summerson" "Oswald Pardiggle" 1
"509" "Esther Summerson" "Peepy Jellby" 8
"510" "Esther Summerson" "Phil Squod" 2
"511" "Esther Summerson" "Prince Turvey" 6
"512" "Esther Summerson" "Priscilla" 1
"513" "Esther Summerson" "Professor Dingo" 2
"514" "Esther Summerson" "Reverend Chadband" 1
"515" "Esther Summerson" "Richard Carstone" 26
"516" "Esther Summerson" "Rosa" 2
"517" "Esther Summerson" "Sir Dedlock" 10
"518" "Esther Summerson" "Tom Neckett" 2
"519" "Esther Summerson" "Vholes" 7
"520" "Esther Summerson" "Volumnia Dedlock" 1
"521" "Esther Summerson" "Watt Rouncewell" 2
"522" "Esther Summerson" "William Guppy" 12
"523" "Francis Pardiggle" "Jenny" 1
"524" "Francis Pardiggle" "John Jarndyce" 1
"525" "Francis Pardiggle" "Mr Gusher" 1
"526" "Francis Pardiggle" "Mr Jellyby" 1
"527" "Francis Pardiggle" "Mr Pardiggle" 1
"528" "Francis Pardiggle" "Mr Skimpole" 1
"529" "Francis Pardiggle" "Mrs Jellyby" 1
"530" "Francis Pardiggle" "Mrs Pardiggle" 1
"531" "Francis Pardiggle" "Oswald Pardiggle" 1
"532" "Francis Pardiggle" "Richard Carstone" 1
"533" "George Rouncewell" "Grandfather Smallweed" 4
"534" "George Rouncewell" "Inspector Bucket" 5
"535" "George Rouncewell" "Jo" 1
"536" "George Rouncewell" "John Jarndyce" 2
"537" "George Rouncewell" "Judy Smallweed" 5
"538" "George Rouncewell" "Lady Dedlock" 1
"539" "George Rouncewell" "Malta Bagnet" 3
"540" "George Rouncewell" "Matthew Bagnet" 4
"541" "George Rouncewell" "Miss Flite" 2
"542" "George Rouncewell" "Mr Gridley" 6
"543" "George Rouncewell" "Mr Rouncewell" 1
"544" "George Rouncewell" "Mr Snagsby" 1
"545" "George Rouncewell" "Mr Tulkinghorn" 6
"546" "George Rouncewell" "Mrs Bagnet" 4
"547" "George Rouncewell" "Mrs Blinder" 1
"548" "George Rouncewell" "Mrs Bucket" 1
"549" "George Rouncewell" "Mrs Chadband" 1
"550" "George Rouncewell" "Mrs Jellyby" 1
"551" "George Rouncewell" "Mrs Pardiggle" 1
"552" "George Rouncewell" "Mrs Rouncewell" 2
"553" "George Rouncewell" "Mrs Smallweed" 2
"554" "George Rouncewell" "Mrs Snagsby" 1
"555" "George Rouncewell" "Phil Squod" 5
"556" "George Rouncewell" "Quebec Bagnet" 3
"557" "George Rouncewell" "Richard Carstone" 1
"558" "George Rouncewell" "Rosa" 1
"559" "George Rouncewell" "Sir Dedlock" 5
"560" "George Rouncewell" "Sladdery" 1
"561" "George Rouncewell" "Volumnia Dedlock" 1
"562" "George Rouncewell" "Watt Rouncewell" 1
"563" "George Rouncewell" "William Buffy" 1
"564" "George Rouncewell" "William Guppy" 2
"565" "George Rouncewell" "Woolwich Bagnet" 4
"566" "Grandfather Smallweed" "Inspector Bucket" 3
"567" "Grandfather Smallweed" "James George Bogsby" 1
"568" "Grandfather Smallweed" "Jo" 1
"569" "Grandfather Smallweed" "Jobling" 4
