"id1" "id2" "label"
"124" "Anthony Humm" "Tom Wildspark" 1
"125" "Anthony Humm" "Tony Weller" 1
"126" "Arabella Allen" "Augustus Snodgrass" 6
"127" "Arabella Allen" "Benjamin Allen" 7
"128" "Arabella Allen" "Betsy" 1
"129" "Arabella Allen" "Bob Sawyer" 8
"130" "Arabella Allen" "Clergyman" 1
"131" "Arabella Allen" "Dodson" 4
"132" "Arabella Allen" "Emily Wardle" 5
"133" "Arabella Allen" "Emma" 1
"134" "Arabella Allen" "Fogg" 4
"135" "Arabella Allen" "Gabriel Grub" 1
"136" "Arabella Allen" "Isabella Wardle" 3
"137" "Arabella Allen" "Jack Hopkins" 1
"138" "Arabella Allen" "Job Trotter" 3
"139" "Arabella Allen" "Joe" 4
"140" "Arabella Allen" "Martha Bardell" 3
"141" "Arabella Allen" "Mary" 6
"142" "Arabella Allen" "Mr Dowler" 2
"143" "Arabella Allen" "Mr Gunter" 1
"144" "Arabella Allen" "Mr Lowten" 3
"145" "Arabella Allen" "Mr Noddy" 1
"146" "Arabella Allen" "Mr Nupkins" 1
"147" "Arabella Allen" "Mr Perker" 4
"148" "Arabella Allen" "Mr Raddle" 1
"149" "Arabella Allen" "Mr Slasher" 1
"150" "Arabella Allen" "Mr Snicks" 1
"151" "Arabella Allen" "Mr Stiggins" 1
"152" "Arabella Allen" "Mr Trundle" 4
"153" "Arabella Allen" "Mr Wardle" 4
"154" "Arabella Allen" "Mrs Dowler" 1
"155" "Arabella Allen" "Mrs Raddle" 1
"156" "Arabella Allen" "Mrs Wardle" 4
"157" "Arabella Allen" "Mrs Weller" 1
"158" "Arabella Allen" "Muzzle" 1
"159" "Arabella Allen" "Nathaniel Winkle" 11
"160" "Arabella Allen" "Pruffle" 1
"161" "Arabella Allen" "Sam Weller" 9
"162" "Arabella Allen" "Samuel Pickwick" 12
"163" "Arabella Allen" "Sir Thomas Blazo" 1
"164" "Arabella Allen" "Solomon Pell" 1
"165" "Arabella Allen" "Tom Cripps" 2
"166" "Arabella Allen" "Tom Smart" 1
"167" "Arabella Allen" "Tony Weller" 9
"168" "Arabella Allen" "Tracy Tupman" 5
"169" "Augustus Snodgrass" "Benjamin Allen" 5
"170" "Augustus Snodgrass" "Betsy" 1
"171" "Augustus Snodgrass" "Bob Sawyer" 4
"172" "Augustus Snodgrass" "Brooks" 1
"173" "Augustus Snodgrass" "Chancery Prisoner" 1
