"V1","V2"
"36","Anne Steele"
"36","ColonelBrandon"
"36","Edward Ferrars"
"36","John Willoughby"
"36","Lucy Steele"
"36","Marianne Dashwood"
"36","Mr John Dashwood"
"36","Mr Pratt"
"36","Mr Thomas Palmer"
"36","Mrs Charlotte Palmer"
"36","Mrs Dashwood"
"36","Mrs Fanny Dashwood"
"36","Mrs Jennings"
"36","Sir John Middleton"
"37","Betty"
"37","Edward Ferrars"
"37","John Willoughby"
"37","Lucy Steele"
"37","Marianne Dashwood"
"37","Miss Morton"
"37","Mr John Dashwood"
"37","Mr Thomas Palmer"
"37","Mrs Charlotte Palmer"
"37","Mrs Dashwood"
"37","Mrs Ferrars"
"37","Mrs Jennings"
"37","Robert Ferrars"
"38","Anne Steele"
"38","Betty"
"38","Edward Ferrars"
"38","Elinor Dashwood"
"38","Lucy Steele"
"38","Marianne Dashwood"
"38","Miss Morton"
"38","Mr Pratt"
"38","Mr Thomas Palmer"
"38","Mrs Jennings"
"38","Sir John Middleton"
"39","Anne Steele"
"39","ColonelBrandon"
"39","Edward Ferrars"
"39","Elinor Dashwood"
"39","Marianne Dashwood"
"39","Mr Thomas Palmer"
"39","Mrs Charlotte Palmer"
"39","Mrs Ferrars"
"39","Mrs Jennings"
"40","Betty"
"40","ColonelBrandon"
"40","Edward Ferrars"
"40","Elinor Dashwood"
"40","Lucy Steele"
"40","Marianne Dashwood"
"40","Mrs Charlotte Palmer"
"40","Mrs Jennings"
"41","ColonelBrandon"
"41","Edward Ferrars"
"41","Lady Mary Middleton"
"41","Lucy Steele"
"41","Marianne Dashwood"
"41","Miss Morton"
"41","Mr John Dashwood"
"41","Mrs Dashwood"
"41","Mrs Fanny Dashwood"
"41","Mrs Ferrars"
"41","Mrs Jennings"
"42","ColonelBrandon"
"42","Edward Ferrars"
"42","John Willoughby"
"42","Lucy Steele"
"42","Marianne Dashwood"
"42","Mr Thomas Palmer"
"42","Mrs Charlotte Palmer"
"42","Mrs Jennings"
"43","ColonelBrandon"
"43","John Willoughby"
"43","Marianne Dashwood"
"43","Mr Thomas Palmer"
"43","Mrs Charlotte Palmer"
"43","Mrs Dashwood"
"43","Mrs Jennings"
"44","ColonelBrandon"
"44","ElizaBrandon"
"44","John Willoughby"
"44","Marianne Dashwood"
"44","Miss Sophia Grey"
"44","Mr Thomas Palmer"
"44","Mrs Charlotte Palmer"
"44","Mrs Jennings"
"44","Sir John Middleton"
"45","ColonelBrandon"
"45","Edward Ferrars"
"45","John Willoughby"
"45","Marianne Dashwood"
"45","Mrs Dashwood"
"45","Mrs Jennings"
"45","Sir John Middleton"
"45","The Miss Careys"
"46","Anne Steele"
"46","ColonelBrandon"
"46","ElizaBrandon"
"46","John Willoughby"
"46","Lucy Steele"
"46","Marianne Dashwood"
"46","Mr Thomas Palmer"
"46","Mrs Charlotte Palmer"
"46","Mrs Dashwood"
"46","Mrs Jennings"
"46","Sir John Middleton"
"47","Anne Steele"
"47","ColonelBrandon"
"47","Edward Ferrars"
"47","ElizaBrandon"
"47","John Willoughby"
"47","Lucy Steele"
"47","Marianne Dashwood"
"47","Mr Pratt"
"47","Mrs Dashwood"
"47","Mrs Ferrars"
"48","ColonelBrandon"
"48","Edward Ferrars"
"48","Lucy Steele"
"48","Marianne Dashwood"
"48","Mr Pratt"
"48","Mrs Dashwood"
"48","Mrs Ferrars"
"48","Mrs Jennings"
"49","ColonelBrandon"
"49","Edward Ferrars"
"49","Lucy Steele"
"49","Marianne Dashwood"
"49","Miss Morton"
"49","Mr John Dashwood"
"49","Mr Pratt"
"49","Mrs Dashwood"
"49","Mrs Ferrars"
"49","Mrs Jennings"
"49","Thomas"
"50","ColonelBrandon"
"50","Edward Ferrars"
"50","John Willoughby"
"50","Lucy Steele"
"50","Marianne Dashwood"
"50","Miss Morton"
"50","Mrs Dashwood"
"50","Mrs Fanny Dashwood"
"50","Mrs Ferrars"
"50","Mrs Jennings"
"50","Sir John Middleton"
