"root_node_id" "tag"
"1" "John Baptist Cavalletto"
"1" "Madame Barronneau"
"1" "Rigaud"
"2" "Arthur Clennam"
"2" "Harriet Beadle"
"2" "Minnie Meagles"
"2" "Miss Wade"
"2" "Mr Meagles"
"2" "Mrs Meagles"
"3" "Affery Flintwinch"
"3" "Jeremiah Flintwinch"
"3" "Mrs Clennam"
"3" "Physician"
"5" "Amy Dorrit"
"6" "Doctor Haggage"
"6" "Mr William Dorrit"
"6" "Mrs Bangham"
"7" "Bob"
"7" "Edward Dorrit"
"7" "Fanny Dorrit"
"7" "Slingo"
"8" "Mr Frederick Dorrit"
"9" "Maggy"
"9" "Mr Cripples"
"9" "Mr Plornish"
"9" "Mr Tite Barnacle"
"10" "Clarence Barnacle"
"10" "Daniel Doyce"
"10" "Ferdinand Barnacle"
"10" "Mr Wobbler"
"10" "Mrs Tite Barnacle"
"12" "Captain Maroon"
"12" "Christopher Casby"
"12" "Mr Pancks"
"12" "Mrs Captain Barbary"
"12" "Mrs Plornish"
"13" "Flora Finching"
"13" "Lord Decimus Tite Barnacle"
"13" "Mr F.'s Aunt"
"16" "Mrs Tickit"
"17" "Henry Gowan"
"17" "Lady Stiltstalking"
"18" "Mr John Chivery"
"18" "Mrs Chivery"
"19" "Captain Martin"
"20" "Mr Merdle"
"20" "Mrs Merdle"
"21" "Mr Sparkler"
"21" "Treasury"
"25" "Anastasia Rugg"
"25" "Mr Rugg"
"26" "Augustus Stiltstalking"
"26" "Lord Lancaster Stiltstalking"
"26" "Mrs Gowan"
"26" "Tudor Stiltstalking"
"31" "John Edward Nandy"
"34" "Miss Tite Barnacles"
"37" "Mrs General"
"41" "Tinkler"
"57" "Dawes"
"62" "John Chivery"
"66" "Ephraim Flintwinch"
