"V1","V2"
"Bob Glamour","Eugene Wrayburn"
"Bob Glamour","Gaffer Hexam"
"Bob Glamour","George Jones"
"Bob Glamour","Jack Mullins"
"Bob Glamour","Lizzie Hexam"
"Bob Glamour","Rogue Riderhood"
"Bob Glamour","Tom Tootle"
"Bob Gliddery","Charley Hexam"
"Bob Gliddery","Eugene Wrayburn"
"Bob Gliddery","Gaffer Hexam"
"Bob Gliddery","George Jones"
"Bob Gliddery","Jack Mullins"
"Bob Gliddery","Lizzie Hexam"
"Bob Gliddery","Rogue Riderhood"
"Bob Gliddery","Tom Tootle"
"Charley Hexam","George Jones"
"Charley Hexam","Jack Mullins"
"Charley Hexam","Rogue Riderhood"
"Charley Hexam","Tom Tootle"
"Eugene Wrayburn","George Jones"
"Eugene Wrayburn","Jack Mullins"
"Eugene Wrayburn","Rogue Riderhood"
"Eugene Wrayburn","Tom Tootle"
"Gaffer Hexam","George Jones"
"Gaffer Hexam","Jack Mullins"
"Gaffer Hexam","Rogue Riderhood"
"Gaffer Hexam","Tom Tootle"
"George Jones","Jack Mullins"
"George Jones","Lizzie Hexam"
"George Jones","Rogue Riderhood"
"George Jones","Tom Tootle"
"Jack Mullins","Lizzie Hexam"
"Jack Mullins","Rogue Riderhood"
"Jack Mullins","Tom Tootle"
"Lizzie Hexam","Rogue Riderhood"
"Lizzie Hexam","Tom Tootle"
"Rogue Riderhood","Tom Tootle"
"MrVenus","Silas Wegg"
"Bella Wilfer","Blight"
"Bella Wilfer","Eugene Wrayburn"
"Bella Wilfer","Mr Boffin"
"Bella Wilfer","Mrs Boffin"
"Blight","Bradley Headstone"
"Blight","Eugene Wrayburn"
"Blight","John Harmon"
"Blight","Mortimer Lightwood"
"Blight","Mr Boffin"
"Blight","Mr Wilfer"
"Blight","Mrs Boffin"
"Bradley Headstone","Eugene Wrayburn"
"Bradley Headstone","Mr Boffin"
"Bradley Headstone","Mrs Boffin"
"Eugene Wrayburn","Mr Boffin"
"Eugene Wrayburn","Mr Wilfer"
"Eugene Wrayburn","Mrs Boffin"
"John Harmon","Mr Boffin"
"John Harmon","Mrs Boffin"
"Mortimer Lightwood","Mr Boffin"
"Mortimer Lightwood","Mrs Boffin"
"Mr Boffin","Mr Wilfer"
"Mr Wilfer","Mrs Boffin"
"Bella Wilfer","Mrs Goody"
"Bella Wilfer","Mrs Milvey"
"Bella Wilfer","Reverend  FrankMilvey"
"George Sampson","Mr Boffin"
"George Sampson","Mrs Boffin"
"George Sampson","Mrs Goody"
"George Sampson","Mrs Milvey"
"George Sampson","Reverend  FrankMilvey"
"John Harmon","Mrs Goody"
"John Harmon","Mrs Milvey"
"John Harmon","Reverend  FrankMilvey"
"Lavinia Wilfer","Mr Boffin"
"Lavinia Wilfer","Mrs Boffin"
"Lavinia Wilfer","Mrs Goody"
"Lavinia Wilfer","Mrs Milvey"
"Lavinia Wilfer","Reverend  FrankMilvey"
"Mr Boffin","Mrs Goody"
"Mr Boffin","Mrs Milvey"
"Mr Boffin","Mrs Wilfer"
"Mr Boffin","Reverend  FrankMilvey"
"Mr Wilfer","Mrs Goody"
"Mr Wilfer","Mrs Milvey"
"Mr Wilfer","Reverend  FrankMilvey"
"Mrs Boffin","Mrs Goody"
"Mrs Boffin","Mrs Milvey"
"Mrs Boffin","Mrs Wilfer"
"Mrs Boffin","Reverend  FrankMilvey"
"Mrs Goody","Mrs Milvey"
"Mrs Goody","Mrs Wilfer"
"Mrs Goody","Reverend  FrankMilvey"
"Mrs Milvey","Mrs Wilfer"
"Mrs Milvey","Reverend  FrankMilvey"
"Mrs Wilfer","Reverend  FrankMilvey"
"Alfred Lammle","Analytical Chemist"
"Alfred Lammle","Boots Brewer"
"Alfred Lammle","Eugene Wrayburn"
"Alfred Lammle","Lady Tippins"
"Alfred Lammle","Lord Snigsworth"
"Alfred Lammle","Melvin Twemlow"
"Alfred Lammle","Mortimer Lightwood"
"Alfred Lammle","Mr Podsnap"
"Alfred Lammle","Mr Veneering"
"Alfred Lammle","Mrs  Veneering"
"Alfred Lammle","Mrs Podsnap"
