"","x"
"1","Adams"
"2","Agnes Wickfield"
"3","Annie Strong"
"4","Barkis"
"5","Captain Bailey"
"6","Captain Hopkins"
"7","Caroline Crewler"
"8","Charley Pyegrave"
"9","Clara Copperfield"
"10","Clara Peggotty"
"11","Clarissa Spenlow"
"12","Clickett"
"13","Daniel Peggotty"
"14","David Copperfield"
"15","Doctor Strong"
"16","George Demple"
"17","Grainger"
"18","Gregory"
"19","Ham Peggotty"
"20","Jack Maldon"
"21","James Steerforth"
"22","Jane Murdstone"
"23","Janet"
"24","Julia Mills"
"25","Lady Mithers"
"26","Lavinia Spenlow"
"27","Littimer"
"28","Little Emily"
"29","Louisa Crewler"
"30","Markham"
"31","Martha Endell"
"32","Mary Anne Paragon"
"33","Mealy Potatoes"
"34","Mick Walker"
"35","Minnie Joram"
"36","Miss Betsey Trotwood"
"37","Miss Creakle"
"38","Miss Kitt"
"39","Miss Larkins"
"40","Miss Micawber"
"41","Miss Mowcher"
"42","Miss Shepherd"
"43","Misses Nettingall"
"44","Mithers"
"45","Mr Chestle"
"46","Mr Chillip"
"47","Mr Creakle"
"48","Mr Dick"
"49","Mr Dolloby"
"50","Mr Grayper"
"51","Mr Gulpidge"
"52","Mr Gummidge"
"53","Mr Henry Spiker"
"54","Mr Joram"
"55","Mr Jorkins"
"56","Mr Larkins"
"57","Mr Mell"
"58","Mr Micawber"
"59","Mr Mills"
"60","Mr Murdstone"
"61","Mr Omer"
"62","Mr Passnidge"
"63","Mr Quinion"
"64","Mr Sharp"
"65","Mr Spenlow"
"66","Mr Tiffey"
"67","Mr Waterbrook"
"68","Mr Wickfield"
"69","Mrs Chillip"
"70","Mrs Creakle"
"71","Mrs Crewler"
"72","Mrs Crupp"
"73","Mrs Fibbitson"
"74","Mrs Grayper"
"75","Mrs Gulpidge"
"76","Mrs Gummidge"
"77","Mrs Heep"
"78","Mrs Henry Spiker"
"79","Mrs Markleham"
"80","Mrs Mell"
"81","Mrs Micawber"
"82","Mrs Steerforth"
"83","Mrs Waterbrook"
"84","Reverend Crewler"
"85","Rosa Dartle"
"86","Sarah Crewler"
"87","Sophy Crewler"
"88","Tipp"
"89","Tommy Traddles"
"90","Uriah"
"91","William"
"92","Topsawyer"
"93","Tom Jones"
"94","Tungay"
"95","Yawler"
