"Character","Node","Appearances"
"Joe Willet",42,27
"Joe Willet",81,27
"Joe Willet",11,27
"Joe Willet",5,27
"Joe Willet",74,27
"John Chester",12,20
"John Chester",24,20
"John Chester",44,20
"John Chester",33,20
"John Chester",27,20
"John Chester",6,20
"John Chester",13,20
"John Chester",11,20
"John Chester",77,20
"John Chester",16,20
"John Chester",76,20
"John Chester",41,20
"John Chester",29,20
"John Chester",54,20
"John Chester",28,20
"John Chester",30,20
"John Chester",14,20
"John Chester",82,20
"John Chester",25,20
"John Chester",31,20
"John Fielding",62,2
"John Fielding",67,2
"John Grueby",83,8
"John Grueby",67,8
"John Grueby",44,8
"John Grueby",36,8
"John Grueby",38,8
"John Grueby",68,8
"John Grueby",39,8
"John Grueby",58,8
"John Willet",26,49
"John Willet",7,49
"John Willet",67,49
"John Willet",83,49
"John Willet",73,49
"John Willet",38,49
"John Willet",76,49
"John Willet",22,49
"John Willet",35,49
"John Willet",58,49
"John Willet",48,49
"John Willet",15,49
"John Willet",44,49
"John Willet",59,49
"John Willet",3,49
"John Willet",31,49
"John Willet",30,49
"John Willet",32,49
"John Willet",57,49
"John Willet",42,49
"John Willet",41,49
"John Willet",72,49
"John Willet",82,49
"John Willet",39,49
"John Willet",14,49
"John Willet",16,49
"John Willet",81,49
"John Willet",54,49
"John Willet",79,49
"John Willet",13,49
"John Willet",9,49
"John Willet",28,49
"John Willet",4,49
"John Willet",12,49
"John Willet",80,49
"John Willet",6,49
"John Willet",56,49
"John Willet",34,49
"John Willet",11,49
"John Willet",55,49
"John Willet",33,49
"John Willet",62,49
"John Willet",25,49
"John Willet",23,49
"John Willet",20,49
"John Willet",2,49
"John Willet",68,49
"John Willet",5,49
"John Willet",36,49
"Lord Algernon Percy",68,1
"Lord George Gordon",67,17
"Lord George Gordon",36,17
"Lord George Gordon",49,17
"Lord George Gordon",38,17
"Lord George Gordon",51,17
"Lord George Gordon",42,17
"Lord George Gordon",53,17
"Lord George Gordon",39,17
"Lord George Gordon",41,17
"Lord George Gordon",50,17
"Lord George Gordon",83,17
"Lord George Gordon",44,17
"Lord George Gordon",74,17
"Lord George Gordon",54,17
"Lord George Gordon",58,17
"Lord George Gordon",37,17
"Lord George Gordon",40,17
"Mark Gilbert",9,2
"Mark Gilbert",40,2
"Martha Varden",4,20
"Martha Varden",30,20
"Martha Varden",32,20
"Martha Varden",43,20
"Martha Varden",5,20
"Martha Varden",52,20
"Martha Varden",23,20
"Martha Varden",72,20
"Martha Varden",22,20
"Martha Varden",73,20
"Martha Varden",42,20
"Martha Varden",27,20
"Martha Varden",81,20
"Martha Varden",28,20
"Martha Varden",80,20
"Martha Varden",37,20
"Martha Varden",8,20
"Martha Varden",20,20
"Martha Varden",14,20
"Martha Varden",3,20
"Mary Jones",44,10
"Mary Jones",36,10
"Mary Jones",27,10
"Mary Jones",1,10
"Mary Jones",77,10
"Mary Jones",52,10
"Mary Jones",7,10
"Mary Jones",26,10
"Mary Jones",38,10
"Mary Jones",37,10
"Miggs",42,21
"Miggs",32,21
"Miggs",71,21
"Miggs",40,21
"Miggs",19,21
"Miggs",37,21
"Miggs",60,21
"Miggs",64,21
"Miggs",14,21
"Miggs",72,21
"Miggs",8,21
"Miggs",81,21
"Miggs",23,21
"Miggs",52,21
"Miggs",20,21
"Miggs",43,21
"Miggs",28,21
"Miggs",80,21
"Miggs",83,21
"Miggs",25,21
"Miggs",10,21
"Mr Rudge",27,10
"Mr Rudge",63,10
"Mr Rudge",2,10
"Mr Rudge",80,10
"Mr Rudge",77,10
"Mr Rudge",41,10
"Mr Rudge",57,10
"Mr Rudge",25,10
"Mr Rudge",49,10
"Mr Rudge",78,10
"Mrs Rudge",5,6
"Mrs Rudge",43,6
"Mrs Rudge",11,6
"Mrs Rudge",28,6
"Mrs Rudge",25,6
"Mrs Rudge",7,6
"Ned Dennis",50,32
"Ned Dennis",54,32
"Ned Dennis",41,32
"Ned Dennis",1,32
"Ned Dennis",77,32
"Ned Dennis",16,32
"Ned Dennis",72,32
"Ned Dennis",30,32
"Ned Dennis",24,32
"Ned Dennis",78,32
"Ned Dennis",70,32
"Ned Dennis",76,32
"Ned Dennis",65,32
"Ned Dennis",53,32
"Ned Dennis",37,32
"Ned Dennis",55,32
"Ned Dennis",45,32
"Ned Dennis",71,32
"Ned Dennis",13,32
"Ned Dennis",28,32
"Ned Dennis",61,32
"Ned Dennis",39,32
"Ned Dennis",64,32
"Ned Dennis",40,32
"Ned Dennis",51,32
"Ned Dennis",38,32
"Ned Dennis",33,32
"Ned Dennis",60,32
"Ned Dennis",66,32
"Ned Dennis",75,32
"Ned Dennis",27,32
"Ned Dennis",49,32
"Peak",76,2
"Peak",24,2
"Phil Parkes",31,6
"Phil Parkes",55,6
"Phil Parkes",34,6
"Phil Parkes",2,6
"Phil Parkes",83,6
"Phil Parkes",12,6
"Philips",62,1
"Simon Tappertit",48,18
"Simon Tappertit",60,18
"Simon Tappertit",40,18
"Simon Tappertit",51,18
"Simon Tappertit",53,18
"Simon Tappertit",61,18
"Simon Tappertit",52,18
"Simon Tappertit",25,18
"Simon Tappertit",49,18
"Simon Tappertit",5,18
"Simon Tappertit",50,18
"Simon Tappertit",83,18
"Simon Tappertit",72,18
"Simon Tappertit",71,18
"Simon Tappertit",54,18
"Simon Tappertit",37,18
"Simon Tappertit",43,18
"Simon Tappertit",64,18
"Solomon Daisy",3,11
"Solomon Daisy",55,11
"Solomon Daisy",57,11
"Solomon Daisy",12,11
"Solomon Daisy",35,11
"Solomon Daisy",34,11
"Solomon Daisy",31,11
"Solomon Daisy",2,11
"Solomon Daisy",42,11
"Solomon Daisy",4,11
"Solomon Daisy",83,11
"Stagg",19,6
"Stagg",46,6
"Stagg",63,6
"Stagg",47,6
"Stagg",9,6
"Stagg",70,6
"The Black Lion",72,6
"The Black Lion",80,6
"The Black Lion",79,6
"The Black Lion",32,6
"The Black Lion",14,6
"The Black Lion",73,6
"Tom Cobb",55,7
"Tom Cobb",73,7
"Tom Cobb",83,7
"Tom Cobb",2,7
"Tom Cobb",32,7
"Tom Cobb",34,7
"Tom Cobb",31,7
"Tom Green",59,1
