"Character","Node"
"Affery Flintwinch","3, 4, 69, 46, 15, 29, 53, 14, 30, 59, 67, 5, 13, 66"
"Amy Dorrit","15, 43, 27, 66, 40, 23, 50, 55, 65, 32, 7, 39, 63, 69, 64, 9, 44, 45, 20, 29, 42, 37, 8, 24, 18, 5, 36, 19, 51, 13, 60, 16, 35, 41, 12, 70, 22, 67, 54, 14, 21, 47, 31"
"Anastasia Rugg","35, 25"
"Arthur Clennam","3, 10, 68, 53, 62, 7, 29, 17, 36, 49, 8, 40, 22, 46, 54, 30, 39, 9, 14, 2, 20, 5, 25, 63, 70, 28, 24, 15, 27, 32, 26, 44, 31, 35, 33, 47, 67, 12, 59, 66, 45, 34, 65, 64, 58, 69, 56, 41, 13, 16, 23"
"Augustus Stiltstalking","26"
"Bob","7, 55"
"Captain Maroon","12"
"Captain Martin","19"
"Christopher Casby","45, 12, 13, 66, 68, 24, 23, 35, 59, 29, 56, 36"
"Clarence Barnacle","10, 26, 17"
"Daniel Doyce","70, 23, 58, 28, 17, 12, 62, 53, 10, 49, 45, 26, 16, 44, 59, 69, 34, 35"
"Dawes","57"
"Doctor Haggage","6, 7"
"Edward Dorrit","12, 8, 37, 39, 42, 55, 70, 18, 41, 7, 24, 20, 36, 31"
"Ephraim Flintwinch","66"
"Fanny Dorrit","55, 39, 40, 9, 52, 47, 70, 7, 41, 14, 50, 51, 8, 31, 43, 69, 54, 42, 36, 20, 60"
"Ferdinand Barnacle","17, 61, 10, 48, 34, 64"
"Flora Finching","13, 24, 23, 35, 59, 45, 29, 70, 53"
"Harriet Beadle","46, 45, 69, 28, 56, 2, 16, 27"
"Henry Gowan","40, 39, 41, 26, 69, 57, 42, 53, 17, 47, 28, 33, 45, 56, 50, 43, 27, 44, 64, 34"
"Jeremiah Flintwinch","15, 30, 66, 46, 4, 59, 14, 5, 64, 3, 67, 29, 53"
"John Baptist Cavalletto","1, 65, 64, 45, 25, 11, 49, 59, 58"
"John Chivery","62, 63"
"John Edward Nandy","49, 31, 40"
"Lady Stiltstalking","17"
"Lord Decimus Tite Barnacle","25, 34, 13"
"Lord Lancaster Stiltstalking","26"
"Madame Barronneau","1"
"Maggy","69, 49, 40, 70, 65, 39, 35, 32, 20, 22, 14, 9, 24, 31, 36"
"Minnie Meagles","26, 34, 42, 70, 69, 50, 28, 16, 27, 43, 2, 45, 47, 17, 37, 44"
"Miss Tite Barnacles","34"
"Miss Wade","69, 56, 2, 27, 16, 46, 64, 57, 45, 28"
"Mr Cripples","20, 9"
"Mr F.'s Aunt","35, 59, 13, 70, 23, 24, 53, 45"
"Mr Frederick Dorrit","8, 55, 41, 66, 19, 39, 36, 37"
"Mr John Chivery","55, 19, 62, 22, 35, 36, 31, 54, 63, 65, 20, 25, 70, 18"
"Mr Meagles","47, 44, 26, 10, 34, 28, 33, 43, 69, 16, 2, 27, 23, 45, 70, 17, 12"
"Mr Merdle","20, 69, 42, 48, 21, 54, 55, 50, 68, 61, 41, 53, 49, 51, 60, 33, 43, 64, 52"
"Mr Pancks","25, 49, 29, 68, 32, 36, 53, 66, 70, 56, 35, 13, 27, 23, 24, 47, 62, 65, 45, 12, 64, 58"
"Mr Plornish","20, 24, 36, 63, 31, 9, 49, 12, 23"
"Mr Rugg","35, 68, 32, 49, 36, 70, 62, 25, 64"
"Mr Sparkler","48, 51, 60, 41, 50, 33, 21, 54, 42, 69, 43, 39"
"Mr Tite Barnacle","48, 10, 34, 9"
"Mr William Dorrit","31, 22, 9, 43, 35, 12, 52, 53, 49, 8, 41, 13, 32, 37, 18, 65, 55, 54, 10, 42, 7, 36, 6, 23, 38, 19, 51, 48, 20, 39"
"Mr Wobbler","10"
"Mrs Bangham","6, 55, 14, 7"
"Mrs Captain Barbary","12"
"Mrs Chivery","18, 25, 63, 22"
"Mrs Clennam","14, 4, 8, 5, 40, 24, 30, 66, 29, 12, 53, 67, 68, 15, 3, 59, 46"
"Mrs General","40, 43, 69, 37, 47, 55, 50, 38, 39, 54, 41, 60, 42, 51"
"Mrs Gowan","26, 27, 47, 34, 41, 33, 39, 43, 40, 42, 44"
"Mrs Meagles","44, 33, 69, 56, 16, 45, 28, 17, 2, 34"
"Mrs Merdle","50, 43, 21, 52, 42, 61, 39, 20, 41, 51, 33, 69, 60, 48, 55"
"Mrs Plornish","25, 64, 68, 31, 63, 23, 40, 69, 62, 12, 65, 49"
"Mrs Tickit","34, 69, 16, 45, 27"
"Mrs Tite Barnacle","34, 10"
"Physician","21, 33, 48, 3, 61"
"Rigaud","69, 46, 59, 53, 56, 39, 1, 66, 64, 37, 58, 43, 42, 30, 11"
"Slingo","7"
"Tinkler","41, 51, 55"
"Treasury","21, 33, 52, 34"
"Tudor Stiltstalking","26, 34"
