"x"
"Alice"
"Alphonse"
"Arthur Gride"
"Augustus Borum"
"Baron Von Koeldwethout"
"Baron Von Swillenhausen"
"Baroness Von Koeldwethout"
"Baroness Von Swillenhausen"
"Belling"
"Bolder"
"Brooks"
"Captain Adams"
"Cecilia Bobster"
"Charles Cheeryble"
"Charley"
"Charlotte Borum"
"Cobbey"
"Colonel Chowser"
"David"
"Doctor Lumbey"
"Dorker"
"Edwin Cheeryble"
"Fanny Squeers"
"Fluggers"
"Frank Cheeryble"
"Graymarsh"
"Great Ralph Nickleby"
"Hannah"
"Henrietta Petowker"
"Henry Wititterly"
"Horatio Peltirogus"
"Jane"
"Jane Dibabs"
"Jenkins"
"Jennings"
"John Browdie"
"John La Creevy"
"Julia Wititterly"
"Kate Nickleby"
"Lord Frederick Verisopht"
"Madame Mantalini"
"Madeline Bray"
"Matilda Price"
"Miss Belvawney"
"Miss Bravassa"
"Miss Browndock"
"Miss Cropley"
"Miss Gazingi"
"Miss Knag"
"Miss La Creevy"
"Miss Lane"
"Miss Ledrook"
"Miss Simmonds"
"Miss Snevellicci"
"Mobbs"
"Morleena Kenwigs"
"Mortimer Knag"
"Mr Bobster"
"Mr Bonney"
"Mr Borum"
"Mr Brooker"
"Mr Bulph"
"Mr Crowl"
"Mr Crummles"
"Mr Curdle"
"Mr Cutler"
"Mr Folair"
"Mr Gallanbile"
"Mr Glavormelly"
"Mr Godfrey Nickleby"
"Mr Gregsbury"
"Mr Kenwigs"
"Mr Lenville"
"Mr Lillyvick"
"Mr Mantalini"
"Mr Nickleby"
"Mr Pluck"
"Mr Pugstyles"
"Mr Pyke"
"Mr Scaley"
"Mr Snawley"
"Mr Snevellicci"
"Mr Snobb"
"Mr Trimmers"
"Mr Watkins"
"Mr Westwood"
"Mrs Blockson"
"Mrs Borum"
"Mrs Crummles"
"Mrs Curdle"
"Mrs Cutler"
"Mrs Gallanbile"
"Mrs Godfrey Nickleby"
"Mrs Gregsbury"
"Mrs Grudden"
"Mrs Kenwigs"
"Mrs Lenville"
"Mrs Nickleby"
"Mrs Snawley"
"Mrs Snevellicci"
"Mrs Squeers"
"Newman Noggs"
"Nicholas Nickleby"
"Ninetta Crummles"
"Palmer"
"Peg Sliderskew"
"Phoebe"
"Ralph Nickleby"
"Richard"
"Sir Mulberry Hawk"
"Sir Thomas Grimble"
"Sir Tumley Snuffim"
"Smike"
"Snittle Timberry"
"Sprouter"
"The African Swallower"
"The Hawkinses"
"The Master Crummleses"
"The Misses Kenwigses"
"Tim Linkinwater"
"Tom"
"Wackford Squeers"
"Tom Tix"
"Walter Bray"
"Wackford SqueersJunior"
"William"
"Thomas"
"young Lillyvick"
"The Miss Dowdles"
"William2"
"Sir Matthew Pupker"
