"Character","Node"
"Annamaria Middleton","21, 23"
"Anne Steele","34, 22, 21, 23, 46, 47, 24, 38, 39, 25, 32, 36"
"Betty","25, 37, 40, 38"
"Biddy Henshawe","30"
"Cartwright","26"
"ColonelBrandon","36, 13, 47, 50, 43, 11, 26, 46, 19, 10, 34, 30, 20, 41, 8, 9, 31, 45, 7, 40, 33, 27, 49, 42, 32, 12, 14, 44, 39, 48"
"Edward Ferrars","19, 23, 22, 47, 34, 4, 17, 49, 5, 33, 28, 8, 3, 40, 29, 48, 41, 10, 16, 37, 38, 21, 50, 36, 24, 45, 18, 32, 42, 35, 39, 25"
"Elinor Dashwood","1, 20, 14, 9, 11, 31, 13, 23, 40, 5, 10, 3, 21, 34, 32, 22, 18, 12, 17, 24, 38, 27, 39, 25"
"ElizaBrandon","46, 31, 47, 44"
"ElizaWilliams","32, 31, 14, 13"
"Harry Dashwood","2, 33, 34"
"John Willoughby","13, 26, 20, 50, 10, 18, 46, 47, 27, 14, 9, 19, 16, 43, 42, 32, 44, 28, 11, 31, 36, 12, 30, 29, 25, 45, 37, 15"
"Lady Mary Middleton","41, 27"
"Lord Morton","34, 33"
"LordCourtland","36"
"Lucy Steele","24, 32, 41, 22, 34, 48, 21, 23, 38, 36, 40, 37, 50, 25, 42, 47, 46, 49, 35"
"Marianne Dashwood","14, 34, 26, 20, 46, 27, 49, 2, 42, 41, 29, 9, 11, 38, 43, 23, 21, 1, 24, 39, 32, 17, 7, 19, 31, 36, 28, 8, 10, 25, 3, 48, 18, 44, 4, 45, 12, 47, 30, 6, 50, 22, 35, 13, 37, 40, 33, 16, 15, 5"
"Martha Sharpe","38"
"Miss Godby","38"
"Miss Morton","50, 33, 34, 41, 38, 37, 49"
"Miss Sophia Grey","30, 32, 44"
"Miss Sparks","38"
"Miss Walker","30"
"Mr Jennings","11"
"Mr John Dashwood","2, 36, 33, 41, 37, 49"
"Mr Pratt","47, 23, 38, 49, 48, 22, 36"
"Mr Richardson","38"
"Mr Simpson","21"
"Mr Thomas Palmer","21, 38, 20, 42, 26, 27, 39, 43, 44, 46, 37, 36, 19"
"Mr. Rose","21"
"Mrs Charlotte Palmer","39, 40, 26, 29, 42, 27, 43, 37, 36, 46, 30, 19, 25, 44, 32, 21, 35, 20"
"Mrs Dashwood","33, 9, 41, 37, 2, 20, 4, 17, 12, 14, 48, 49, 43, 47, 7, 25, 6, 28, 8, 1, 19, 11, 35, 27, 3, 10, 34, 18, 36, 32, 15, 45, 5, 50, 16, 46"
"Mrs Dennison","36"
"Mrs Fanny Dashwood","24, 6, 3, 22, 33, 2, 36, 1, 50, 41, 34, 5"
"Mrs Ferrars","24, 48, 49, 17, 34, 4, 41, 35, 33, 19, 50, 39, 37, 32, 47, 22"
"Mrs Jennings","27, 42, 13, 29, 10, 50, 35, 12, 14, 37, 38, 7, 25, 41, 8, 16, 30, 45, 49, 36, 21, 34, 33, 11, 46, 24, 40, 18, 28, 31, 39, 20, 32, 26, 19, 48, 44, 43"
"Mrs Richardson","38"
"Mrs Taylor","30"
"MrsBurgess","49"
"MrsClarke","38"
"Robert Ferrars","3, 37"
"Sally","47"
"Sir John Middleton","10, 8, 12, 22, 44, 14, 20, 30, 25, 7, 16, 36, 27, 23, 29, 34, 50, 24, 9, 18, 38, 13, 31, 4, 5, 45, 11, 6, 19, 33, 46, 32, 21"
"The Miss Careys","18, 45, 13"
"The Westons","20"
"The Whitakers","18"
"TheOldGentlemanDashwood","1"
"Thomas","49, 47"
