"source" "target" "tag"
"180" 27 28 "Joe Gargery"
"181" 27 28 "Miss Havisham"
"182" 26 28 "Mr Pocket"
"183" 27 28 "Pip"
"184" 19 28 "Trabb's Boy"
"185" 27 28 "Uncle Pumblechook"
"186" 27 29 "Estella"
"187" 28 29 "Herbert Pocket"
"188" 28 29 "Joe Gargery"
"189" 28 29 "Miss Havisham"
"190" 26 29 "Mr Jaggers"
"191" 28 29 "Mr Pocket"
"192" 17 29 "Orlick Dolge"
"193" 28 29 "Pip"
"194" 19 29 "Sarah Pocket"
"195" 28 30 "Avenger"
"196" 29 30 "Estella"
"197" 29 30 "Herbert Pocket"
"198" 29 30 "Joe Gargery"
"199" 29 30 "Miss Havisham"
"200" 29 30 "Mr Jaggers"
"201" 22 30 "Mr Trabb"
"202" 27 30 "Mr Wopsle"
"203" 29 30 "Orlick Dolge"
"204" 29 30 "Pip"
"205" 28 30 "Trabb's Boy"
"206" 28 30 "Uncle Pumblechook"
"207" 30 31 "Clara Barley"
"208" 30 31 "Estella"
"209" 30 31 "Herbert Pocket"
"210" 30 31 "Miss Havisham"
"211" 30 31 "Mr Wopsle"
"212" 30 31 "Pip"
"213" 31 32 "Estella"
"214" 26 32 "John Wemmick"
"215" 31 32 "Miss Havisham"
"216" 30 32 "Mr Jaggers"
"217" 29 32 "Mr Pocket"
"218" 31 32 "Pip"
"219" 25 32 "The Aged"
"220" 32 33 "Estella"
"221" 23 33 "Flopson"
"222" 23 33 "Millers"
"223" 32 33 "Miss Havisham"
"224" 32 33 "Mr Jaggers"
"225" 32 33 "Mr Pocket"
"226" 26 33 "Mrs Pocket"
"227" 32 33 "Pip"
"228" 30 34 "Avenger"
"229" 27 34 "Bentley Drummle"
"230" 27 34 "Biddy"
"231" 25 34 "Camilla"
"232" 33 34 "Estella"
"233" 31 34 "Herbert Pocket"
"234" 30 34 "Joe Gargery"
"235" 33 34 "Miss Havisham"
"236" 33 34 "Mr Pocket"
"237" 30 34 "Mr Trabb"
"238" 33 34 "Mrs Pocket"
"239" 33 34 "Pip"
"240" 26 34 "Startop"
"241" 34 35 "Biddy"
"242" 34 35 "Joe Gargery"
"243" 5 35 "Mr Hubble"
"244" 34 35 "Mr Trabb"
"245" 18 35 "Mrs Hubble"
"246" 19 35 "Mrs Joe Gargery"
"247" 30 35 "Orlick Dolge"
"248" 34 35 "Pip"
"249" 30 35 "Uncle Pumblechook"
"250" 34 36 "Estella"
"251" 34 36 "Herbert Pocket"
"252" 32 36 "John Wemmick"
"253" 34 36 "Miss Havisham"
"254" 33 36 "Mr Jaggers"
"255" 35 36 "Pip"
"256" 32 36 "The Aged"
"257" 36 37 "Estella"
"258" 36 37 "Herbert Pocket"
"259" 36 37 "John Wemmick"
"260" 36 37 "Miss Havisham"
"261" 36 37 "Mr Jaggers"
"262" 31 37 "Mr Wopsle"
"263" 36 37 "Pip"
"264" 36 37 "The Aged"
"265" 34 38 "Bentley Drummle"
"266" 37 38 "Estella"
"267" 37 38 "Herbert Pocket"
"268" 37 38 "Miss Havisham"
"269" 37 38 "Mr Jaggers"
"270" 37 38 "Pip"
"271" 28 39 "Abel Magwitch"
"272" 35 39 "Biddy"
"273" 28 39 "Compeyson"
"274" 38 39 "Estella"
"275" 38 39 "Herbert Pocket"
"276" 35 39 "Joe Gargery"
"277" 37 39 "John Wemmick"
"278" 38 39 "Miss Havisham"
"279" 38 39 "Mr Jaggers"
"280" 38 39 "Pip"
"281" 39 40 "Abel Magwitch"
"282" 34 40 "Avenger"
"283" 39 40 "Herbert Pocket"
"284" 39 40 "John Wemmick"
"285" 39 40 "Miss Havisham"
"286" 39 40 "Mr Jaggers"
"287" 39 40 "Pip"
"288" 40 41 "Abel Magwitch"
"289" 39 41 "Compeyson"
"290" 40 41 "Herbert Pocket"
"291" 37 41 "Mr Clarriker"
"292" 40 41 "Pip"
"293" 41 42 "Abel Magwitch"
"294" 41 42 "Compeyson"
"295" 41 42 "Herbert Pocket"
"296" 40 42 "Miss Havisham"
"297" 22 42 "Mr Havisham"
"298" 40 42 "Mr Jaggers"
