"root_node_id" "tag"
"1" "Elinor Dashwood"
"1" "Marianne Dashwood"
"1" "Mrs Dashwood"
"1" "Mrs Fanny Dashwood"
"1" "TheOldGentlemanDashwood"
"2" "Harry Dashwood"
"2" "Mr John Dashwood"
"3" "Edward Ferrars"
"3" "Robert Ferrars"
"4" "Mrs Ferrars"
"4" "Sir John Middleton"
"7" "ColonelBrandon"
"7" "Mrs Jennings"
"9" "John Willoughby"
"11" "Mr Jennings"
"13" "ElizaWilliams"
"13" "The Miss Careys"
"18" "The Whitakers"
"19" "Mr Thomas Palmer"
"19" "Mrs Charlotte Palmer"
"20" "The Westons"
"21" "Annamaria Middleton"
"21" "Anne Steele"
"21" "Lucy Steele"
"21" "Mr Simpson"
"21" "Mr. Rose"
"22" "Mr Pratt"
"25" "Betty"
"26" "Cartwright"
"27" "Lady Mary Middleton"
"30" "Biddy Henshawe"
"30" "Miss Sophia Grey"
"30" "Miss Walker"
"30" "Mrs Taylor"
"31" "ElizaBrandon"
"33" "Lord Morton"
"33" "Miss Morton"
"36" "LordCourtland"
"36" "Mrs Dennison"
"38" "Martha Sharpe"
"38" "Miss Godby"
"38" "Miss Sparks"
"38" "Mr Richardson"
"38" "Mrs Richardson"
"38" "MrsClarke"
"47" "Sally"
"47" "Thomas"
"49" "MrsBurgess"
