"Character","Node"
"Alex Macstinger","23, 60, 18, 25, 39"
"Alice Brown","46, 52, 34, 58, 53"
"Anne","59"
"Barnet Skettles Jr","24, 14, 28"
"Berinthia","59, 11, 8"
"Bill Bitherstone","10"
"Briggs","41, 60, 14, 12"
"Captain Bunsby","15, 23, 39, 50, 60"
"Captain Cuttle","62, 49, 48, 60, 39, 42, 4, 23, 13, 17, 15, 19, 32, 10, 58, 25, 56, 9, 22, 46, 31, 57, 50"
"Charles Macstinger","39"
"Cornelia Blimber","41, 60, 12, 15, 11, 14"
"Cousin Feenix","41, 21, 31, 36, 61, 30, 51, 27"
"Diogenes","35, 22, 56, 28, 30, 50, 48, 18, 31, 49, 41, 44, 14, 23"
"Doctor Blimber","60, 11, 12, 28, 17, 24, 16, 41, 14"
"Doctor Parker Peps","1, 8"
"Florence Dombey","1, 32, 15, 37, 6, 26, 46, 19, 41, 13, 14, 30, 23, 45, 34, 47, 29, 3, 54, 5, 42, 31, 35, 49, 48, 11, 25, 24, 9, 20, 61, 18, 43, 59, 40, 62, 22, 56, 50, 10, 57, 16, 28, 60, 51, 36, 39, 12, 8, 44, 21"
"Flowers","37, 40, 36"
"Harriet Carker","33, 53, 34, 58, 22"
"James Carker","46, 53, 32, 22, 58, 13"
"Jemima","2, 6"
"Joe","6"
"John","39, 4, 23, 5, 24"
"Johnson","14, 12, 41"
"Juliana Macstinger","39, 60, 25"
"Kate","24"
"Lady Skettles","18, 60, 23, 14, 24, 28"
"Lucretia Tox","62, 31, 3, 1, 10, 16, 29, 2, 36, 14, 6, 38, 20, 5, 7, 59, 8, 51, 18"
"Major Bagstock","40, 8, 52, 51, 30, 31, 41, 10, 7, 36, 58, 20, 37, 21, 26, 18, 29, 47, 27, 59, 38"
"Martha","24"
"Mary Daws","59, 28"
"Master Bitherstone","41, 10, 12, 60, 8, 11, 44"
"Melia","41"
"Miss Pankey","11, 8"
"Mr Baps","14"
"Mr Brogley","9, 25, 23, 49, 15, 48"
"Mr Carker","19, 53, 26, 47, 45, 46, 31, 18, 24, 42, 6, 4, 43, 58, 17, 28, 9, 39, 34, 22, 51, 33, 36, 37, 13, 40, 10, 32, 27"
"Mr Chick","8, 5, 2, 29, 31, 59, 18, 36"
"Mr Clark","6"
"Mr Dombey","29, 40, 20, 3, 45, 32, 51, 35, 60, 28, 52, 14, 58, 13, 9, 15, 23, 27, 2, 6, 46, 24, 36, 50, 4, 62, 53, 10, 34, 43, 11, 19, 18, 42, 47, 22, 41, 12, 44, 1, 38, 37, 30, 21, 8, 56, 17, 57, 5, 31, 59, 39, 26, 55"
"Mr Feeder","14, 12, 22, 41, 60, 11"
"Mr Morfin","58, 4, 53, 13"
"Mr Perch","13, 51, 23, 53, 46, 17, 22, 39, 28, 18, 58, 59, 31"
"Mr Pilkins","1, 8"
"Mr Sownds","57, 31"
"Mr Toodle","38, 22, 6, 59, 3, 2, 15, 20"
"Mr Toots","35, 57, 44, 11, 56, 14, 31, 60, 28, 41, 39, 50, 32, 22, 62, 12, 18, 48"
"Mrs Baps","14"
"Mrs Blimber","60, 12, 24, 41, 28, 14, 11"
"Mrs Blockitt","1"
"Mrs Bokum","60"
"Mrs Brown","46, 34, 15, 9, 6, 52"
"Mrs Chick","3, 7, 29, 10, 2, 5, 8, 59, 31, 1, 6, 51, 58, 36, 38, 18"
"Mrs Dombey I","20, 7, 1, 29, 18, 5, 2"
"Mrs Dombey II","26, 30, 45, 21, 47, 55, 52, 27, 58, 61, 35, 42, 34, 36, 31, 54, 43, 46, 28, 10, 37, 41, 44, 33, 51, 40"
"Mrs Miff","31, 57"
"Mrs Perch","59, 23, 17, 58, 31, 22, 46, 35, 13, 18, 51"
"Mrs Polly Toodle","19, 38, 23, 59, 2, 3, 58, 8, 57, 5, 22, 15, 28, 20, 56, 44, 6"
"Mrs Skewton","42, 28, 41, 30, 26, 21, 37, 34, 45, 47, 36, 40, 35, 31, 27"
"Mrs Wickam","8, 9, 58, 11, 18, 12"
"Old Glubb","14, 12"
"Paul Dombey","59, 1, 14, 13, 16, 58, 12, 19, 35, 3, 26, 51, 7, 36, 47, 31, 18, 2, 28, 30, 15, 10, 6, 24, 48, 29, 57, 62, 11, 8, 5"
"Reverend Feeder","60"
"Reverend Melchisedech","32, 15, 60"
"Robin Toodle","6, 52, 23, 5, 25, 32, 38, 22, 31, 46, 39, 56, 2, 42, 59"
"Sir Barnet Skettles","14, 24, 60"
"Solomon Gills","39, 15, 22, 56, 4, 9, 57, 23, 17, 32, 62, 50, 19, 25, 6"
"Susan Nipper","22, 18, 23, 3, 9, 19, 48, 28, 14, 61, 16, 5, 56, 43, 60, 44, 50, 12, 62, 6, 31, 39, 57, 15"
"The Game Chicken","22"
"The Native","20, 27, 26, 31, 21, 59"
"Towlinson","28, 59, 35, 18, 27, 17, 5, 8, 20, 23, 51, 44, 31, 50"
"Tozer","14, 41, 12, 60"
"Walter Gay","61, 49, 10, 32, 4, 50, 23, 6, 53, 9, 16, 39, 59, 17, 57, 25, 48, 28, 19, 60, 35, 62, 15, 56, 37, 31, 14, 13"
"Withers","37, 30, 21, 40, 27, 26"
