"V1","V2"
"Henrietta Musgrove","Jemima"
"Jemima","Louisa Musgrove"
"Jemima","Mary Elliot"
"Admiral Croft","Charles Musgrove"
"Admiral Croft","Elder Mr Charles Musgrove"
"Admiral Croft","Henrietta Musgrove"
"Admiral Croft","Louisa Musgrove"
"Captain Frederick Wentworth","Charles Musgrove"
"Captain Frederick Wentworth","Elder Mr Charles Musgrove"
"Captain Frederick Wentworth","Henrietta Musgrove"
"Captain Frederick Wentworth","Louisa Musgrove"
"Charles Musgrove","Edward Wentworth"
"Charles Musgrove","Mrs Croft"
"Edward Wentworth","Elder Mr Charles Musgrove"
"Edward Wentworth","Henrietta Musgrove"
"Edward Wentworth","Louisa Musgrove"
"Edward Wentworth","Mary Elliot"
"Elder Mr Charles Musgrove","Mrs Croft"
"Henrietta Musgrove","Mrs Croft"
"Louisa Musgrove","Mrs Croft"
"Admiral Croft","Mr Robinson"
"Anne Elliot","Mr Robinson"
"Captain Frederick Wentworth","Mr Robinson"
"Charles Musgrove","Mr Robinson"
"Elder Mr Charles Musgrove","Mr Robinson"
"Mary Elliot","Mr Robinson"
"Mr Robinson","Mrs Croft"
"Captain Frederick Wentworth","Jemima"
"Jemima","Mr Robinson"
"Admiral Croft","Captain Harville"
"Admiral Croft","Lady Mary Grierson"
"Anne Elliot","Captain Harville"
"Anne Elliot","Lady Mary Grierson"
"Captain Frederick Wentworth","Captain Harville"
"Captain Frederick Wentworth","Lady Mary Grierson"
"Captain Harville","Charles Musgrove"
"Captain Harville","Henrietta Musgrove"
"Captain Harville","Lady Mary Grierson"
"Captain Harville","Louisa Musgrove"
"Charles Musgrove","Lady Mary Grierson"
"Henrietta Musgrove","Lady Mary Grierson"
"Lady Mary Grierson","Louisa Musgrove"
"Captain Harville","Elder Mr Charles Musgrove"
"Captain Harville","Mrs Croft"
"Anne Elliot","The Miss Hayters"
"Captain Frederick Wentworth","The Miss Hayters"
"Henrietta Musgrove","The Miss Hayters"
"Louisa Musgrove","The Miss Hayters"
"Admiral Croft","Charles Hayter"
"Admiral Croft","Mr Hayter"
"Admiral Croft","Mrs Hayter"
"Anne Elliot","Charles Hayter"
"Anne Elliot","Mr Hayter"
"Anne Elliot","Mrs Hayter"
"Captain Frederick Wentworth","Charles Hayter"
"Captain Frederick Wentworth","Mr Hayter"
"Captain Frederick Wentworth","Mrs Hayter"
"Charles Hayter","Charles Musgrove"
"Charles Hayter","Edward Wentworth"
"Charles Hayter","Elder Mr Charles Musgrove"
"Charles Hayter","Henrietta Musgrove"
"Charles Hayter","Louisa Musgrove"
"Charles Hayter","Mary Elliot"
"Charles Hayter","Mr Hayter"
"Charles Hayter","Mrs Croft"
"Charles Hayter","Mrs Hayter"
"Charles Musgrove","Mr Hayter"
"Charles Musgrove","Mrs Hayter"
"Edward Wentworth","Mr Hayter"
"Edward Wentworth","Mrs Hayter"
"Elder Mr Charles Musgrove","Mr Hayter"
"Elder Mr Charles Musgrove","Mrs Hayter"
"Henrietta Musgrove","Mr Hayter"
"Henrietta Musgrove","Mrs Hayter"
"Louisa Musgrove","Mr Hayter"
"Louisa Musgrove","Mrs Hayter"
"Mary Elliot","Mr Hayter"
"Mary Elliot","Mrs Hayter"
"Mr Hayter","Mrs Croft"
"Mr Hayter","Mrs Hayter"
"Mrs Croft","Mrs Hayter"
"Anne Elliot","Doctor Shirley"
"Captain Frederick Wentworth","Doctor Shirley"
"Charles Hayter","Doctor Shirley"
"Charles Musgrove","Doctor Shirley"
"Doctor Shirley","Elder Mr Charles Musgrove"
"Doctor Shirley","Henrietta Musgrove"
"Doctor Shirley","Louisa Musgrove"
"Doctor Shirley","Mary Elliot"
"Captain Frederick Wentworth","Walter Musgrove"
"Charles Hayter","Walter Musgrove"
"Doctor Shirley","Walter Musgrove"
"Charles Hayter","Lady Russell"
"Captain Harville","Lady Russell"
"Captain Harville","Mary Elliot"
"Anne Elliot","Captain Benwick"
"Anne Elliot","Fanny Harville"
"Captain Benwick","Captain Frederick Wentworth"
"Captain Benwick","Captain Harville"
"Captain Benwick","Fanny Harville"
"Captain Benwick","Louisa Musgrove"
"Captain Frederick Wentworth","Fanny Harville"
"Captain Harville","Fanny Harville"
"Fanny Harville","Louisa Musgrove"
"Anne Elliot","Mrs Shirley"
"Captain Frederick Wentworth","Mrs Shirley"
"Doctor Shirley","Lady Russell"
"Doctor Shirley","Mrs Shirley"
"Henrietta Musgrove","Mrs Shirley"
"Lady Russell","Mrs Shirley"
"Louisa Musgrove","Mrs Shirley"
"Captain Benwick","Charles Musgrove"
"Captain Benwick","Elizabeth Elliot"
"Captain Benwick","Henrietta Musgrove"
"Captain Benwick","Mary Elliot"
"Captain Benwick","Mr William Elliot"
"Captain Benwick","Sir Walter Elliot"
"Captain Frederick Wentworth","Mr William Elliot"
"Henrietta Musgrove","Mr William Elliot"
"Henrietta Musgrove","Sir Walter Elliot"
"Louisa Musgrove","Mr William Elliot"
"Louisa Musgrove","Sir Walter Elliot"
"Captain Benwick","Doctor Shirley"
"Captain Benwick","Elder Mr Charles Musgrove"
"Captain Harville","Doctor Shirley"
"Captain Harville","Mr William Elliot"
"Doctor Shirley","Mr William Elliot"
"Elder Mr Charles Musgrove","Mr William Elliot"
"Anne Elliot","Harry Musgrove"
"Anne Elliot","Sarah"
"Captain Benwick","Charles Hayter"
"Captain Benwick","Harry Musgrove"
"Captain Benwick","Lady Russell"
"Captain Benwick","Sarah"
"Captain Frederick Wentworth","Harry Musgrove"
"Captain Frederick Wentworth","Sarah"
"Captain Harville","Charles Hayter"
"Captain Harville","Harry Musgrove"
"Captain Harville","Sarah"
"Charles Hayter","Harry Musgrove"
"Charles Hayter","Sarah"
"Charles Musgrove","Harry Musgrove"
"Charles Musgrove","Sarah"
"Elder Mr Charles Musgrove","Harry Musgrove"
"Elder Mr Charles Musgrove","Sarah"
"Harry Musgrove","Henrietta Musgrove"
"Harry Musgrove","Lady Russell"
"Harry Musgrove","Louisa Musgrove"
"Harry Musgrove","Mary Elliot"
"Harry Musgrove","Sarah"
"Henrietta Musgrove","Sarah"
"Lady Russell","Sarah"
"Louisa Musgrove","Sarah"
"Mary Elliot","Sarah"
"Admiral Croft","Captain Benwick"
"Captain Benwick","Mrs Croft"
"Captain Benwick","Mrs Penelope Clay"
"Captain Harville","Mrs Penelope Clay"
"Charles Musgrove","Mrs Penelope Clay"
"Elder Mr Charles Musgrove","Mrs Penelope Clay"
"Henrietta Musgrove","Mrs Penelope Clay"
