"Character","Node","Appearances"
"Daniel Peggotty",197,68
"Daniel Peggotty",15,68
"Daniel Peggotty",384,68
"Daniel Peggotty",142,68
"Daniel Peggotty",383,68
"Daniel Peggotty",326,68
"Daniel Peggotty",17,68
"Daniel Peggotty",199,68
"Daniel Peggotty",206,68
"Daniel Peggotty",356,68
"Daniel Peggotty",354,68
"Daniel Peggotty",45,68
"Daniel Peggotty",322,68
"Daniel Peggotty",46,68
"Daniel Peggotty",220,68
"Daniel Peggotty",196,68
"David Copperfield",229,236
"David Copperfield",7,236
"David Copperfield",43,236
"David Copperfield",161,236
"David Copperfield",76,236
"David Copperfield",154,236
"David Copperfield",104,236
"David Copperfield",384,236
"David Copperfield",50,236
"David Copperfield",41,236
"David Copperfield",38,236
"David Copperfield",276,236
"David Copperfield",25,236
"David Copperfield",63,236
"David Copperfield",326,236
"David Copperfield",241,236
"David Copperfield",27,236
"David Copperfield",20,236
"David Copperfield",327,236
"David Copperfield",188,236
"David Copperfield",79,236
"David Copperfield",10,236
"David Copperfield",223,236
"David Copperfield",334,236
"David Copperfield",318,236
"David Copperfield",179,236
"David Copperfield",225,236
"David Copperfield",255,236
"David Copperfield",234,236
"David Copperfield",73,236
"David Copperfield",296,236
"David Copperfield",37,236
"David Copperfield",250,236
"David Copperfield",51,236
"David Copperfield",2,236
"David Copperfield",112,236
"David Copperfield",367,236
"David Copperfield",321,236
"David Copperfield",288,236
"David Copperfield",254,236
"David Copperfield",172,236
"David Copperfield",46,236
"David Copperfield",17,236
"David Copperfield",111,236
"David Copperfield",155,236
"David Copperfield",180,236
"David Copperfield",26,236
"David Copperfield",18,236
"David Copperfield",273,236
"David Copperfield",167,236
"David Copperfield",248,236
"David Copperfield",55,236
"David Copperfield",330,236
"David Copperfield",199,236
"David Copperfield",11,236
"David Copperfield",306,236
"David Copperfield",344,236
"David Copperfield",324,236
"David Copperfield",258,236
"David Copperfield",166,236
"David Copperfield",122,236
"David Copperfield",314,236
"David Copperfield",238,236
"David Copperfield",243,236
"David Copperfield",380,236
"David Copperfield",325,236
"David Copperfield",93,236
"David Copperfield",295,236
"David Copperfield",168,236
"David Copperfield",226,236
"David Copperfield",94,236
"David Copperfield",102,236
"David Copperfield",195,236
"David Copperfield",244,236
"David Copperfield",181,236
"David Copperfield",186,236
"David Copperfield",96,236
"David Copperfield",245,236
"David Copperfield",268,236
"David Copperfield",212,236
"David Copperfield",34,236
"David Copperfield",53,236
"David Copperfield",354,236
"David Copperfield",68,236
"David Copperfield",77,236
"David Copperfield",365,236
"David Copperfield",119,236
"David Copperfield",214,236
"David Copperfield",62,236
"David Copperfield",183,236
"David Copperfield",151,236
"David Copperfield",158,236
"David Copperfield",99,236
"David Copperfield",263,236
"David Copperfield",121,236
"David Copperfield",19,236
"David Copperfield",176,236
"David Copperfield",131,236
"David Copperfield",224,236
"David Copperfield",200,236
"David Copperfield",232,236
"David Copperfield",101,236
"David Copperfield",178,236
"David Copperfield",13,236
"David Copperfield",332,236
"David Copperfield",201,236
"David Copperfield",309,236
"David Copperfield",147,236
"David Copperfield",266,236
"David Copperfield",349,236
"David Copperfield",31,236
"David Copperfield",363,236
"David Copperfield",260,236
"David Copperfield",162,236
"David Copperfield",320,236
"David Copperfield",103,236
"David Copperfield",253,236
"David Copperfield",24,236
"David Copperfield",60,236
"David Copperfield",156,236
"David Copperfield",110,236
"David Copperfield",204,236
"David Copperfield",182,236
"David Copperfield",269,236
"David Copperfield",322,236
"David Copperfield",213,236
"David Copperfield",221,236
"David Copperfield",9,236
"David Copperfield",42,236
"David Copperfield",69,236
"David Copperfield",230,236
"David Copperfield",303,236
"David Copperfield",270,236
"David Copperfield",370,236
"David Copperfield",130,236
"David Copperfield",145,236
"David Copperfield",257,236
"David Copperfield",337,236
"David Copperfield",280,236
"David Copperfield",185,236
"David Copperfield",49,236
"David Copperfield",114,236
"David Copperfield",160,236
"David Copperfield",139,236
"David Copperfield",282,236
"David Copperfield",115,236
"David Copperfield",227,236
"David Copperfield",251,236
"David Copperfield",261,236
"David Copperfield",340,236
"David Copperfield",252,236
"David Copperfield",45,236
"David Copperfield",333,236
"David Copperfield",387,236
"David Copperfield",187,236
"David Copperfield",85,236
"David Copperfield",297,236
"David Copperfield",311,236
"David Copperfield",372,236
"David Copperfield",256,236
"David Copperfield",328,236
"David Copperfield",377,236
"David Copperfield",374,236
"David Copperfield",298,236
"David Copperfield",127,236
"David Copperfield",149,236
"David Copperfield",142,236
