"x"
"Abel Garland"
"Barbara"
"Becky Morgan"
"Dame West"
"Daniel Quilp"
"David"
"Dick Swiveller"
"Foxey"
"Frederick Trent"
"George"
"Harry"
"Isaac List"
"Jacob Nubbles"
"James Groves"
"Jane Wackles"
"Jerry"
"Joe Jowl"
"John Owen"
"Kit Nubbles"
"Little Nell"
"Maunders"
"Melissa Wackles"
"Miss Cheggs"
"Miss Edwards"
"Miss Monflathers"
"Mr Cheggs"
"Mr Chuckster"
"Mr Garland"
"Mr Grinder"
"Mr Harris"
"Mr Marton"
"Mr Slum"
"Mr Tomkinley"
"Mr Vuffin"
"Mr Witherden"
"Mrs Betsy Quilp"
"Mrs Garland"
"Mrs George"
"Mrs Henrietta Simmons"
"Mrs Jarley"
"Mrs Jiniwin"
"Mrs Nubbles"
"Mrs Wackles"
"Nell Trent"
"Nell's Grandfather"
"Richard Evans"
"Sally Brass"
"Sampson Brass"
"Sophia Wackles"
"Sophronia Sphynx"
"Sweet William"
"The Bachelor"
"The Clergyman"
"Thomas Codlin"
"Tom Scott"
"Whisker"
