"source" "target" "tag"
63 64 "Krook"
63 64 "Mr Tulkinghorn"
63 64 "Mrs Perkins"
63 64 "Mrs Piper"
64 65 "Little Swills"
63 65 "Mr Snagsby"
64 65 "Mr Tulkinghorn"
58 66 "Guster"
65 66 "Jo"
64 66 "Krook"
65 66 "Mr Snagsby"
62 66 "Mrs Snagsby"
52 67 "Lady Dedlock"
65 67 "Mr Tulkinghorn"
39 67 "Mrs Rouncewell"
52 67 "Sir Dedlock"
67 68 "Lady Dedlock"
67 68 "Mrs Rouncewell"
38 68 "Rosa"
67 68 "Sir Dedlock"
39 68 "Watt Rouncewell"
68 69 "Lady Dedlock"
68 69 "Rosa"
68 69 "Sir Dedlock"
68 69 "Watt Rouncewell"
69 70 "Lady Dedlock"
67 70 "Mr Tulkinghorn"
69 70 "Sir Dedlock"
70 71 "Lady Dedlock"
53 71 "Lawrence Boythorn"
69 71 "Mademoiselle Hortense"
70 71 "Mr Tulkinghorn"
70 71 "Sir Dedlock"
71 72 "Lady Dedlock"
71 72 "Mr Tulkinghorn"
71 72 "Sir Dedlock"
53 73 "Ada Clare"
53 73 "Conversation Kenge"
49 73 "Esther Summerson"
53 73 "John Jarndyce"
71 73 "Lawrence Boythorn"
53 73 "Richard Carstone"
73 74 "Ada Clare"
73 74 "Conversation Kenge"
73 74 "John Jarndyce"
73 74 "Lawrence Boythorn"
73 74 "Richard Carstone"
55 74 "William Guppy"
74 75 "Ada Clare"
74 75 "Conversation Kenge"
74 75 "John Jarndyce"
74 75 "Richard Carstone"
74 75 "William Guppy"
75 76 "Ada Clare"
75 76 "Captain Swosser"
73 76 "Esther Summerson"
75 76 "John Jarndyce"
75 76 "Mr Badger"
75 76 "Mrs Badger"
75 76 "Professor Dingo"
75 76 "Richard Carstone"
76 77 "Ada Clare"
76 77 "Esther Summerson"
76 77 "John Jarndyce"
76 77 "Richard Carstone"
77 78 "Ada Clare"
77 78 "Esther Summerson"
77 78 "John Jarndyce"
77 78 "Richard Carstone"
78 80 "Ada Clare"
78 80 "Esther Summerson"
78 80 "John Jarndyce"
44 80 "Mr Jellyby"
44 80 "Mrs Jellyby"
28 80 "Peepy Jellby"
78 80 "Richard Carstone"
80 81 "Ada Clare"
80 81 "John Jarndyce"
80 81 "Mr Jellyby"
20 81 "Mr Quale"
80 81 "Mrs Jellyby"
80 81 "Peepy Jellby"
81 82 "Ada Clare"
28 82 "Caroline Caddy"
62 82 "Miss Flite"
81 82 "Peepy Jellby"
82 83 "Ada Clare"
82 83 "Caroline Caddy"
82 83 "Miss Flite"
82 83 "Mr Turveydrop"
82 83 "Peepy Jellby"
82 83 "Prince Turvey"
83 84 "Mr Turveydrop"
83 85 "Caroline Caddy"
80 85 "Esther Summerson"
84 85 "Mr Turveydrop"
83 85 "Prince Turvey"
83 86 "Ada Clare"
85 86 "Caroline Caddy"
75 86 "Conversation Kenge"
81 86 "John Jarndyce"
66 86 "Krook"
83 86 "Miss Flite"
85 86 "Mr Turveydrop"
83 86 "Peepy Jellby"
85 86 "Prince Turvey"
75 86 "William Guppy"
86 87 "Ada Clare"
86 87 "John Jarndyce"
86 87 "Krook"
86 87 "Miss Flite"
87 88 "Ada Clare"
86 88 "Allan Woodcourt"
86 88 "Caroline Caddy"
87 88 "John Jarndyce"
87 88 "Krook"
76 88 "Mr Badger"
86 88 "Peepy Jellby"
88 89 "Ada Clare"
88 89 "John Jarndyce"
44 89 "Mr Gusher"
81 89 "Mr Quale"
49 89 "Mr Skimpole"
81 89 "Mrs Jellyby"
47 89 "Mrs Pardiggle"
89 90 "Ada Clare"
58 90 "Coavinses"
89 90 "John Jarndyce"
74 90 "Lawrence Boythorn"
89 90 "Mr Skimpole"
90 91 "Ada Clare"
90 91 "Coavinses"
90 91 "John Jarndyce"
3 91 "Mr Gridley"
90 91 "Mr Skimpole"
91 92 "Ada Clare"
91 92 "Charley"
91 92 "Emma Neckett"
91 92 "John Jarndyce"
91 92 "Mr Gridley"
91 92 "Mr Skimpole"
91 92 "Mrs Blinder"
92 93 "Charley"
92 93 "John Jarndyce"
92 93 "Mr Gridley"
92 93 "Mrs Blinder"
92 93 "Tom Neckett"
91 94 "Coavinses"
93 94 "John Jarndyce"
93 94 "Mr Gridley"
92 94 "Mr Skimpole"
72 94 "Mr Tulkinghorn"
93 94 "Tom Neckett"
93 95 "Charley"
94 95 "Coavinses"
93 95 "Mrs Blinder"
66 96 "Jo"
72 96 "Lady Dedlock"
90 96 "Lawrence Boythorn"
6 96 "Mercury"
72 96 "Sir Dedlock"
96 97 "Jo"
94 97 "Mr Gridley"
94 97 "Mr Tulkinghorn"
97 98 "Jo"
88 98 "Krook"
97 98 "Mr Tulkinghorn"
98 99 "Jo"
96 99 "Lady Dedlock"
96 99 "Mercury"
68 99 "Mrs Rouncewell"
69 99 "Rosa"
96 99 "Sir Dedlock"
92 100 "Ada Clare"
88 100 "Allan Woodcourt"
76 100 "Captain Swosser"
85 100 "Esther Summerson"
88 100 "Mr Badger"
76 100 "Mrs Badger"
76 100 "Professor Dingo"
80 100 "Richard Carstone"
100 101 "Ada Clare"
100 101 "Captain Swosser"
100 101 "Esther Summerson"
94 101 "John Jarndyce"
100 101 "Mr Badger"
100 101 "Mrs Badger"
100 101 "Professor Dingo"
100 101 "Richard Carstone"
101 102 "Ada Clare"
86 102 "Conversation Kenge"
101 102 "Esther Summerson"
101 102 "John Jarndyce"
101 102 "Richard Carstone"
102 103 "Ada Clare"
102 103 "Esther Summerson"
102 103 "John Jarndyce"
102 103 "Richard Carstone"
100 104 "Allan Woodcourt"
102 104 "Conversation Kenge"
103 104 "Esther Summerson"
103 105 "Ada Clare"
104 105 "Allan Woodcourt"
88 105 "Caroline Caddy"
104 105 "Esther Summerson"
87 105 "Miss Flite"
86 105 "Prince Turvey"
105 106 "Ada Clare"
104 106 "Conversation Kenge"
103 106 "John Jarndyce"
99 106 "Lady Dedlock"
96 106 "Lawrence Boythorn"
101 106 "Mr Badger"
94 106 "Mr Skimpole"
103 106 "Richard Carstone"
106 107 "John Jarndyce"
106 107 "Lawrence Boythorn"
106 107 "Mr Skimpole"
99 107 "Sir Dedlock"
106 108 "Ada Clare"
106 108 "Lady Dedlock"
107 108 "Lawrence Boythorn"
36 108 "Mr Rouncewell"
108 109 "Lady Dedlock"
108 109 "Lawrence Boythorn"
107 109 "Mr Skimpole"
107 109 "Sir Dedlock"
108 110 "Ada Clare"
105 110 "Esther Summerson"
109 110 "Lady Dedlock"
109 110 "Lawrence Boythorn"
109 110 "Mr Skimpole"
109 110 "Sir Dedlock"
110 111 "Ada Clare"
110 111 "Esther Summerson"
107 111 "John Jarndyce"
110 111 "Lady Dedlock"
33 111 "Mrs Skimpole"
110 111 "Sir Dedlock"
111 112 "Ada Clare"
111 112 "John Jarndyce"
111 112 "Lady Dedlock"
71 112 "Mademoiselle Hortense"
111 112 "Sir Dedlock"
112 113 "Mademoiselle Hortense"
98 114 "Krook"
65 114 "Little Swills"
66 114 "Mr Snagsby"
66 115 "Guster"
114 115 "Mr Snagsby"
10 115 "Mrs Chadband"
66 115 "Mrs Snagsby"
115 116 "Guster"
115 116 "Mr Snagsby"
