"source" "target" "tag"
"174" 37 38 "Lucretia Tox"
"175" 38 39 "Lucretia Tox"
"176" 38 39 "Major Bagstock"
"177" 37 39 "Mrs Chick"
"178" 37 39 "Paul Dombey"
"179" 39 40 "Lucretia Tox"
"180" 39 40 "Major Bagstock"
"181" 39 40 "Mrs Chick"
"182" 26 40 "Mrs Dombey I"
"183" 39 40 "Paul Dombey"
"184" 40 41 "Lucretia Tox"
"185" 40 41 "Major Bagstock"
"186" 28 41 "Mr Chick"
"187" 37 41 "Mr Dombey"
"188" 40 41 "Mrs Chick"
"189" 37 41 "Mrs Polly Toodle"
"190" 40 41 "Paul Dombey"
"191" 5 42 "Doctor Parker Peps"
"192" 37 42 "Florence Dombey"
"193" 41 42 "Lucretia Tox"
"194" 41 42 "Mr Dombey"
"195" 2 42 "Mr Pilkins"
"196" 41 42 "Paul Dombey"
"197" 42 43 "Florence Dombey"
"198" 42 43 "Lucretia Tox"
"199" 42 43 "Mr Dombey"
"200" 42 43 "Mr Pilkins"
"201" 41 43 "Mrs Chick"
"202" 41 43 "Mrs Wickam"
"203" 42 43 "Paul Dombey"
"204" 43 44 "Lucretia Tox"
"205" 43 44 "Mr Dombey"
"206" 43 44 "Mr Pilkins"
"207" 43 44 "Mrs Chick"
"208" 43 44 "Mrs Wickam"
"209" 43 44 "Paul Dombey"
"210" 25 44 "Towlinson"
"211" 43 45 "Florence Dombey"
"212" 44 45 "Lucretia Tox"
"213" 44 45 "Mr Dombey"
"214" 44 45 "Mrs Chick"
"215" 44 45 "Mrs Wickam"
"216" 44 45 "Paul Dombey"
"217" 45 46 "Florence Dombey"
"218" 45 46 "Lucretia Tox"
"219" 45 46 "Mr Dombey"
"220" 45 46 "Mrs Chick"
"221" 45 46 "Mrs Wickam"
"222" 45 46 "Paul Dombey"
"223" 46 47 "Berinthia"
"224" 46 47 "Florence Dombey"
"225" 46 47 "Master Bitherstone"
"226" 46 47 "Miss Pankey"
"227" 46 47 "Mr Dombey"
"228" 46 47 "Mrs Wickam"
"229" 46 47 "Paul Dombey"
"230" 47 48 "Berinthia"
"231" 47 48 "Florence Dombey"
"232" 47 48 "Mrs Wickam"
"233" 47 48 "Paul Dombey"
"234" 48 49 "Berinthia"
"235" 48 49 "Florence Dombey"
"236" 48 49 "Mrs Wickam"
"237" 48 49 "Paul Dombey"
"238" 20 50 "Captain Cuttle"
"239" 49 50 "Florence Dombey"
"240" 47 50 "Mr Dombey"
"241" 33 50 "Mrs Brown"
"242" 49 50 "Mrs Wickam"
"243" 36 50 "Solomon Gills"
"244" 37 50 "Susan Nipper"
"245" 36 50 "Walter Gay"
"246" 35 51 "Mr Carker"
"247" 50 51 "Solomon Gills"
"248" 50 51 "Walter Gay"
"249" 50 52 "Captain Cuttle"
"250" 51 52 "Mr Brogley"
"251" 51 52 "Solomon Gills"
"252" 51 52 "Walter Gay"
"253" 52 53 "Captain Cuttle"
"254" 52 53 "Walter Gay"
"255" 53 54 "Captain Cuttle"
"256" 52 54 "Mr Brogley"
"257" 52 54 "Solomon Gills"
"258" 53 54 "Walter Gay"
"259" 54 55 "Captain Cuttle"
"260" 50 55 "Mr Dombey"
"261" 54 55 "Solomon Gills"
"262" 54 55 "Walter Gay"
"263" 50 56 "Florence Dombey"
"264" 46 56 "Lucretia Tox"
"265" 41 56 "Major Bagstock"
"266" 47 56 "Master Bitherstone"
"267" 55 56 "Mr Dombey"
"268" 49 56 "Paul Dombey"
"269" 56 57 "Bill Bitherstone"
"270" 56 57 "Florence Dombey"
"271" 56 57 "Lucretia Tox"
"272" 56 57 "Major Bagstock"
"273" 56 57 "Master Bitherstone"
"274" 56 57 "Mr Dombey"
"275" 46 57 "Mrs Chick"
"276" 56 57 "Paul Dombey"
"277" 55 58 "Captain Cuttle"
"278" 57 58 "Florence Dombey"
"279" 57 58 "Lucretia Tox"
"280" 57 58 "Major Bagstock"
"281" 57 58 "Mr Dombey"
"282" 57 58 "Mrs Chick"
"283" 57 58 "Paul Dombey"
"284" 55 58 "Walter Gay"
"285" 58 59 "Captain Cuttle"
"286" 58 59 "Florence Dombey"
"287" 58 59 "Lucretia Tox"
"288" 58 59 "Mr Dombey"
"289" 58 59 "Mrs Chick"
"290" 58 59 "Paul Dombey"
"291" 58 59 "Walter Gay"
"292" 59 60 "Captain Cuttle"
"293" 59 60 "Florence Dombey"
"294" 59 60 "Lucretia Tox"
"295" 51 60 "Mr Carker"
"296" 59 60 "Mr Dombey"
"297" 59 60 "Mrs Chick"
"298" 59 60 "Paul Dombey"
"299" 59 60 "Walter Gay"
"300" 60 61 "Captain Cuttle"
"301" 60 61 "Florence Dombey"
"302" 58 61 "Major Bagstock"
"303" 60 61 "Mr Dombey"
"304" 60 61 "Walter Gay"
"305" 49 62 "Berinthia"
"306" 61 62 "Florence Dombey"
"307" 57 62 "Master Bitherstone"
"308" 61 62 "Mr Dombey"
"309" 50 62 "Mrs Wickam"
"310" 60 62 "Paul Dombey"
"311" 62 63 "Mr Dombey"
"312" 62 63 "Paul Dombey"
"313" 63 64 "Doctor Blimber"
"314" 62 64 "Florence Dombey"
"315" 62 64 "Master Bitherstone"
"316" 47 64 "Miss Pankey"
"317" 63 64 "Mr Dombey"
"318" 63 64 "Paul Dombey"
"319" 64 65 "Doctor Blimber"
"320" 64 65 "Florence Dombey"
"321" 64 65 "Mr Dombey"
"322" 64 65 "Paul Dombey"
"323" 64 66 "Cornelia Blimber"
"324" 65 66 "Doctor Blimber"
"325" 65 66 "Florence Dombey"
"326" 65 66 "Mr Dombey"
"327" 64 66 "Mr Feeder"
"328" 64 66 "Mr Toots"
"329" 64 66 "Mrs Blimber"
"330" 65 66 "Paul Dombey"
"331" 66 67 "Cornelia Blimber"
"332" 66 67 "Doctor Blimber"
"333" 66 67 "Florence Dombey"
"334" 66 67 "Mr Dombey"
"335" 66 67 "Mr Toots"
"336" 66 67 "Mrs Blimber"
"337" 66 67 "Paul Dombey"
"338" 67 68 "Cornelia Blimber"
"339" 67 68 "Doctor Blimber"
"340" 67 68 "Florence Dombey"
"341" 66 68 "Mr Feeder"
"342" 67 68 "Mr Toots"
"343" 67 68 "Mrs Blimber"
"344" 67 68 "Paul Dombey"
"345" 68 69 "Cornelia Blimber"
"346" 64 69 "Master Bitherstone"
"347" 68 69 "Mr Feeder"
"348" 68 69 "Mr Toots"
"349" 68 69 "Paul Dombey"
"350" 69 70 "Cornelia Blimber"
"351" 68 70 "Doctor Blimber"
"352" 69 70 "Mr Feeder"
"353" 69 70 "Mr Toots"
"354" 68 70 "Mrs Blimber"
"355" 69 70 "Paul Dombey"
"356" 69 71 "Briggs"
"357" 70 71 "Cornelia Blimber"
"358" 70 71 "Doctor Blimber"
"359" 68 71 "Florence Dombey"
"360" 70 71 "Johnson"
"361" 70 71 "Mr Feeder"
"362" 70 71 "Mr Toots"
"363" 70 71 "Paul Dombey"
"364" 69 71 "Tozer"
"365" 71 72 "Cornelia Blimber"
"366" 71 72 "Florence Dombey"
"367" 71 72 "Mr Feeder"
"368" 62 72 "Mrs Wickam"
"369" 68 72 "Old Glubb"
"370" 71 72 "Paul Dombey"
"371" 71 72 "Tozer"
"372" 72 73 "Cornelia Blimber"
"373" 71 73 "Doctor Blimber"
"374" 72 73 "Florence Dombey"
"375" 72 73 "Mrs Wickam"
"376" 72 73 "Paul Dombey"
"377" 50 73 "Susan Nipper"
"378" 71 74 "Briggs"
"379" 73 74 "Cornelia Blimber"
"380" 73 74 "Doctor Blimber"
"381" 73 74 "Florence Dombey"
"382" 67 74 "Mr Dombey"
"383" 71 74 "Mr Toots"
"384" 70 74 "Mrs Blimber"
"385" 73 74 "Paul Dombey"
"386" 73 74 "Susan Nipper"
"387" 74 75 "Doctor Blimber"
"388" 74 75 "Florence Dombey"
"389" 74 75 "Mr Toots"
"390" 74 75 "Paul Dombey"
"391" 60 76 "Mr Carker"
"392" 74 76 "Mr Dombey"
"393" 17 76 "Mr Morfin"
"394" 76 77 "Mr Carker"
"395" 76 77 "Mr Dombey"
"396" 76 77 "Mr Morfin"
"397" 75 77 "Paul Dombey"
"398" 61 77 "Walter Gay"
"399" 61 78 "Captain Cuttle"
"400" 75 78 "Florence Dombey"
"401" 77 78 "Mr Carker"
"402" 77 78 "Mr Dombey"
"403" 77 78 "Walter Gay"
"404" 78 79 "Mr Carker"
"405" 78 79 "Walter Gay"
"406" 79 80 "James Carker"
"407" 79 80 "Mr Carker"
"408" 77 80 "Mr Morfin"
"409" 79 80 "Walter Gay"
"410" 78 81 "Captain Cuttle"
"411" 78 81 "Florence Dombey"
"412" 76 81 "Mr Perch"
"413" 80 81 "Walter Gay"
"414" 74 82 "Briggs"
"415" 74 82 "Cornelia Blimber"
"416" 75 82 "Doctor Blimber"
"417" 81 82 "Florence Dombey"
"418" 72 82 "Mr Feeder"
"419" 75 82 "Mr Toots"
"420" 74 82 "Mrs Blimber"
"421" 77 82 "Paul Dombey"
"422" 72 82 "Tozer"
"423" 82 83 "Cornelia Blimber"
"424" 82 83 "Florence Dombey"
"425" 82 83 "Mrs Blimber"
"426" 72 83 "Old Glubb"
"427" 82 83 "Paul Dombey"
"428" 83 84 "Cornelia Blimber"
"429" 82 84 "Doctor Blimber"
"430" 82 84 "Mr Feeder"
"431" 82 84 "Mr Toots"
"432" 83 84 "Mrs Blimber"
"433" 83 84 "Paul Dombey"
"434" 82 85 "Briggs"
"435" 84 85 "Doctor Blimber"
"436" 83 85 "Florence Dombey"
"437" 84 85 "Mr Feeder"
"438" 84 85 "Mr Toots"
"439" 84 85 "Mrs Blimber"
"440" 84 85 "Paul Dombey"
"441" 82 85 "Tozer"
"442" 85 86 "Briggs"
"443" 84 86 "Cornelia Blimber"
"444" 85 86 "Doctor Blimber"
"445" 85 86 "Florence Dombey"
"446" 78 86 "Mr Dombey"
"447" 85 86 "Mr Toots"
"448" 85 86 "Mrs Blimber"
"449" 85 86 "Paul Dombey"
"450" 85 86 "Tozer"
"451" 86 87 "Briggs"
"452" 86 87 "Cornelia Blimber"
"453" 86 87 "Doctor Blimber"
"454" 86 87 "Florence Dombey"
"455" 60 87 "Lucretia Tox"
"456" 85 87 "Mr Feeder"
"457" 86 87 "Mr Toots"
"458" 86 87 "Mrs Blimber"
"459" 86 87 "Paul Dombey"
"460" 81 87 "Walter Gay"
"461" 87 88 "Cornelia Blimber"
"462" 87 88 "Doctor Blimber"
"463" 87 88 "Florence Dombey"
"464" 71 88 "Johnson"
"465" 87 88 "Mr Feeder"
"466" 87 88 "Mr Toots"
"467" 87 88 "Mrs Blimber"
"468" 87 88 "Paul Dombey"
"469" 88 89 "Florence Dombey"
"470" 88 89 "Mr Baps"
"471" 88 89 "Mr Feeder"
"472" 88 89 "Mr Toots"
"473" 88 89 "Mrs Blimber"
"474" 88 89 "Paul Dombey"
"475" 88 90 "Cornelia Blimber"
"476" 88 90 "Doctor Blimber"
"477" 89 90 "Florence Dombey"
"478" 89 90 "Lady Skettles"
"479" 89 90 "Mr Baps"
"480" 89 90 "Mr Feeder"
"481" 89 90 "Mr Toots"
"482" 88 90 "Mrs Baps"
"483" 89 90 "Mrs Blimber"
"484" 89 90 "Paul Dombey"
"485" 89 90 "Sir Barnet Skettles"
"486" 89 91 "Barnet Skettles Jr"
"487" 90 91 "Cornelia Blimber"
"488" 90 91 "Doctor Blimber"
"489" 90 91 "Florence Dombey"
"490" 90 91 "Lady Skettles"
"491" 90 91 "Mr Feeder"
"492" 90 91 "Mr Toots"
"493" 90 91 "Mrs Blimber"
"494" 90 91 "Paul Dombey"
"495" 90 91 "Sir Barnet Skettles"
"496" 91 92 "Florence Dombey"
"497" 87 92 "Lucretia Tox"
"498" 91 92 "Paul Dombey"
"499" 74 92 "Susan Nipper"
"500" 81 93 "Captain Cuttle"
"501" 54 93 "Mr Brogley"
"502" 86 93 "Mr Dombey"
"503" 87 93 "Walter Gay"
"504" 93 94 "Captain Cuttle"
"505" 93 94 "Mr Dombey"
"506" 55 94 "Solomon Gills"
"507" 93 94 "Walter Gay"
"508" 94 95 "Captain Cuttle"
"509" 94 95 "Mr Dombey"
"510" 94 95 "Walter Gay"
"511" 95 96 "Captain Cuttle"
"512" 95 96 "Mr Dombey"
"513" 95 96 "Walter Gay"
"514" 92 97 "Florence Dombey"
"515" 50 97 "Mrs Brown"
"516" 41 97 "Mrs Polly Toodle"
"517" 92 97 "Paul Dombey"
"518" 92 97 "Susan Nipper"
"519" 96 97 "Walter Gay"
"520" 91 98 "Cornelia Blimber"
"521" 97 98 "Florence Dombey"
"522" 30 98 "Mr Toodle"
"523" 97 98 "Mrs Polly Toodle"
"524" 97 98 "Paul Dombey"
"525" 97 98 "Susan Nipper"
"526" 97 98 "Walter Gay"
"527" 96 99 "Captain Cuttle"
"528" 96 99 "Mr Dombey"
"529" 98 99 "Mrs Polly Toodle"
"530" 98 99 "Susan Nipper"
"531" 98 99 "Walter Gay"
"532" 91 100 "Doctor Blimber"
"533" 98 100 "Florence Dombey"
"534" 92 100 "Lucretia Tox"
"535" 98 100 "Paul Dombey"
"536" 100 101 "Florence Dombey"
"537" 100 101 "Paul Dombey"
"538" 99 101 "Susan Nipper"
"539" 99 101 "Walter Gay"
"540" 101 102 "Florence Dombey"
"541" 100 102 "Lucretia Tox"
"542" 99 103 "Captain Cuttle"
"543" 99 103 "Mr Dombey"
"544" 94 103 "Solomon Gills"
"545" 44 103 "Towlinson"
"546" 101 103 "Walter Gay"
"547" 103 104 "Captain Cuttle"
"548" 80 104 "Mr Carker"
"549" 81 104 "Mr Perch"
"550" 103 104 "Solomon Gills"
"551" 103 104 "Walter Gay"
"552" 104 105 "Captain Cuttle"
"553" 104 105 "Mr Carker"
"554" 104 105 "Mr Perch"
"555" 81 105 "Mrs Perch"
