"","ShannonWiener","Pielou","Richness"
"1",0,0,1
"2",0.693147180559945,1,2
"3",1.09861228866811,1,3
"4",1.03972077083992,0.946394630357186,3
"5",0.950270539233235,0.864973520717927,3
"6",1.242453324894,0.896240625180289,4
"7",1.27703425946614,0.921185496588554,4
"8",1.25548232517875,0.905639062229566,4
"9",1.31078367809971,0.945530556036326,4
"10",1.31383403319275,0.947730922119161,4
"11",1.49903067297901,0.931400125098263,5
"12",1.54542290319359,0.960225238422717,5
"13",1.69773359137439,0.947523158399061,6
"14",1.67311836264325,0.933785137669222,6
"15",1.71408754118701,0.956650471575569,6
"16",1.721402322014,0.960732928486008,6
"17",1.84386143796137,0.947557336527851,7
"18",1.87896749318881,0.965598280116377,7
"19",1.98626651786474,0.955192285069083,8
"20",2.01615371726138,0.969564989854281,8
"21",2.00447902323164,0.96395064879408,8
"22",2.01147635293959,0.96731565308379,8
"23",1.99408263649859,0.958951043599769,8
"24",1.97995056182321,0.952154952249218,8
"25",1.96056199695654,0.942831023454853,8
"26",2.04817939579873,0.932166614612429,9
"27",2.07938723419279,0.946369913954683,9
"28",2.05667042849912,0.936031050131662,9
"29",2.06989938888941,0.942051809469031,9
"30",2.07206946931915,0.943039455635074,9
"31",2.06052899082425,0.93778715752502,9
"32",2.05701037963789,0.936185768562485,9
"33",2.04347631997564,0.930026152562442,9
"34",2.03655469454571,0.926875985073269,9
"35",2.04384123860739,0.930192234189016,9
"36",2.03027171370827,0.92401647726408,9
"37",2.0147992922791,0.916974674806215,9
"38",2.00792291810722,0.913845102052108,9
"39",1.99839845455068,0.909510331881237,9
"40",1.98685812075976,0.904258099628807,9
"41",1.97377491870232,0.898303677767523,9
"42",1.99383091416513,0.907431554667173,9
"43",2.00560555403214,0.912790424210351,9
"44",2.01163103689253,0.915532739639799,9
"45",2.01341925594076,0.916346593201551,9
"46",2.03286991763661,0.925198970831253,9
"47",2.04472571648262,0.930594777417572,9
"48",2.05126682917079,0.933571766094854,9
"49",2.06312272052173,0.938967614781978,9
"50",2.05488278471274,0.935217458382862,9
"51",2.0620408650094,0.938475241119544,9
"52",2.11741635024563,0.919582236803401,10
"53",2.17106506160002,0.905404454576685,11
"54",2.22307621038906,0.894631679857562,12
"55",2.2126055447906,0.890417974043157,12
"56",2.23791750170974,0.900604254852257,12
"57",2.25347482765372,0.906864983377132,12
"58",2.3017213365756,0.897374963712171,13
"59",2.29028508988909,0.892916299975499,13
"60",2.29939073779783,0.896466330264498,13
"61",2.34534551228058,0.888705783675607,14
"62",2.3332200089967,0.884111149391685,14
"63",2.35569050931026,0.892625742864665,14
"64",2.37770683277779,0.900968238202098,14
"65",2.36519125443635,0.896225795436268,14
"66",2.37893832521221,0.901434879233574,14
"67",2.38742957329823,0.904652409974847,14
"68",2.40088760821878,0.909751971386239,14
"69",2.40924408182084,0.912918432951237,14
"70",2.4298980772966,0.920744710631523,14
"71",2.41795097655381,0.916217677206096,14
"72",2.40560475132278,0.911539406259691,14
"73",2.40799662296875,0.912445741873977,14
"74",2.40824617489157,0.912540302882567,14
"75",2.40675796360052,0.911976385125137,14
"76",2.4038353125525,0.91086892489105,14
"77",2.40943837996456,0.912992057022054,14
"78",2.40546405797963,0.911486094290463,14
"79",2.40048470018578,0.909599300192443,14
"80",2.39578805841063,0.907819633747747,14
"81",2.40184300382366,0.910113992928611,14
"82",2.40544527809415,0.911478978156503,14
"83",2.40709024996566,0.912102296131848,14
"84",2.40713297753356,0.912118486597823,14
"85",2.40584031704789,0.911628667573746,14
"86",2.40341985920094,0.910711499985234,14
"87",2.39899097631901,0.909033293592282,14
"88",2.39384530046981,0.907083477727558,14
"89",2.38807778321133,0.904898031737521,14
"90",2.38176895252724,0.902507469541965,14
"91",2.37498773573031,0.899937909297541,14
"92",2.37792830129258,0.901052157756366,14
"93",2.37938114197427,0.90160267276996,14
"94",2.3773341042861,0.900827002736118,14
"95",2.38225930229859,0.902693274437465,14
"96",2.38544730384592,0.903901282127011,14
"97",2.38719915889766,0.904565100617075,14
"98",2.38774160760585,0.904770647007487,14
"99",2.38725151580876,0.904584939864414,14
"100",2.3858705642971,0.904061665323857,14
"101",2.38371463599202,0.903244734111001,14
"102",2.38088010921254,0.902170666205133,14
"103",2.37744824276429,0.900870252451429,14
"104",2.40881477622858,0.889501522256922,15
"105",2.40468542458752,0.887976679165248,15
"106",2.40009443633704,0.886281367812224,15
"107",2.39509293710422,0.884434467326118,15
"108",2.42548547696429,0.874808967341145,16
"109",2.44268700719802,0.881013107932122,16
"110",2.45490238503535,0.885418874189248,16
"111",2.46391832327853,0.888670686537347,16
"112",2.49293709931516,0.879897415612942,17
"113",2.50925319196126,0.885656280429926,17
"114",2.51557366821412,0.887887131229114,17
"115",2.51003395676553,0.88593185614889,17
"116",2.50517211328863,0.884215838720447,17
"117",2.49996400471201,0.882377604904575,17
"118",2.52764596497386,0.874505488115369,18
"119",2.5220124781362,0.872556435429578,18
"120",2.51654291158125,0.870664095269525,18
"121",2.54360988655463,0.863869112096429,19
"122",2.53775740038069,0.861881471593316,19
"123",2.53166004372912,0.859810667377399,19
"124",2.53039025811472,0.859379418632431,19
"125",2.52853786547556,0.858750302983483,19
"126",2.52616726452325,0.857945191731703,19
"127",2.5233335797824,0.856982806448496,19
"128",2.52008446792603,0.855879332449081,19
"129",2.54594370756183,0.849856888092823,20
"130",2.57146474363113,0.844620066441017,21
"131",2.56762274930574,0.843358129830605,21
"132",2.59270897425078,0.838781418687369,22
"133",2.58843684270691,0.837399318115046,22
"134",2.58386977804416,0.835921802121115,22
"135",2.59817642809306,0.840550224494725,22
"136",2.59332707571,0.838981384061043,22
"137",2.60746357893278,0.843554761307097,22
"138",2.61765644581266,0.846852311254627,22
"139",2.61413129771583,0.845711871370663,22
"140",2.61028748606758,0.844468338903462,22
"141",2.60615464159893,0.843131299852393,22
"142",2.60849254092574,0.843887646412522,22
"143",2.60997057270388,0.844365812532997,22
"144",2.60502890365793,0.842767106232283,22
"145",2.62825820440538,0.838227731709128,23
"146",2.64172136572667,0.842521524136777,23
"147",2.64608826959152,0.843914256371033,23
"148",2.64091465471676,0.842264240610048,23
"149",2.6355639396301,0.840557742457547,23
"150",2.64531186019044,0.843666636905769,23
"151",2.64132738679645,0.84239587283491,23
"152",2.63710982562324,0.841050770314298,23
"153",2.65926703463491,0.836759594579856,24
"154",2.67217701777063,0.84082182380091,24
"155",2.66766122777916,0.839400894442086,24
"156",2.67708071672648,0.842364811811063,24
"157",2.67184103455244,0.840716104000011,24
"158",2.66645475845858,0.839021269242203,24
"159",2.66093408413618,0.837284145009228,24
"160",2.65529019224537,0.835508249385021,24
"161",2.64953335589841,0.833696814886338,24
"162",2.6436730337317,0.831852817748608,24
"163",2.64015571881766,0.830746066541172,24
"164",2.63702371178066,0.829760555532171,24
"165",2.64439671020594,0.832080528326488,24
