"source" "target" "tag"
64 71 "Toby Crackit"
71 72 "Barney"
71 72 "Bill Sikes"
65 72 "Fagin"
71 72 "Oliver Twist"
71 72 "Toby Crackit"
72 73 "Barney"
72 73 "Bill Sikes"
72 73 "Oliver Twist"
72 73 "Toby Crackit"
56 74 "Mr Bumble"
73 74 "Oliver Twist"
74 75 "Mr Bumble"
74 75 "Mrs Corney"
75 76 "Mr Bumble"
75 76 "Mrs Corney"
76 77 "Mrs Corney"
74 78 "Oliver Twist"
76 78 "Sally"
64 79 "Artful Dodger"
60 79 "Bet"
60 79 "Charley Bates"
72 79 "Fagin"
78 79 "Oliver Twist"
60 79 "Tom Chitling"
79 80 "Artful Dodger"
79 80 "Bet"
79 80 "Charley Bates"
79 80 "Fagin"
73 80 "Toby Crackit"
79 80 "Tom Chitling"
73 81 "Bill Sikes"
80 81 "Toby Crackit"
81 82 "Bill Sikes"
80 82 "Fagin"
81 82 "Toby Crackit"
73 83 "Barney"
82 83 "Bill Sikes"
82 83 "Fagin"
82 83 "Toby Crackit"
83 84 "Bill Sikes"
83 84 "Fagin"
67 84 "Nancy"
83 84 "Toby Crackit"
80 85 "Artful Dodger"
84 85 "Fagin"
84 85 "Toby Crackit"
85 86 "Edward Leeford"
85 86 "Toby Crackit"
76 87 "Mr Bumble"
77 87 "Mrs Corney"
22 88 "Charlotte"
87 88 "Mr Bumble"
24 88 "Mr Sowerberry"
87 88 "Mrs Corney"
22 88 "Mrs Sowerberry"
22 88 "Noah Claypole"
88 89 "Charlotte"
88 89 "Mr Bumble"
88 89 "Noah Claypole"
79 89 "Oliver Twist"
86 89 "Toby Crackit"
84 90 "Bill Sikes"
89 90 "Oliver Twist"
89 90 "Toby Crackit"
90 91 "Bill Sikes"
90 91 "Brittles"
90 91 "Mr Giles"
90 91 "Oliver Twist"
90 91 "Toby Crackit"
91 92 "Brittles"
91 92 "Mr Giles"
91 92 "Oliver Twist"
92 93 "Brittles"
92 93 "Mr Giles"
