"","x"
"1","Alfred Jingle"
"2","Angelo Cyrus Bantam"
"3","Anthony Humm"
"4","Arabella Allen"
"5","Augustus Snodgrass"
"6","Benjamin Allen"
"7","Betsy"
"8","Bill"
"9","Bob Sawyer"
"10","Boffer"
"11","Brooks"
"12","Brother Mordlin"
"13","Brother Tadger"
"14","Bullman"
"15","Chancery Prisoner"
"16","Charley"
"17","Clergyman"
"18","Colonel Bulder"
"19","Count Smorltork"
"20","Crookey"
"21","Daniel Grummer"
"22","Doctor Payne"
"23","Doctor Slammer"
"24","Dodson"
"25","Dowager Snuphanuph"
"26","Dubbley"
"27","Emily Wardle"
"28","Emma"
"29","Fogg"
"30","Frank Simmery"
"31","Gabriel Grub"
"32","George Heyling"
"33","Goodwin"
"34","Harris"
"35","Henry Beller"
"36","Hon Slumkey"
"37","Hon Snipe"
"38","Horatio Fizkin"
"39","Isabella Wardle"
"40","Jack Bamber"
"41","Jack Hopkins"
"42","Jackson"
"43","Jane1"
"44","Jem Hutley"
"45","Job Trotter"
"46","Joe"
"47","Joe Smiggers"
"48","John Edmunds"
"49","John Smauker"
"50","Jonas Mudge"
"51","Kate"
"52","Lady Clubber"
"53","Lieutenant Tappleton"
"54","Lord Mutanhed"
"55","Lud Hudibaras"
"56","Maria Lobbs"
"57","Martha Bardell"
"58","Mary"
"59","Miss Bolo"
"60","Miss Bulder"
"61","Miss Gwynn"
"62","Miss Nupkins"
"63","Miss Smithers"
"64","Miss Tomkins"
"65","Miss Witherfield"
"66","Misses Clubber"
"67","Misses Matinter"
"68","Misses Smithie"
"69","Mr Ayresleigh"
"70","Mr Blotton"
"71","Mr Crawley"
"72","Mr Crushton"
"73","Mr Dowler"
"74","Mr Dumkins"
"75","Mr Grundy"
"76","Mr Gunter"
"77","Mr Hunter"
"78","Mr Jinkins"
"79","Mr Jinks"
"80","Mr Lowten"
"81","Mr Luffey"
"82","Mr Mallard"
"83","Mr Miller"
"84","Mr Mivins"
"85","Mr Namby"
"86","Mr Noddy"
"87","Mr Nupkins"
"88","Mr Perker"
"89","Mr Phunky"
"90","Mr Podder"
"91","Mr Porkenham"
"92","Mr Pott"
"93","Mr Price"
"94","Mr Raddle"
"95","Mr Simpson"
"96","Mr Skimpin"
"97","Mr Slasher"
"98","Mr Smangle"
"99","Mr Smithies"
"100","Mr Smouch"
"101","Mr Snicks"
"102","Mr Staple"
"103","Mr Stareleigh"
"104","Mr Stiggins"
"105","Mr Struggles"
"106","Mr Trundle"
"107","Mr Tuckle"
"108","Mr Wardle"
"109","Mr Watty"
"110","Mr Whiffers"
"111","Mr Wicks"
"112","Mrs Budger"
"113","Mrs Bulder"
"114","Mrs Bunkin"
"115","Mrs Cluppins"
"116","Mrs Craddock"
"117","Mrs Dowler"
"118","Mrs Hunter"
"119","Mrs Mudberry"
"120","Mrs Nupkins"
"121","Mrs Porkenham"
"122","Mrs Pott"
"123","Mrs Raddle"
"124","Mrs Rogers"
"125","Mrs Sanders"
"126","Mrs Smithe"
"127","Mrs Tomlinson"
"128","Mrs Wardle"
"129","Mrs Weller"
"130","Mrs Wugsby"
"131","Muzzle"
"132","Nathaniel Pipkin"
"133","Nathaniel Winkle"
"134","Neddy"
"135","Old Lobbs"
"136","Peter Magnus"
"137","Prince Bladud"
"138","Pruffle"
"139","Quanko Samba"
"140","Rachael Wardle"
"141","Richard Upwitch"
"142","Sam"
"143","Sam Weller"
"144","Samuel Pickwick"
"145","Serjeant Buzfuz"
"146","Serjeant Snubbin"
"147","Sir Geoffrey Manning"
"148","Sololomon Lucas"
"149","Solomon Pell"
"150","Thomas Burton"
"151","Thomas Clubber"
"152","Thomas Groffin"
"153","Tom Bardell"
"154","Tom Cripps"
"155","Tom Martin"
"156","Tom Roker"
"157","Tom Smart"
"158","Tom Wildspark"
"159","Tommy"
"160","Tony Weller"
"161","Sir Thomas Blazo"
"162","Tracy Tupman"
"163","Wilkins Flasher"
"164","Wilkins"
