"Character","Node","Type","Appearances"
"Adam Smith Gradgrind",9,"First Appearance",1
"Adam Smith Gradgrind",9,"Last Appearance",1
"Bitzer",2,"First Appearance",16
"Bitzer",121,"Last Appearance",16
"Bounderby",6,"First Appearance",83
"Bounderby",121,"Last Appearance",83
"E.W.B. Childers",13,"First Appearance",5
"E.W.B. Childers",118,"Last Appearance",5
"Emma Gordon",16,"First Appearance",2
"Emma Gordon",114,"Last Appearance",2
"Harthouse",51,"First Appearance",29
"Harthouse",115,"Last Appearance",29
"Jane Gradgrind",9,"First Appearance",3
"Jane Gradgrind",79,"Last Appearance",3
"Kidderminster",13,"First Appearance",5
"Kidderminster",113,"Last Appearance",5
"Lady Scadgers",18,"First Appearance",4
"Lady Scadgers",120,"Last Appearance",4
"Louisa Gradgrind",6,"First Appearance",66
"Louisa Gradgrind",121,"Last Appearance",66
"M’Choakumchild",1,"First Appearance",7
"M’Choakumchild",39,"Last Appearance",7
"Malthus Gradgrind",9,"First Appearance",1
"Malthus Gradgrind",9,"Last Appearance",1
"Mr Sleary",119,"Last Appearance",14
"Mr Sleary",5,"First Appearance",14
"Mrs Blackpool",28,"First Appearance",6
"Mrs Blackpool",121,"Last Appearance",6
"Mrs Gradgrind",7,"First Appearance",14
"Mrs Gradgrind",80,"Last Appearance",14
"Mrs Pegler",7,"First Appearance",15
"Mrs Pegler",120,"Last Appearance",15
"Mrs Sparsit",18,"First Appearance",33
"Mrs Sparsit",120,"Last Appearance",33
"Nickits",67,"First Appearance",4
"Nickits",72,"Last Appearance",4
"Rachael",27,"First Appearance",26
"Rachael",121,"Last Appearance",26
"Signor Jupe",5,"First Appearance",2
"Signor Jupe",13,"Last Appearance",2
"Sissy Jupe",2,"First Appearance",41
"Sissy Jupe",121,"Last Appearance",41
"Slackbridge",56,"First Appearance",7
"Slackbridge",101,"Last Appearance",7
"Stephen Blackpool",27,"First Appearance",33
"Stephen Blackpool",121,"Last Appearance",33
"Thomas Gradgrind",2,"First Appearance",59
"Thomas Gradgrind",121,"Last Appearance",59
"Tom Gradgrind",5,"First Appearance",41
"Tom Gradgrind",121,"Last Appearance",41
