"source" "target" "tag"
63 64 "Tom Gradgrind"
63 65 "Bounderby"
64 65 "Louisa Gradgrind"
63 65 "Mrs Pegler"
64 65 "Rachael"
64 65 "Stephen Blackpool"
64 65 "Tom Gradgrind"
51 66 "Mrs Sparsit"
65 66 "Rachael"
65 66 "Stephen Blackpool"
65 67 "Bounderby"
60 67 "Harthouse"
65 67 "Louisa Gradgrind"
52 67 "Thomas Gradgrind"
65 67 "Tom Gradgrind"
67 68 "Bounderby"
67 68 "Harthouse"
67 68 "Louisa Gradgrind"
67 68 "Nickits"
67 68 "Tom Gradgrind"
68 69 "Bounderby"
68 69 "Harthouse"
68 69 "Louisa Gradgrind"
67 69 "Thomas Gradgrind"
68 69 "Tom Gradgrind"
69 70 "Bounderby"
69 70 "Harthouse"
69 70 "Louisa Gradgrind"
68 70 "Nickits"
69 70 "Thomas Gradgrind"
69 70 "Tom Gradgrind"
70 71 "Bounderby"
70 71 "Harthouse"
70 71 "Louisa Gradgrind"
70 71 "Thomas Gradgrind"
70 71 "Tom Gradgrind"
58 72 "Bitzer"
71 72 "Bounderby"
71 72 "Harthouse"
71 72 "Louisa Gradgrind"
66 72 "Mrs Sparsit"
70 72 "Nickits"
71 72 "Thomas Gradgrind"
72 73 "Bitzer"
72 73 "Bounderby"
72 73 "Harthouse"
72 73 "Louisa Gradgrind"
72 73 "Mrs Sparsit"
71 73 "Tom Gradgrind"
73 74 "Bitzer"
73 74 "Bounderby"
73 74 "Harthouse"
73 74 "Louisa Gradgrind"
65 74 "Mrs Pegler"
73 74 "Mrs Sparsit"
74 75 "Bitzer"
74 75 "Bounderby"
74 75 "Harthouse"
74 75 "Louisa Gradgrind"
74 75 "Mrs Sparsit"
73 75 "Tom Gradgrind"
75 76 "Tom Gradgrind"
75 77 "Bounderby"
75 77 "Harthouse"
75 77 "Louisa Gradgrind"
75 77 "Mrs Sparsit"
75 78 "Bitzer"
77 78 "Bounderby"
77 78 "Harthouse"
77 78 "Louisa Gradgrind"
43 78 "Mrs Gradgrind"
77 78 "Mrs Sparsit"
43 78 "Sissy Jupe"
72 78 "Thomas Gradgrind"
45 79 "Jane Gradgrind"
78 79 "Louisa Gradgrind"
78 79 "Mrs Gradgrind"
78 79 "Sissy Jupe"
79 80 "Mrs Gradgrind"
78 81 "Bounderby"
78 81 "Harthouse"
79 81 "Louisa Gradgrind"
74 81 "Mrs Pegler"
78 81 "Mrs Sparsit"
76 81 "Tom Gradgrind"
81 82 "Bounderby"
81 82 "Harthouse"
81 82 "Louisa Gradgrind"
81 82 "Mrs Sparsit"
81 82 "Tom Gradgrind"
82 83 "Bounderby"
82 83 "Harthouse"
82 83 "Louisa Gradgrind"
82 83 "Mrs Sparsit"
78 83 "Thomas Gradgrind"
82 83 "Tom Gradgrind"
83 84 "Harthouse"
83 84 "Mrs Sparsit"
83 84 "Tom Gradgrind"
83 85 "Louisa Gradgrind"
84 85 "Mrs Sparsit"
85 86 "Louisa Gradgrind"
85 86 "Mrs Sparsit"
86 87 "Louisa Gradgrind"
83 87 "Thomas Gradgrind"
84 88 "Tom Gradgrind"
87 89 "Louisa Gradgrind"
79 89 "Sissy Jupe"
87 89 "Thomas Gradgrind"
89 90 "Louisa Gradgrind"
89 90 "Sissy Jupe"
90 91 "Louisa Gradgrind"
90 91 "Sissy Jupe"
83 92 "Bounderby"
84 92 "Harthouse"
91 92 "Louisa Gradgrind"
86 92 "Mrs Sparsit"
88 92 "Tom Gradgrind"
92 93 "Harthouse"
91 93 "Sissy Jupe"
93 94 "Harthouse"
93 94 "Sissy Jupe"
92 94 "Tom Gradgrind"
92 95 "Bounderby"
94 95 "Harthouse"
89 95 "Thomas Gradgrind"
95 96 "Bounderby"
95 96 "Harthouse"
44 96 "Lady Scadgers"
92 96 "Louisa Gradgrind"
92 96 "Mrs Sparsit"
95 96 "Thomas Gradgrind"
96 97 "Bounderby"
96 97 "Harthouse"
96 97 "Louisa Gradgrind"
94 97 "Sissy Jupe"
96 97 "Thomas Gradgrind"
97 98 "Bounderby"
97 98 "Louisa Gradgrind"
66 98 "Stephen Blackpool"
97 98 "Thomas Gradgrind"
98 99 "Bounderby"
98 99 "Louisa Gradgrind"
98 99 "Thomas Gradgrind"
99 100 "Bounderby"
81 100 "Mrs Pegler"
60 100 "Slackbridge"
98 100 "Stephen Blackpool"
100 101 "Bounderby"
99 101 "Louisa Gradgrind"
100 101 "Mrs Pegler"
66 101 "Rachael"
97 101 "Sissy Jupe"
100 101 "Slackbridge"
100 101 "Stephen Blackpool"
99 101 "Thomas Gradgrind"
94 101 "Tom Gradgrind"
101 102 "Bounderby"
101 102 "Louisa Gradgrind"
101 102 "Rachael"
101 102 "Sissy Jupe"
101 102 "Stephen Blackpool"
101 102 "Thomas Gradgrind"
101 102 "Tom Gradgrind"
102 103 "Bounderby"
102 103 "Louisa Gradgrind"
102 103 "Rachael"
102 103 "Sissy Jupe"
102 103 "Stephen Blackpool"
102 103 "Thomas Gradgrind"
102 103 "Tom Gradgrind"
103 104 "Bounderby"
103 104 "Rachael"
103 104 "Sissy Jupe"
103 104 "Stephen Blackpool"
104 105 "Bounderby"
101 105 "Mrs Pegler"
96 105 "Mrs Sparsit"
104 105 "Rachael"
104 105 "Sissy Jupe"
103 105 "Thomas Gradgrind"
103 105 "Tom Gradgrind"
105 106 "Bounderby"
105 106 "Mrs Pegler"
105 106 "Mrs Sparsit"
105 106 "Rachael"
105 106 "Sissy Jupe"
104 106 "Stephen Blackpool"
105 106 "Thomas Gradgrind"
105 106 "Tom Gradgrind"
106 107 "Bounderby"
103 107 "Louisa Gradgrind"
106 107 "Rachael"
106 107 "Sissy Jupe"
106 107 "Stephen Blackpool"
106 107 "Tom Gradgrind"
107 108 "Bounderby"
107 108 "Rachael"
107 108 "Sissy Jupe"
107 108 "Stephen Blackpool"
108 109 "Bounderby"
107 109 "Louisa Gradgrind"
108 109 "Rachael"
108 109 "Sissy Jupe"
108 109 "Stephen Blackpool"
106 109 "Thomas Gradgrind"
107 109 "Tom Gradgrind"
109 110 "Bounderby"
109 110 "Rachael"
109 110 "Sissy Jupe"
109 110 "Stephen Blackpool"
110 111 "Bounderby"
109 111 "Louisa Gradgrind"
110 111 "Rachael"
110 111 "Stephen Blackpool"
109 111 "Thomas Gradgrind"
111 112 "Bounderby"
111 112 "Louisa Gradgrind"
26 112 "Mr Sleary"
111 112 "Rachael"
110 112 "Sissy Jupe"
111 112 "Stephen Blackpool"
111 112 "Thomas Gradgrind"
109 112 "Tom Gradgrind"
112 113 "Bounderby"
17 113 "Kidderminster"
112 113 "Louisa Gradgrind"
112 113 "Mr Sleary"
112 113 "Sissy Jupe"
112 113 "Thomas Gradgrind"
15 114 "E.W.B. Childers"
16 114 "Emma Gordon"
113 114 "Louisa Gradgrind"
113 114 "Mr Sleary"
113 114 "Sissy Jupe"
113 114 "Thomas Gradgrind"
113 115 "Bounderby"
97 115 "Harthouse"
114 115 "Louisa Gradgrind"
114 115 "Mr Sleary"
114 115 "Thomas Gradgrind"
112 115 "Tom Gradgrind"
78 116 "Bitzer"
115 116 "Louisa Gradgrind"
115 116 "Mr Sleary"
114 116 "Sissy Jupe"
115 116 "Thomas Gradgrind"
115 116 "Tom Gradgrind"
116 117 "Bitzer"
115 117 "Bounderby"
116 117 "Louisa Gradgrind"
116 117 "Mr Sleary"
116 117 "Sissy Jupe"
116 117 "Thomas Gradgrind"
116 117 "Tom Gradgrind"
117 118 "Bitzer"
114 118 "E.W.B. Childers"
117 118 "Louisa Gradgrind"
117 118 "Mr Sleary"
117 118 "Sissy Jupe"
117 118 "Thomas Gradgrind"
118 119 "Mr Sleary"
118 119 "Thomas Gradgrind"
117 120 "Bounderby"
96 120 "Lady Scadgers"
106 120 "Mrs Pegler"
106 120 "Mrs Sparsit"
118 121 "Bitzer"
120 121 "Bounderby"
118 121 "Louisa Gradgrind"
37 121 "Mrs Blackpool"
112 121 "Rachael"
118 121 "Sissy Jupe"
112 121 "Stephen Blackpool"
119 121 "Thomas Gradgrind"
117 121 "Tom Gradgrind"
