"Pride_and_Prejudice"
"3"
"0"
"5"
"1"
"0.414395527603075"
"0.0451278164982796"
"Pride_and_Prejudice"
"3"
"0"
"5"
"1"
"0.414395527603075"
"0.0451278164982796"
