"node_id" "tags" "dpub"
"1" "M’Choakumchild" "1"
"2" "Bitzer, Sissy Jupe, Thomas Gradgrind" "2"
"3" "M’Choakumchild, Sissy Jupe, Thomas Gradgrind" "3"
"4" "" "4"
"5" "Mr Sleary, Signor Jupe, Sissy Jupe, Thomas Gradgrind, Tom Gradgrind" "5"
"6" "Bounderby, Louisa Gradgrind, Thomas Gradgrind" "6"
"7" "Bounderby, Mrs Gradgrind, Mrs Pegler, Thomas Gradgrind" "7"
"8" "Bounderby, Louisa Gradgrind, Mrs Gradgrind, Thomas Gradgrind" "8"
"9" "Adam Smith Gradgrind, Bounderby, Jane Gradgrind, Louisa Gradgrind, Malthus Gradgrind, Mrs Gradgrind, Thomas Gradgrind, Tom Gradgrind" "9"
"10" "Bounderby, M’Choakumchild, Mrs Gradgrind, Thomas Gradgrind" "10"
"11" "Bitzer, Bounderby, M’Choakumchild, Mrs Pegler, Sissy Jupe, Thomas Gradgrind" "11"
"12" "Bounderby" "12"
"13" "Bounderby, E.W.B. Childers, Kidderminster, Signor Jupe, Sissy Jupe, Thomas Gradgrind" "13"
"14" "Bounderby, E.W.B. Childers, Kidderminster, Mr Sleary, Thomas Gradgrind" "14"
"15" "Bounderby, E.W.B. Childers, Kidderminster, Louisa Gradgrind, Mr Sleary, Sissy Jupe, Thomas Gradgrind" "15"
"16" "Bounderby, Emma Gordon, Mr Sleary, Sissy Jupe, Thomas Gradgrind" "16"
"17" "Bounderby, Kidderminster, Mr Sleary, Sissy Jupe, Thomas Gradgrind" "17"
"18" "Bounderby, Lady Scadgers, Louisa Gradgrind, Mrs Pegler, Mrs Sparsit, Thomas Gradgrind" "18"
"19" "Bounderby, Louisa Gradgrind, Mrs Gradgrind, Mrs Sparsit, Sissy Jupe, Thomas Gradgrind, Tom Gradgrind" "19"
"20" "Bounderby, Louisa Gradgrind, Mrs Sparsit, Sissy Jupe, Thomas Gradgrind" "20"
"21" "Louisa Gradgrind, M’Choakumchild, Sissy Jupe, Thomas Gradgrind, Tom Gradgrind" "21"
"22" "Bounderby, Louisa Gradgrind, Mrs Gradgrind, Tom Gradgrind" "22"
"23" "Mrs Gradgrind" "23"
"24" "Louisa Gradgrind, M’Choakumchild, Mrs Gradgrind, Sissy Jupe, Thomas Gradgrind" "24"
"25" "Louisa Gradgrind, Sissy Jupe" "25"
"26" "Bounderby, Louisa Gradgrind, Mr Sleary, Mrs Gradgrind, Sissy Jupe, Thomas Gradgrind, Tom Gradgrind" "26"
"27" "Rachael, Stephen Blackpool" "27"
"28" "Mrs Blackpool, Rachael, Stephen Blackpool" "28"
"29" "" "29"
