"root_node_id" "tag"
"2" "Mrs Ned Chuzzlewit"
"6" "Seth Pecksniff"
"7" "Charity Pecksniff"
"7" "Mercy Pecksniff"
"9" "John Westlock"
"9" "Tom Pinch"
"16" "Mrs Lupin"
"18" "Martin Jr"
"18" "Martin Sr"
"23" "Chevy Slyme"
"23" "Tigg Montague"
"24" "Mr/Mrs Spottletoe"
"25" "Anthony Chuzzlewit"
"25" "Jonas Chuzzlewit"
"27" "George Chuzzlewit"
"32" "Mark Tapley"
"42" "Sophia"
"58" "Mr Jinkins"
"58" "Mrs Todgers"
"59" "Young Bailey"
"62" "Ruth Pinch"
"66" "Mr Gander"
"68" "Augustus Moddle"
"81" "Chuffey"
"97" "William Simmons"
"111" "Anonymous Woman"
"115" "Colonel Diver"
"116" "Jeff Brick"
"118" "Major Pawkins"
"119" "Mrs Pawkins"
"120" "Professor Mullit"
"124" "Mr Bevan"
"125" "Cicero"
"126" "Mr Norris"
"126" "Mrs Norris"
"128" "General Fladdock"
"136" "Mr Mould"
"136" "Mrs Gamp"
"138" "Doctor Jobling"
"141" "Tacker"
"153" "General Choke"
"153" "La Fayette Kettle"
"156" "Zephaniah Scadder"
"161" "Captain Kedgick"
"163" "Mrs Hominy"
"178" "Misses Mould"
"178" "Mrs Mould"
"180" "Lewsome"
"180" "Mrs Prig"
"191" "David Crimple"
"192" "Bullamy"
"197" "Nadgett"
"198" "Mr Pip"
"204" "Mrs Gill"
"210" "Mary"
"218" "Jane"
"228" "Major Chollop"
"234" "Chiggle"
"234" "Pogram"
"236" "Doctor Dunkle"
"237" "Colonel Groper"
"237" "Jodd"
"237" "Julius Bib"
"237" "Mr Izzard"
"237" "Oscar Buffum"
"237" "Professor Piper"
"238" "Miss Codger"
"238" "Miss Toppit"
"245" "Jack Coach"
"265" "Mr Fips"
