"Character","Node","Type","Appearances"
"Anonymous Woman",111,"First Appearance",6
"Anonymous Woman",364,"Last Appearance",6
"Anthony Chuzzlewit",25,"First Appearance",29
"Anthony Chuzzlewit",344,"Last Appearance",29
"Augustus Moddle",68,"First Appearance",23
"Augustus Moddle",365,"Last Appearance",23
"Bullamy",192,"First Appearance",3
"Bullamy",339,"Last Appearance",3
"Captain Kedgick",236,"Last Appearance",4
"Captain Kedgick",161,"First Appearance",4
"Charity Pecksniff",7,"First Appearance",44
"Charity Pecksniff",365,"Last Appearance",44
"Chevy Slyme",23,"First Appearance",14
"Chevy Slyme",348,"Last Appearance",14
"Chiggle",234,"First Appearance",2
"Chiggle",238,"Last Appearance",2
"Chuffey",363,"Last Appearance",37
"Chuffey",81,"First Appearance",37
"Cicero",125,"First Appearance",1
"Cicero",125,"Last Appearance",1
"Colonel Diver",115,"First Appearance",6
"Colonel Diver",155,"Last Appearance",6
"Colonel Groper",237,"First Appearance",1
"Colonel Groper",237,"Last Appearance",1
"David Crimple",339,"Last Appearance",9
"David Crimple",191,"First Appearance",9
"Doctor Dunkle",236,"First Appearance",3
"Doctor Dunkle",239,"Last Appearance",3
"Doctor Jobling",138,"First Appearance",14
"Doctor Jobling",281,"Last Appearance",14
"General Choke",153,"First Appearance",4
"General Choke",226,"Last Appearance",4
"General Fladdock",128,"First Appearance",2
"General Fladdock",239,"Last Appearance",2
"George Chuzzlewit",365,"Last Appearance",5
"George Chuzzlewit",27,"First Appearance",5
"Jack Coach",245,"First Appearance",1
"Jack Coach",245,"Last Appearance",1
"Jane",218,"First Appearance",3
"Jane",221,"Last Appearance",3
"Jeff Brick",116,"First Appearance",9
"Jeff Brick",158,"Last Appearance",9
"Jodd",237,"Last Appearance",1
"Jodd",237,"First Appearance",1
"John Westlock",9,"First Appearance",66
"John Westlock",361,"Last Appearance",66
"Jonas Chuzzlewit",25,"First Appearance",94
"Jonas Chuzzlewit",362,"Last Appearance",94
"Julius Bib",237,"First Appearance",1
"Julius Bib",237,"Last Appearance",1
"La Fayette Kettle",158,"Last Appearance",4
"La Fayette Kettle",153,"First Appearance",4
"Lewsome",180,"First Appearance",11
"Lewsome",346,"Last Appearance",11
"Major Chollop",228,"First Appearance",4
"Major Chollop",235,"Last Appearance",4
"Major Pawkins",118,"First Appearance",3
"Major Pawkins",155,"Last Appearance",3
"Mark Tapley",32,"First Appearance",91
"Mark Tapley",364,"Last Appearance",91
"Martin Jr",361,"Last Appearance",146
"Martin Jr",18,"First Appearance",146
"Martin Sr",364,"Last Appearance",66
"Martin Sr",18,"First Appearance",66
"Mary",210,"First Appearance",5
"Mary",351,"Last Appearance",5
"Mercy Pecksniff",7,"First Appearance",62
"Mercy Pecksniff",364,"Last Appearance",62
"Miss Codger",238,"Last Appearance",1
"Miss Codger",238,"First Appearance",1
"Miss Toppit",238,"Last Appearance",1
"Miss Toppit",238,"First Appearance",1
"Misses Mould",178,"First Appearance",1
"Misses Mould",178,"Last Appearance",1
"Mr Bevan",124,"First Appearance",11
"Mr Bevan",292,"Last Appearance",11
"Mr Fips",361,"Last Appearance",9
"Mr Fips",265,"First Appearance",9
"Mr Gander",70,"Last Appearance",4
"Mr Gander",66,"First Appearance",4
"Mr Izzard",237,"First Appearance",1
"Mr Izzard",237,"Last Appearance",1
"Mr Jinkins",58,"First Appearance",20
"Mr Jinkins",365,"Last Appearance",20
"Mr Mould",136,"First Appearance",11
"Mr Mould",347,"Last Appearance",11
"Mr Norris",126,"First Appearance",4
"Mr Norris",231,"Last Appearance",4
"Mr Pip",200,"Last Appearance",2
"Mr Pip",198,"First Appearance",2
"Mr/Mrs Spottletoe",24,"First Appearance",9
"Mr/Mrs Spottletoe",365,"Last Appearance",9
"Mrs Gamp",136,"First Appearance",49
"Mrs Gamp",356,"Last Appearance",49
"Mrs Gill",204,"First Appearance",1
"Mrs Gill",204,"Last Appearance",1
"Mrs Hominy",238,"Last Appearance",5
"Mrs Hominy",163,"First Appearance",5
"Mrs Lupin",16,"First Appearance",30
"Mrs Lupin",360,"Last Appearance",30
"Mrs Mould",178,"First Appearance",5
"Mrs Mould",206,"Last Appearance",5
"Mrs Ned Chuzzlewit",2,"First Appearance",8
"Mrs Ned Chuzzlewit",365,"Last Appearance",8
"Mrs Norris",126,"Last Appearance",1
"Mrs Norris",126,"First Appearance",1
"Mrs Pawkins",119,"First Appearance",4
"Mrs Pawkins",126,"Last Appearance",4
"Mrs Prig",180,"First Appearance",16
"Mrs Prig",344,"Last Appearance",16
"Mrs Todgers",58,"First Appearance",40
"Mrs Todgers",364,"Last Appearance",40
"Nadgett",197,"First Appearance",19
"Nadgett",349,"Last Appearance",19
"Oscar Buffum",238,"Last Appearance",2
"Oscar Buffum",237,"First Appearance",2
"Pogram",234,"First Appearance",6
"Pogram",239,"Last Appearance",6
"Professor Mullit",120,"First Appearance",1
"Professor Mullit",120,"Last Appearance",1
"Professor Piper",237,"First Appearance",1
"Professor Piper",237,"Last Appearance",1
"Ruth Pinch",321,"Last Appearance",15
"Ruth Pinch",62,"First Appearance",15
"Seth Pecksniff",6,"First Appearance",151
"Seth Pecksniff",362,"Last Appearance",151
"Sophia",42,"First Appearance",1
"Sophia",42,"Last Appearance",1
"Tacker",141,"First Appearance",4
"Tacker",258,"Last Appearance",4
"Tigg Montague",353,"Last Appearance",48
"Tigg Montague",23,"First Appearance",48
"Tom Pinch",9,"First Appearance",68
"Tom Pinch",322,"Last Appearance",68
"William Simmons",97,"First Appearance",1
"William Simmons",97,"Last Appearance",1
"Young Bailey",59,"First Appearance",30
"Young Bailey",362,"Last Appearance",30
"Zephaniah Scadder",156,"First Appearance",8
"Zephaniah Scadder",235,"Last Appearance",8
