"V1","V2"
"Mrs Milvey","Reverend  FrankMilvey"
"Mr Boffin","Mrs Goody"
"Mr Wilfer","Mrs Goody"
"Mr Wilfer","Mrs Milvey"
"Mr Wilfer","Reverend  FrankMilvey"
"Mrs Boffin","Mrs Goody"
"Mrs Goody","Mrs Milvey"
"Mrs Goody","Reverend  FrankMilvey"
"George Sampson","Mr Boffin"
"George Sampson","Mrs Boffin"
"Lavinia Wilfer","Mr Boffin"
"Lavinia Wilfer","Mrs Boffin"
"Mr Boffin","Mrs Wilfer"
"Mrs Boffin","Mrs Wilfer"
"Alfred Lammle","Analytical Chemist"
"Alfred Lammle","Boots Brewer"
"Alfred Lammle","Lady Tippins"
"Alfred Lammle","Melvin Twemlow"
"Alfred Lammle","Mr Podsnap"
"Alfred Lammle","Mr Veneering"
"Alfred Lammle","Mrs  Veneering"
"Alfred Lammle","Sophronia Akershem"
"Analytical Chemist","Sophronia Akershem"
"Boots Brewer","Mr Podsnap"
"Boots Brewer","Sophronia Akershem"
"Lady Tippins","Sophronia Akershem"
"Melvin Twemlow","Mr Podsnap"
"Melvin Twemlow","Sophronia Akershem"
"Mr Podsnap","Mr Veneering"
"Mr Podsnap","Sophronia Akershem"
"Mr Veneering","Sophronia Akershem"
"Mrs  Veneering","Sophronia Akershem"
"Alfred Lammle","Lord Snigsworth"
"Analytical Chemist","Lord Snigsworth"
"Lord Snigsworth","Mr Podsnap"
"Lord Snigsworth","Sophronia Akershem"
"Eugene Wrayburn","Mr Podsnap"
"Alfred Lammle","Eugene Wrayburn"
"Alfred Lammle","Mortimer Lightwood"
"Eugene Wrayburn","Sophronia Akershem"
"Mortimer Lightwood","Sophronia Akershem"
"Georgiana Podsnap","Mr Podsnap"
"Georgiana Podsnap","Mr Veneering"
"Georgiana Podsnap","Mrs  Veneering"
"Georgiana Podsnap","Mrs Podsnap"
"Alfred Lammle","Georgiana Podsnap"
"Alfred Lammle","Mrs Podsnap"
"Georgiana Podsnap","Sophronia Akershem"
"Mrs Podsnap","Sophronia Akershem"
"Alfred Lammle","Mr Grompus"
"Alfred Lammle","Mr Wilfer"
"Georgiana Podsnap","Mr Grompus"
"Georgiana Podsnap","Mr Wilfer"
"Mr Grompus","Mr Wilfer"
"Mr Grompus","Sophronia Akershem"
"Mr Wilfer","Sophronia Akershem"
"Blight","Eugene Wrayburn"
"Blight","George Jones"
"Blight","Mr Podsnap"
"Eugene Wrayburn","George Jones"
"George Jones","Mortimer Lightwood"
"George Jones","Mr Podsnap"
"Eugene Wrayburn","Rogue Riderhood"
"Mortimer Lightwood","Rogue Riderhood"
"Alfred Lammle","Gaffer Hexam"
"Alfred Lammle","Rogue Riderhood"
"Abbey Potterson","Eugene Wrayburn"
"Abbey Potterson","Mortimer Lightwood"
"Mr Inspector","Rogue Riderhood"
"Abbey Potterson","Mr Inspector"
"Bob Gliddery","Eugene Wrayburn"
"Bob Gliddery","Mortimer Lightwood"
"Bob Gliddery","Mr Inspector"
"Gaffer Hexam","Mr Boffin"
"Mr Boffin","Mr Inspector"
"Mr Boffin","Rogue Riderhood"
"John Harmon","Silas Wegg"
"Blight","John Harmon"
"Blight","Mr Wilfer"
"Betty Higden","John Harmon"
"Betty Higden","Mortimer Lightwood"
"Betty Higden","Mrs Boffin"
"Betty Higden","Mrs Milvey"
"Betty Higden","Reverend  FrankMilvey"
"John Harmon","Mrs Milvey"
"John Harmon","Reverend  FrankMilvey"
"Mortimer Lightwood","Mrs Milvey"
"Mortimer Lightwood","Reverend  FrankMilvey"
"Betty Higden","Johnny"
"Betty Higden","Poddles"
"Betty Higden","Sloppy"
"Betty Higden","Toddles"
"John Harmon","Johnny"
"John Harmon","Poddles"
"John Harmon","Sloppy"
"John Harmon","Toddles"
"Johnny","Mrs Boffin"
"Johnny","Poddles"
"Johnny","Sloppy"
"Johnny","Toddles"
"Mrs Boffin","Poddles"
"Mrs Boffin","Sloppy"
"Mrs Boffin","Toddles"
"Poddles","Sloppy"
"Poddles","Toddles"
"Sloppy","Toddles"
"Bella Wilfer","Betty Higden"
"Bella Wilfer","Johnny"
"Bella Wilfer","Poddles"
"Bella Wilfer","Sloppy"
"Bella Wilfer","Toddles"
"Betty Higden","Mr Boffin"
"Johnny","Mr Boffin"
"Mr Boffin","Poddles"
"Mr Boffin","Sloppy"
"Mr Boffin","Toddles"
"Bella Wilfer","Georgiana Podsnap"
"Bella Wilfer","Lady Tippins"
"Bella Wilfer","Melvin Twemlow"
"Bella Wilfer","Mr Veneering"
"Bella Wilfer","Mrs  Veneering"
"Bella Wilfer","Mrs Podsnap"
"Bella Wilfer","Mrs Swoshle"
"Bella Wilfer","The Tapkins"
"Georgiana Podsnap","John Harmon"
"Georgiana Podsnap","Lady Tippins"
"Georgiana Podsnap","Melvin Twemlow"
"Georgiana Podsnap","Mr Boffin"
"Georgiana Podsnap","Mrs Boffin"
"Georgiana Podsnap","Mrs Swoshle"
"Georgiana Podsnap","The Tapkins"
"John Harmon","Lady Tippins"
"John Harmon","Mrs  Veneering"
"John Harmon","Mrs Podsnap"
"John Harmon","Mrs Swoshle"
"John Harmon","The Tapkins"
"Lady Tippins","Mr Boffin"
"Lady Tippins","Mrs Boffin"
"Lady Tippins","Mrs Swoshle"
"Lady Tippins","The Tapkins"
"Melvin Twemlow","Mr Boffin"
"Melvin Twemlow","Mrs Boffin"
"Melvin Twemlow","Mrs Swoshle"
"Melvin Twemlow","The Tapkins"
"Mr Boffin","Mr Veneering"
"Mr Boffin","Mrs  Veneering"
"Mr Boffin","Mrs Podsnap"
"Mr Boffin","Mrs Swoshle"
"Mr Boffin","The Tapkins"
"Mr Veneering","Mrs Boffin"
"Mr Veneering","Mrs Swoshle"
"Mr Veneering","The Tapkins"
"Mrs  Veneering","Mrs Boffin"
"Mrs  Veneering","Mrs Swoshle"
"Mrs  Veneering","The Tapkins"
"Mrs Boffin","Mrs Podsnap"
"Mrs Boffin","Mrs Swoshle"
"Mrs Boffin","The Tapkins"
"Mrs Podsnap","Mrs Swoshle"
"Mrs Podsnap","The Tapkins"
"Mrs Swoshle","The Tapkins"
"Bradley Headstone","Charley Hexam"
"Bradley Headstone","Lizzie Hexam"
"Bradley Headstone","Mary Anne"
"Bradley Headstone","Miss Peecher"
"Charley Hexam","Mary Anne"
"Charley Hexam","Miss Peecher"
"Mary Anne","Miss Peecher"
"Bradley Headstone","Jenny Wren"
"Charley Hexam","Jenny Wren"
"Jenny Wren","Lizzie Hexam"
"Abbey Potterson","Bradley Headstone"
"Lizzie Hexam","Mary Anne"
"Lizzie Hexam","Miss Peecher"
"Bradley Headstone","Rogue Riderhood"
"Eugene Wrayburn","Jenny Wren"
"Jenny Wren","Rogue Riderhood"
"Eugene Wrayburn","Mr Dolls"
"Jenny Wren","Mr Dolls"
"Lizzie Hexam","Mr Dolls"
"Alfred Lammle","Fledgeby"
"Fledgeby","Georgiana Podsnap"
"Fledgeby","Sophronia Akershem"
"Fledgeby","Lord Snigsworth"
"Fledgeby","Mr Podsnap"
"Fledgeby","Mr Riah"
"Fledgeby","Jenny Wren"
"Fledgeby","Lizzie Hexam"
"Jenny Wren","Mr Riah"
"Lizzie Hexam","Mr Riah"
"George Jones","Lady Tippins"
"Charley Hexam","Mortimer Lightwood"
"Lizzie Hexam","Mortimer Lightwood"
"Mr Boffin","MrVenus"
"John Harmon","MrVenus"
"Bella Wilfer","Jenny Wren"
"Jenny Wren","John Harmon"
"Jenny Wren","Mortimer Lightwood"
"Jenny Wren","Mr Boffin"
"Jenny Wren","Mr Wilfer"
"Jenny Wren","Mrs Boffin"
"Lavinia Wilfer","Mr Veneering"
"Bella Wilfer","Silas Wegg"
"Johnny","Mrs Milvey"
"Johnny","Reverend  FrankMilvey"
"Johnny","Silas Wegg"
"Mrs Milvey","Silas Wegg"
"Reverend  FrankMilvey","Silas Wegg"
