"Character","Node","Type","Appearances"
"Annamaria Middleton",47,"First Appearance",3
"Annamaria Middleton",54,"Last Appearance",3
"Anne Steele",133,"Last Appearance",25
"Anne Steele",46,"First Appearance",25
"Betty",108,"Last Appearance",4
"Betty",58,"First Appearance",4
"Biddy Henshawe",72,"Last Appearance",1
"Biddy Henshawe",72,"First Appearance",1
"Cartwright",61,"First Appearance",1
"Cartwright",61,"Last Appearance",1
"ColonelBrandon",144,"Last Appearance",58
"ColonelBrandon",13,"First Appearance",58
"Edward Ferrars",143,"Last Appearance",64
"Edward Ferrars",5,"First Appearance",64
"Elinor Dashwood",108,"Last Appearance",32
"Elinor Dashwood",2,"First Appearance",32
"ElizaBrandon",78,"First Appearance",6
"ElizaBrandon",133,"Last Appearance",6
"ElizaWilliams",80,"Last Appearance",4
"ElizaWilliams",27,"First Appearance",4
"Harry Dashwood",88,"Last Appearance",3
"Harry Dashwood",3,"First Appearance",3
"John Willoughby",144,"Last Appearance",61
"John Willoughby",17,"First Appearance",61
"Lady Mary Middleton",112,"Last Appearance",2
"Lady Mary Middleton",63,"First Appearance",2
"Lord Morton",84,"First Appearance",2
"Lord Morton",89,"Last Appearance",2
"LordCourtland",95,"Last Appearance",1
"LordCourtland",95,"First Appearance",1
"Lucy Steele",143,"Last Appearance",46
"Lucy Steele",46,"First Appearance",46
"Marianne Dashwood",144,"Last Appearance",119
"Marianne Dashwood",2,"First Appearance",119
"Martha Sharpe",103,"First Appearance",1
"Martha Sharpe",103,"Last Appearance",1
"Miss Godby",102,"Last Appearance",1
"Miss Godby",102,"First Appearance",1
"Miss Morton",142,"Last Appearance",11
"Miss Morton",84,"First Appearance",11
"Miss Sophia Grey",123,"Last Appearance",5
"Miss Sophia Grey",72,"First Appearance",5
"Miss Sparks",102,"First Appearance",1
"Miss Sparks",102,"Last Appearance",1
"Miss Walker",73,"Last Appearance",1
"Miss Walker",73,"First Appearance",1
"Mr Jennings",22,"Last Appearance",1
"Mr Jennings",22,"First Appearance",1
"Mr John Dashwood",140,"Last Appearance",9
"Mr John Dashwood",4,"First Appearance",9
"Mr Pratt",137,"Last Appearance",7
"Mr Pratt",50,"First Appearance",7
"Mr Richardson",103,"First Appearance",2
"Mr Richardson",104,"Last Appearance",2
"Mr Simpson",48,"Last Appearance",1
"Mr Simpson",48,"First Appearance",1
"Mr Thomas Palmer",131,"Last Appearance",17
"Mr Thomas Palmer",41,"First Appearance",17
"Mr. Rose",48,"Last Appearance",1
"Mr. Rose",48,"First Appearance",1
"Mrs Charlotte Palmer",41,"First Appearance",28
"Mrs Charlotte Palmer",131,"Last Appearance",28
"Mrs Dashwood",144,"Last Appearance",57
"Mrs Dashwood",1,"First Appearance",57
"Mrs Dennison",95,"Last Appearance",1
"Mrs Dennison",95,"First Appearance",1
"Mrs Fanny Dashwood",143,"Last Appearance",17
"Mrs Fanny Dashwood",1,"First Appearance",17
"Mrs Ferrars",8,"First Appearance",28
"Mrs Ferrars",143,"Last Appearance",28
"Mrs Jennings",144,"Last Appearance",74
"Mrs Jennings",13,"First Appearance",74
"Mrs Richardson",104,"Last Appearance",2
"Mrs Richardson",103,"First Appearance",2
"Mrs Taylor",73,"Last Appearance",2
"Mrs Taylor",72,"First Appearance",2
"MrsBurgess",140,"Last Appearance",1
"MrsBurgess",140,"First Appearance",1
"MrsClarke",102,"First Appearance",1
"MrsClarke",102,"Last Appearance",1
"Robert Ferrars",101,"Last Appearance",2
"Robert Ferrars",5,"First Appearance",2
"Sally",133,"Last Appearance",1
"Sally",133,"First Appearance",1
"Sir John Middleton",144,"Last Appearance",54
"Sir John Middleton",8,"First Appearance",54
"The Miss Careys",26,"First Appearance",4
"The Miss Careys",126,"Last Appearance",4
"The Westons",44,"Last Appearance",1
"The Westons",44,"First Appearance",1
"The Whitakers",39,"Last Appearance",1
"The Whitakers",39,"First Appearance",1
"TheOldGentlemanDashwood",1,"Last Appearance",1
"TheOldGentlemanDashwood",1,"First Appearance",1
"Thomas",133,"First Appearance",3
"Thomas",139,"Last Appearance",3
