"root_node_id" "tag"
"1" "Abel Magwitch"
"1" "Joe Gargery"
"1" "Mrs Joe Gargery"
"1" "Pip"
"3" "Avenger"
"9" "Mr Hubble"
"9" "Mr Wopsle"
"9" "Mrs Hubble"
"9" "Uncle Pumblechook"
"11" "Dunstable"
"15" "Compeyson"
"19" "Biddy"
"22" "Miss Havisham"
"25" "Estella"
"34" "Camilla"
"34" "Mr Camilla"
"35" "Bentley Drummle"
"35" "Sarah Pocket"
"37" "Georiana Pocket"
"37" "Mr Pocket"
"38" "Herbert Pocket"
"48" "Orlick Dolge"
"59" "Mr Jaggers"
"65" "Mr Trabb"
"65" "Trabb's Boy"
"70" "Mike"
"71" "John Wemmick"
"77" "Mr Havisham"
"80" "Flopson"
"80" "Millers"
"80" "Mrs Pocket"
"81" "Startop"
"82" "Mrs Coiler"
"83" "Sophia"
"89" "The Aged"
"92" "Molly"
"107" "Clara Barley"
"112" "Black Bill"
"128" "Miss Skiffins"
"129" "Skiffins"
"130" "Mr Clarriker"
"132" "Mrs Brandley"
"161" "Mary Anne"
"163" "Old Barley"
"167" "Jack"
"208" "William Potkins"
