"source" "target" "tag"
1 2 "EmmaWoodhouse"
1 2 "MrsIsabellaKnightley"
1 2 "MrsWeston"
1 2 "MrWeston"
2 3 "EmmaWoodhouse"
2 3 "MrGeorgeKnightley"
2 3 "MrsWeston"
2 3 "MrWeston"
2 3 "MrWoodhouse"
3 4 "EmmaWoodhouse"
3 4 "MrGeorgeKnightley"
3 4 "MrWoodhouse"
3 5 "MrsWeston"
3 5 "MrWeston"
4 6 "EmmaWoodhouse"
5 6 "FrankChurchill"
5 6 "MrsWeston"
5 6 "MrWeston"
6 7 "EmmaWoodhouse"
6 7 "MissBates"
4 7 "MrGeorgeKnightley"
4 7 "MrPhillipElton"
6 7 "MrsWeston"
6 7 "MrWeston"
7 8 "EmmaWoodhouse"
7 8 "Harriet Smith"
7 8 "MissBates"
7 8 "MrGeorgeKnightley"
7 8 "MrsGoddard"
8 9 "EmmaWoodhouse"
8 9 "Harriet Smith"
8 9 "MrsGoddard"
7 9 "MrsWeston"
9 10 "EmmaWoodhouse"
9 10 "Harriet Smith"
9 10 "MrsGoddard"
9 10 "MrsMartin"
9 10 "RobertMartin"
10 11 "EmmaWoodhouse"
10 11 "Harriet Smith"
8 11 "MrGeorgeKnightley"
7 11 "MrPhillipElton"
7 11 "MrWeston"
10 11 "RobertMartin"
11 12 "EmmaWoodhouse"
11 12 "Harriet Smith"
11 12 "MrGeorgeKnightley"
11 12 "MrPhillipElton"
11 12 "RobertMartin"
12 13 "EmmaWoodhouse"
6 13 "FrankChurchill"
12 13 "Harriet Smith"
12 13 "MrGeorgeKnightley"
2 13 "MrsIsabellaKnightley"
9 13 "MrsWeston"
11 13 "MrWeston"
13 14 "EmmaWoodhouse"
13 14 "Harriet Smith"
13 14 "MrGeorgeKnightley"
13 14 "MrsIsabellaKnightley"
13 14 "MrsWeston"
13 14 "MrWeston"
14 15 "EmmaWoodhouse"
14 15 "Harriet Smith"
12 15 "MrPhillipElton"
14 15 "MrsWeston"
15 16 "EmmaWoodhouse"
15 16 "Harriet Smith"
14 16 "JohnKnightley"
15 16 "MrPhillipElton"
14 16 "MrsIsabellaKnightley"
15 16 "MrsWeston"
16 17 "EmmaWoodhouse"
16 17 "Harriet Smith"
14 17 "MrGeorgeKnightley"
16 17 "MrPhillipElton"
16 17 "MrsIsabellaKnightley"
16 17 "MrsWeston"
4 17 "MrWoodhouse"
17 18 "EmmaWoodhouse"
17 18 "Harriet Smith"
17 18 "MrPhillipElton"
10 18 "MrsGoddard"
12 18 "RobertMartin"
18 19 "EmmaWoodhouse"
18 19 "Harriet Smith"
18 19 "MrPhillipElton"
18 19 "RobertMartin"
19 20 "EmmaWoodhouse"
19 20 "Harriet Smith"
10 20 "MissNash"
