"source" "target" "tag"
"142" 21 24 "Charles Musgrove"
"143" 23 24 "Henrietta Musgrove"
"144" 23 24 "Louisa Musgrove"
"145" 24 25 "Admiral Croft"
"146" 24 25 "Anne Elliot"
"147" 24 25 "Captain Frederick Wentworth"
"148" 24 25 "Captain Harville"
"149" 23 25 "Elder Mr Charles Musgrove"
"150" 23 25 "Mrs Croft"
"151" 25 26 "Anne Elliot"
"152" 25 26 "Captain Frederick Wentworth"
"153" 24 26 "Henrietta Musgrove"
"154" 24 26 "Louisa Musgrove"
"155" 25 27 "Admiral Croft"
"156" 26 27 "Anne Elliot"
"157" 26 27 "Captain Frederick Wentworth"
"158" 24 27 "Charles Musgrove"
"159" 17 27 "Edward Wentworth"
"160" 25 27 "Elder Mr Charles Musgrove"
"161" 26 27 "Henrietta Musgrove"
"162" 26 27 "Louisa Musgrove"
"163" 21 27 "Mary Elliot"
"164" 25 27 "Mrs Croft"
"165" 27 28 "Anne Elliot"
"166" 27 28 "Captain Frederick Wentworth"
"167" 27 28 "Charles Hayter"
"168" 27 28 "Charles Musgrove"
"169" 27 28 "Elder Mr Charles Musgrove"
"170" 27 28 "Henrietta Musgrove"
"171" 27 28 "Louisa Musgrove"
"172" 27 28 "Mary Elliot"
"173" 28 29 "Anne Elliot"
"174" 28 29 "Captain Frederick Wentworth"
"175" 28 29 "Charles Hayter"
"176" 28 29 "Charles Musgrove"
"177" 28 29 "Doctor Shirley"
"178" 28 29 "Elder Mr Charles Musgrove"
"179" 28 29 "Henrietta Musgrove"
"180" 28 29 "Louisa Musgrove"
"181" 28 29 "Mary Elliot"
"182" 13 29 "Walter Musgrove"
"183" 27 30 "Admiral Croft"
"184" 29 30 "Anne Elliot"
"185" 29 30 "Captain Frederick Wentworth"
"186" 29 30 "Charles Hayter"
"187" 29 30 "Elder Mr Charles Musgrove"
"188" 29 30 "Henrietta Musgrove"
"189" 29 30 "Louisa Musgrove"
"190" 29 30 "Mary Elliot"
"191" 30 31 "Admiral Croft"
"192" 30 31 "Anne Elliot"
"193" 30 31 "Captain Frederick Wentworth"
"194" 29 31 "Charles Musgrove"
"195" 30 31 "Henrietta Musgrove"
"196" 30 31 "Louisa Musgrove"
"197" 30 31 "Mary Elliot"
"198" 31 32 "Anne Elliot"
"199" 31 32 "Captain Frederick Wentworth"
"200" 30 32 "Charles Hayter"
"201" 31 32 "Charles Musgrove"
"202" 31 32 "Henrietta Musgrove"
"203" 15 32 "Lady Russell"
"204" 31 32 "Louisa Musgrove"
"205" 31 32 "Mary Elliot"
"206" 31 33 "Admiral Croft"
"207" 32 33 "Anne Elliot"
"208" 32 33 "Captain Frederick Wentworth"
"209" 32 33 "Henrietta Musgrove"
"210" 32 33 "Louisa Musgrove"
"211" 32 33 "Mary Elliot"
"212" 27 33 "Mrs Croft"
"213" 33 34 "Anne Elliot"
"214" 33 34 "Captain Frederick Wentworth"
"215" 25 34 "Captain Harville"
"216" 32 34 "Charles Musgrove"
"217" 30 34 "Elder Mr Charles Musgrove"
"218" 33 34 "Henrietta Musgrove"
"219" 32 34 "Lady Russell"
"220" 33 34 "Louisa Musgrove"
"221" 33 34 "Mary Elliot"
"222" 34 35 "Anne Elliot"
"223" 34 35 "Captain Frederick Wentworth"
"224" 34 35 "Captain Harville"
"225" 34 35 "Louisa Musgrove"
"226" 35 36 "Anne Elliot"
"227" 35 36 "Captain Benwick"
"228" 35 36 "Captain Frederick Wentworth"
"229" 35 36 "Captain Harville"
"230" 35 36 "Louisa Musgrove"
"231" 36 38 "Anne Elliot"
"232" 36 38 "Captain Frederick Wentworth"
"233" 29 38 "Doctor Shirley"
"234" 34 38 "Henrietta Musgrove"
"235" 34 38 "Lady Russell"
"236" 36 38 "Louisa Musgrove"
"237" 38 39 "Anne Elliot"
"238" 36 39 "Captain Benwick"
"239" 38 39 "Captain Frederick Wentworth"
"240" 34 39 "Charles Musgrove"
"241" 15 39 "Elizabeth Elliot"
"242" 38 39 "Henrietta Musgrove"
"243" 38 39 "Louisa Musgrove"
"244" 34 39 "Mary Elliot"
"245" 2 39 "Mr William Elliot"
"246" 15 39 "Sir Walter Elliot"
"247" 39 40 "Anne Elliot"
"248" 39 40 "Captain Benwick"
"249" 39 40 "Captain Frederick Wentworth"
"250" 36 40 "Captain Harville"
"251" 39 40 "Charles Musgrove"
"252" 39 40 "Henrietta Musgrove"
"253" 39 40 "Louisa Musgrove"
"254" 39 40 "Mary Elliot"
"255" 40 41 "Anne Elliot"
"256" 40 41 "Captain Benwick"
"257" 40 41 "Captain Frederick Wentworth"
"258" 40 41 "Captain Harville"
"259" 40 41 "Charles Musgrove"
"260" 40 41 "Henrietta Musgrove"
"261" 40 41 "Louisa Musgrove"
"262" 40 41 "Mary Elliot"
"263" 41 42 "Anne Elliot"
"264" 41 42 "Captain Benwick"
"265" 41 42 "Captain Frederick Wentworth"
"266" 41 42 "Captain Harville"
"267" 41 42 "Charles Musgrove"
"268" 38 42 "Doctor Shirley"
"269" 34 42 "Elder Mr Charles Musgrove"
"270" 41 42 "Henrietta Musgrove"
"271" 41 42 "Louisa Musgrove"
"272" 41 42 "Mary Elliot"
"273" 39 42 "Mr William Elliot"
"274" 42 43 "Anne Elliot"
"275" 42 43 "Captain Frederick Wentworth"
"276" 42 43 "Elder Mr Charles Musgrove"
"277" 42 43 "Henrietta Musgrove"
"278" 43 44 "Anne Elliot"
"279" 42 44 "Captain Benwick"
"280" 43 44 "Captain Frederick Wentworth"
"281" 42 44 "Captain Harville"
"282" 32 44 "Charles Hayter"
"283" 42 44 "Charles Musgrove"
"284" 43 44 "Elder Mr Charles Musgrove"
"285" 43 44 "Henrietta Musgrove"
"286" 38 44 "Lady Russell"
"287" 42 44 "Louisa Musgrove"
"288" 42 44 "Mary Elliot"
"289" 33 45 "Admiral Croft"
"290" 44 45 "Anne Elliot"
"291" 44 45 "Captain Benwick"
"292" 44 45 "Captain Frederick Wentworth"
"293" 44 45 "Captain Harville"
"294" 44 45 "Charles Musgrove"
"295" 44 45 "Elder Mr Charles Musgrove"
"296" 44 45 "Henrietta Musgrove"
"297" 44 45 "Lady Russell"
"298" 44 45 "Louisa Musgrove"
"299" 44 45 "Mary Elliot"
"300" 33 45 "Mrs Croft"
"301" 12 45 "Mrs Penelope Clay"
"302" 45 46 "Admiral Croft"
"303" 45 46 "Anne Elliot"
"304" 45 46 "Captain Frederick Wentworth"
"305" 45 46 "Lady Russell"
"306" 45 46 "Louisa Musgrove"
"307" 11 46 "Mr John Shepherd"
"308" 45 46 "Mrs Croft"
"309" 39 46 "Sir Walter Elliot"
"310" 46 47 "Anne Elliot"
"311" 45 47 "Captain Benwick"
"312" 45 47 "Captain Harville"
"313" 44 47 "Charles Hayter"
"314" 45 47 "Charles Musgrove"
"315" 35 47 "Fanny Harville"
"316" 45 47 "Henrietta Musgrove"
"317" 46 47 "Lady Russell"
"318" 46 47 "Louisa Musgrove"
"319" 45 47 "Mary Elliot"
"320" 47 48 "Anne Elliot"
"321" 47 48 "Captain Benwick"
"322" 46 48 "Captain Frederick Wentworth"
"323" 47 48 "Captain Harville"
"324" 47 48 "Charles Hayter"
"325" 47 48 "Charles Musgrove"
"326" 45 48 "Elder Mr Charles Musgrove"
"327" 47 48 "Henrietta Musgrove"
"328" 47 48 "Lady Russell"
"329" 47 48 "Louisa Musgrove"
"330" 47 48 "Mary Elliot"
"331" 42 48 "Mr William Elliot"
"332" 48 49 "Anne Elliot"
"333" 48 49 "Captain Frederick Wentworth"
"334" 48 49 "Captain Harville"
"335" 39 49 "Elizabeth Elliot"
"336" 48 49 "Lady Russell"
"337" 48 49 "Louisa Musgrove"
"338" 48 49 "Mary Elliot"
"339" 48 49 "Mr William Elliot"
"340" 49 50 "Anne Elliot"
"341" 49 50 "Elizabeth Elliot"
"342" 49 50 "Mr William Elliot"
"343" 45 50 "Mrs Penelope Clay"
"344" 46 50 "Sir Walter Elliot"
"345" 50 51 "Anne Elliot"
"346" 50 51 "Colonel Wallis"
"347" 50 51 "Elizabeth Elliot"
"348" 49 51 "Mary Elliot"
"349" 50 51 "Mr William Elliot"
"350" 50 51 "Mrs Penelope Clay"
"351" 50 51 "Sir Walter Elliot"
"352" 51 52 "Anne Elliot"
"353" 51 52 "Elizabeth Elliot"
"354" 49 52 "Lady Russell"
"355" 51 52 "Mr William Elliot"
"356" 51 52 "Mrs Penelope Clay"
"357" 51 52 "Sir Walter Elliot"
"358" 52 53 "Anne Elliot"
"359" 51 53 "Colonel Wallis"
"360" 52 53 "Elizabeth Elliot"
