"V1","V2"
"Harriet Beadle","Mrs Tickit"
"Minnie Meagles","Mrs Tickit"
"Miss Wade","Mrs Tickit"
"Mr Meagles","Mrs Tickit"
"Arthur Clennam","Henry Gowan"
"Henry Gowan","Minnie Meagles"
"Henry Gowan","Mr Meagles"
"Henry Gowan","Mrs Meagles"
"Arthur Clennam","Lady Stiltstalking"
"Clarence Barnacle","Daniel Doyce"
"Clarence Barnacle","Henry Gowan"
"Clarence Barnacle","Lady Stiltstalking"
"Clarence Barnacle","Minnie Meagles"
"Clarence Barnacle","Mr Meagles"
"Clarence Barnacle","Mrs Meagles"
"Daniel Doyce","Henry Gowan"
"Daniel Doyce","Lady Stiltstalking"
"Henry Gowan","Lady Stiltstalking"
"Lady Stiltstalking","Minnie Meagles"
"Lady Stiltstalking","Mr Meagles"
"Lady Stiltstalking","Mrs Meagles"
"Daniel Doyce","Ferdinand Barnacle"
"Ferdinand Barnacle","Henry Gowan"
"Ferdinand Barnacle","Mr Meagles"
"Ferdinand Barnacle","Mrs Meagles"
"Ferdinand Barnacle","Minnie Meagles"
"Amy Dorrit","Mr John Chivery"
"Amy Dorrit","Mrs Chivery"
"Mr John Chivery","Mr William Dorrit"
"Mr John Chivery","Mrs Chivery"
"Mr William Dorrit","Mrs Chivery"
"Edward Dorrit","Mr John Chivery"
"Edward Dorrit","Mrs Chivery"
"Mr Frederick Dorrit","Mr John Chivery"
"Amy Dorrit","Captain Martin"
"Arthur Clennam","Mr John Chivery"
"Edward Dorrit","Maggy"
"Edward Dorrit","Mr Cripples"
"Fanny Dorrit","Mr John Chivery"
"Fanny Dorrit","Mr Plornish"
"Maggy","Mr Cripples"
"Maggy","Mr John Chivery"
"Mr Cripples","Mr John Chivery"
"Mr Cripples","Mr Plornish"
"Mr John Chivery","Mr Plornish"
"Amy Dorrit","Mrs Merdle"
"Fanny Dorrit","Mrs Merdle"
"Mr William Dorrit","Mrs Merdle"
"Amy Dorrit","Mr Merdle"
"Fanny Dorrit","Mr Merdle"
"Mr Merdle","Mrs Merdle"
"Edward Dorrit","Mrs Merdle"
"Amy Dorrit","Mr Sparkler"
"Amy Dorrit","Treasury"
"Mr Merdle","Mr Sparkler"
"Mr Merdle","Treasury"
"Mr Sparkler","Mrs Merdle"
"Mr Sparkler","Treasury"
"Mrs Merdle","Treasury"
"Mr Merdle","Physician"
"Mrs Merdle","Physician"
"Physician","Treasury"
"Mr Sparkler","Physician"
"Arthur Clennam","Mrs Chivery"
"Maggy","Mrs Chivery"
"Daniel Doyce","Flora Finching"
"Daniel Doyce","Mr F.'s Aunt"
"Amy Dorrit","Mr F.'s Aunt"
"Amy Dorrit","Mr Pancks"
"Christopher Casby","Daniel Doyce"
"Daniel Doyce","Mr Pancks"
"Mr Pancks","Mr William Dorrit"
"Christopher Casby","Maggy"
"Flora Finching","Maggy"
"Flora Finching","Mr Plornish"
"Maggy","Mr F.'s Aunt"
"Maggy","Mr Pancks"
"Mr F.'s Aunt","Mr Plornish"
"Anastasia Rugg","Mr John Chivery"
"Anastasia Rugg","Mr Pancks"
"Anastasia Rugg","Mr Rugg"
"Anastasia Rugg","Mrs Chivery"
"Mr John Chivery","Mr Pancks"
"Mr John Chivery","Mr Rugg"
"Mr Pancks","Mr Rugg"
"Mr Pancks","Mrs Chivery"
"Mr Rugg","Mrs Chivery"
"Anastasia Rugg","John Baptist Cavalletto"
"John Baptist Cavalletto","Mr Pancks"
"John Baptist Cavalletto","Mr Rugg"
