"node_id" "tags" "dpub"
"54" "Edmund Bertram, Fanny Price, Lady Ravenshaw, Maria Bertram, Mary Crawford, Mr Rushworth, Tom Bertram" "54"
"55" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram, Tom Bertram" "55"
"56" "Edmund Bertram, Fanny Price, Mary Crawford, Mr Rushworth, Tom Bertram" "56"
"57" "Charles Maddox, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Tom Bertram, Tom Oliver" "57"
"58" "Edmund Bertram, Fanny Price, Julia Bertram, Maria Bertram, Mary Crawford, Miss Lee, Tom Bertram, William Price" "58"
"59" "Charles Maddox, Edmund Bertram, Fanny Price, Mary Crawford, Mr Rushworth, Sir Thomas Bertram, Tom Bertram" "59"
"60" "Edmund Bertram, Fanny Price, Mary Crawford, Tom Bertram" "60"
"61" "Charles Maddox, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Tom Bertram" "61"
"62" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram, Tom Bertram" "62"
"63" "Edmund Bertram, Fanny Price, Henry Crawford, Maria Bertram, Mr Rushworth, Tom Bertram" "63"
"64" "Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Mr Rushworth, Sir Thomas Bertram" "64"
"65" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Tom Bertram" "65"
"66" "Edmund Bertram, Julia Bertram" "66"
"67" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram" "67"
"68" "Fanny Price, Mr Rushworth, Sir Thomas Bertram, William Price" "68"
"69" "Baddeley, Edmund Bertram, Fanny Price, Henry Crawford, Maria Bertram, Mary Crawford, Sir Thomas Bertram, Tom Bertram" "69"
"70" "Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Mr Rushworth, Sir Thomas Bertram, Tom Bertram" "70"
"71" "Mr Rushworth, Sir Thomas Bertram" "71"
"72" "Charles, Edmund Bertram, Fanny Price, Maria Bertram, Mr Rushworth, Sir Thomas Bertram" "72"
"73" "Dr Grant, Henry Crawford, Julia Bertram, Maria Bertram, Mr Rushworth, Sir Thomas Bertram, Tom Bertram" "73"
"74" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Sir Thomas Bertram, Tom Bertram" "74"
"75" "Edmund Bertram, Fanny Price, Sir Thomas Bertram, Tom Bertram" "75"
"76" "Edmund Bertram, Fanny Price, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram" "76"
"77" "Dr Grant, Henry Crawford, Julia Bertram, Maria Bertram, Mr Rushworth, Sir Thomas Bertram" "77"
"78" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Mrs Norris" "78"
"79" "Fanny Price, Julia Bertram, Maria Bertram, Mary Crawford" "79"
"80" "Dr Grant, Edmund Bertram, Fanny Price, Maria Bertram, Mary Crawford, Mr Rushworth, Robert" "80"
"81" "Dr Grant, Edmund Bertram, Fanny Price, Mary Crawford" "81"
"82" "" "82"
"83" "Edmund Bertram, Fanny Price, Sir Thomas Bertram" "83"
"84" "Edmund Bertram, Fanny Price, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram" "84"
"85" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Mrs Norris" "85"
"86" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Sir Thomas Bertram" "86"
"87" "" "87"
"88" "Admiral Crawford, Fanny Price, Henry Crawford, Mary Crawford" "88"
"89" "Admiral Crawford, Edmund Bertram, Fanny Price, Henry Crawford, Sir Thomas Bertram, William Price" "89"
"90" "Edmund Bertram, Fanny Price, Henry Crawford, Mrs Brown, Mrs Norris, Sir Thomas Bertram, William Price" "90"
"91" "Henry Crawford, William Price" "91"
