"node_id" "tags" "dpub"
"61" "Cartwright, ColonelBrandon, John Willoughby, Marianne Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Jennings" "61"
"62" "John Willoughby, Marianne Dashwood, Mrs Charlotte Palmer, Mrs Jennings" "62"
"63" "ColonelBrandon, John Willoughby, Lady Mary Middleton, Marianne Dashwood, Mrs Jennings, Sir John Middleton" "63"
"64" "ColonelBrandon, Elinor Dashwood, John Willoughby, Marianne Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "64"
"65" "ColonelBrandon, Elinor Dashwood, John Willoughby, Marianne Dashwood, Mrs Charlotte Palmer, Mrs Jennings, Sir John Middleton" "65"
"66" "John Willoughby, Marianne Dashwood, Mrs Dashwood, Mrs Jennings" "66"
"67" "Edward Ferrars, John Willoughby, Marianne Dashwood, Mrs Jennings" "67"
"68" "John Willoughby, Marianne Dashwood, Mrs Charlotte Palmer, Mrs Jennings" "68"
"69" "John Willoughby, Marianne Dashwood, Mrs Jennings" "69"
"70" "Edward Ferrars, John Willoughby, Marianne Dashwood, Mrs Jennings, Sir John Middleton" "70"
"71" "Edward Ferrars, John Willoughby, Marianne Dashwood, Mrs Jennings, Sir John Middleton" "71"
"72" "Biddy Henshawe, Marianne Dashwood, Miss Sophia Grey, Mrs Jennings, Mrs Taylor" "72"
"73" "ColonelBrandon, John Willoughby, Marianne Dashwood, Miss Sophia Grey, Miss Walker, Mrs Charlotte Palmer, Mrs Jennings, Mrs Taylor, Sir John Middleton" "73"
"74" "ColonelBrandon, John Willoughby, Marianne Dashwood, Miss Sophia Grey, Mrs Jennings" "74"
"75" "ColonelBrandon, Marianne Dashwood" "75"
"76" "John Willoughby, Marianne Dashwood, Mrs Jennings, Sir John Middleton" "76"
"77" "ColonelBrandon, Elinor Dashwood, ElizaWilliams, John Willoughby, Marianne Dashwood, Mrs Jennings" "77"
"78" "ElizaBrandon, John Willoughby" "78"
"79" "ColonelBrandon, ElizaBrandon, John Willoughby, Marianne Dashwood" "79"
"80" "ColonelBrandon, Edward Ferrars, ElizaWilliams, John Willoughby, Marianne Dashwood, Mrs Charlotte Palmer, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "80"
"81" "Anne Steele, ColonelBrandon, Elinor Dashwood, John Willoughby, Lucy Steele, Marianne Dashwood, Miss Sophia Grey, Mrs Charlotte Palmer, Mrs Ferrars, Mrs Jennings" "81"
"82" "Anne Steele, Elinor Dashwood, Lucy Steele, Marianne Dashwood, Mrs Dashwood, Mrs Jennings" "82"
"83" "Edward Ferrars, Harry Dashwood, Marianne Dashwood, Mr John Dashwood, Mrs Dashwood, Mrs Fanny Dashwood, Mrs Ferrars, Mrs Jennings, Sir John Middleton" "83"
"84" "ColonelBrandon, Edward Ferrars, Lord Morton, Miss Morton, Mrs Ferrars, Mrs Jennings, Sir John Middleton" "84"
"85" "ColonelBrandon, Marianne Dashwood, Mr John Dashwood, Mrs Ferrars, Mrs Jennings, Sir John Middleton" "85"
"86" "Mrs Ferrars" "86"
"87" "Anne Steele, ColonelBrandon, Edward Ferrars, Lucy Steele, Marianne Dashwood, Miss Morton, Mrs Dashwood, Mrs Fanny Dashwood, Mrs Ferrars, Mrs Jennings, Sir John Middleton" "87"
"88" "Anne Steele, ColonelBrandon, Elinor Dashwood, Harry Dashwood, Lucy Steele, Marianne Dashwood, Miss Morton, Mrs Ferrars" "88"
"89" "ColonelBrandon, Elinor Dashwood, Lord Morton, Lucy Steele, Marianne Dashwood, Miss Morton, Mrs Ferrars, Sir John Middleton" "89"
"90" "Edward Ferrars, Lucy Steele, Mrs Charlotte Palmer, Mrs Dashwood, Mrs Ferrars, Mrs Jennings" "90"
"91" "Edward Ferrars, Lucy Steele, Marianne Dashwood" "91"
"92" "Edward Ferrars, Lucy Steele, Marianne Dashwood" "92"
"93" "Anne Steele, John Willoughby, Lucy Steele, Marianne Dashwood, Mr John Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Fanny Dashwood, Mrs Jennings, Sir John Middleton" "93"
"94" "Anne Steele, Edward Ferrars, Lucy Steele, Marianne Dashwood, Mr John Dashwood, Mr Pratt" "94"
"95" "Anne Steele, ColonelBrandon, Edward Ferrars, LordCourtland, Lucy Steele, Marianne Dashwood, Mr John Dashwood, Mrs Dashwood, Mrs Dennison, Mrs Fanny Dashwood, Mrs Jennings" "95"
"96" "Lucy Steele, Mrs Dashwood, Sir John Middleton" "96"
"97" "Edward Ferrars, Lucy Steele, Marianne Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Dashwood, Mrs Ferrars, Mrs Jennings" "97"
"98" "Betty, Edward Ferrars, John Willoughby, Lucy Steele, Marianne Dashwood, Mrs Ferrars, Mrs Jennings" "98"
"99" "Edward Ferrars, Lucy Steele, Marianne Dashwood, Mrs Jennings" "99"
"100" "Edward Ferrars, Lucy Steele, Marianne Dashwood, Miss Morton, Mr John Dashwood, Mrs Ferrars, Mrs Jennings" "100"
"101" "Edward Ferrars, Marianne Dashwood, Miss Morton, Mrs Ferrars, Mrs Jennings, Robert Ferrars" "101"
"102" "Anne Steele, Edward Ferrars, Elinor Dashwood, Lucy Steele, Marianne Dashwood, Miss Godby, Miss Morton, Miss Sparks, Mrs Jennings, MrsClarke" "102"
"103" "Anne Steele, Edward Ferrars, Elinor Dashwood, Lucy Steele, Martha Sharpe, Miss Morton, Mr Richardson, Mrs Richardson" "103"
