"x"
"Akerman"
"Barnaby Rudge"
"Dolly Varden"
"Edward Chester"
"Emma Haredale"
"Gabriel Varden"
"Gashford"
"General Conway"
"Geoffrey Haredale"
"Herbert"
"Hugh"
"Joe Willet"
"John Chester"
"John Fielding"
"John Grueby"
"John Willet"
"Lord George Gordon"
"Mark Gilbert"
"Martha Varden"
"Mary Jones"
"Miggs"
"Mr Rudge"
"Mrs Rudge"
"Ned Dennis"
"Phil Parkes"
"Simon Tappertit"
"Solomon Daisy"
"The Black Lion"
"Peak"
"Stagg"
"Tom Cobb"
"Tom Green"
"Philips"
