"","x"
"1","Admiral Baldwin"
"2","Admiral Brand"
"3","Admiral Croft"
"4","Anne Elliot"
"5","Captain Benwick"
"6","Captain Brigden"
"7","Captain Frederick Wentworth"
"8","Captain Harville"
"9","Charles Hayter"
"10","Charles Musgrove"
"11","Charles Smith"
"12","Colonel Wallis"
"13","Doctor Shirley"
"14","Edward Wentworth"
"15","Elder Mr Charles Musgrove"
"16","Elizabeth Elliot"
"17","Fanny Harville"
"18","Governor Trent"
"19","Harry Musgrove"
"20","Henrietta Musgrove"
"21","Jemima"
"22","Lady Alicia"
"23","Lady Elliot"
"24","Lady Mary Grierson"
"25","Lady Russell"
"26","Little Charles Musgrove"
"27","Lord St Ives"
"28","Louisa Musgrove"
"29","Mackenzie"
"30","Mary"
"31","Mary Elliot"
"32","Miss Atkinson"
"33","Mr Hayter"
"34","Mr John Shepherd"
"35","Mr Robinson"
"36","Mr William Elliot"
"37","Mrs Croft"
"38","Mrs Frankland"
"39","Mrs Hayter"
"40","Mrs Penelope Clay"
"41","Mrs Smith"
"42","Mrs Speed"
"43","Mrs William Elliot"
"44","Nurse Rooke"
"45","Sir Archibald Drew"
"46","Sir Basil Morley"
"47","Sir Henry Russell"
"48","Sir Walter Elliot"
"49","The Dowager Countess Dalrymple"
"50","The Honourable Miss Carteret"
"51","Mrs Shirley"
"52","Sarah"
"53","The Late Viscount Dalrymple"
"54","The Miss Hayters"
"55","Walter Musgrove"
