"root_node_id" "tag"
"1" "Oliver Twist"
"3" "Mr Bumble"
"3" "Mrs Mann"
"6" "Mr Limbkins"
"7" "Mr Gamfield"
"11" "Mr Sowerberry"
"13" "Charlotte"
"13" "Mrs Sowerberry"
"14" "Noah Claypole"
"23" "Dick"
"26" "Artful Dodger"
"26" "Fagin"
"29" "Bet"
"29" "Charley Bates"
"29" "Nancy"
"33" "Mr Fang"
"34" "Mr Brownlow"
"36" "Mrs Bedwin"
"40" "Bill Sikes"
"44" "Mr Grimwig"
"48" "Barney"
"55" "Mr Mann"
"60" "Tom Chitling"
"62" "Ned"
"62" "Toby Crackit"
"74" "Mrs Corney"
"75" "Grannett"
"76" "Sally"
"77" "Anny"
"78" "Martha"
"82" "Mr Lively"
"83" "Phil Barker"
"85" "Edward Leeford"
"88" "Mr Slout"
"90" "Brittles"
"90" "Mr Giles"
"94" "Mr Losberne"
"94" "Mrs Maylie"
"94" "Rose Maylie"
"99" "Blathers"
"99" "Duff"
"100" "Conkey Chickweed"
"101" "Jem Spyers"
"109" "Harry Maylie"
"144" "Morris Bolter"
"144" "Mrs Bolter"
"169" "Kags"
