"source" "target" "tag"
"175" 47 48 "Joe Gargery"
"176" 47 48 "Miss Havisham"
"177" 47 48 "Pip"
"178" 47 49 "Estella"
"179" 41 49 "Herbert Pocket"
"180" 48 49 "Joe Gargery"
"181" 48 49 "Miss Havisham"
"182" 46 49 "Mrs Joe Gargery"
"183" 48 49 "Orlick Dolge"
"184" 48 49 "Pip"
"185" 37 49 "Sarah Pocket"
"186" 47 50 "Mr Wopsle"
"187" 49 50 "Orlick Dolge"
"188" 49 50 "Sarah Pocket"
"189" 45 50 "Uncle Pumblechook"
"190" 49 51 "Joe Gargery"
"191" 50 51 "Mr Wopsle"
"192" 49 51 "Mrs Joe Gargery"
"193" 50 51 "Orlick Dolge"
"194" 49 51 "Pip"
"195" 32 52 "Abel Magwitch"
"196" 16 52 "Compeyson"
"197" 51 52 "Joe Gargery"
"198" 51 52 "Mr Wopsle"
"199" 51 52 "Mrs Joe Gargery"
"200" 51 52 "Orlick Dolge"
"201" 47 53 "Biddy"
"202" 52 53 "Joe Gargery"
"203" 52 53 "Mr Wopsle"
"204" 52 53 "Mrs Joe Gargery"
"205" 52 53 "Orlick Dolge"
"206" 53 54 "Biddy"
"207" 49 54 "Estella"
"208" 49 54 "Miss Havisham"
"209" 53 54 "Mr Wopsle"
"210" 53 54 "Mrs Joe Gargery"
"211" 50 54 "Sarah Pocket"
"212" 54 55 "Biddy"
"213" 54 55 "Estella"
"214" 53 55 "Joe Gargery"
"215" 54 55 "Miss Havisham"
"216" 51 55 "Pip"
"217" 55 56 "Biddy"
"218" 55 56 "Estella"
"219" 54 56 "Mrs Joe Gargery"
"220" 53 56 "Orlick Dolge"
"221" 55 56 "Pip"
"222" 56 57 "Biddy"
"223" 56 57 "Estella"
"224" 55 57 "Joe Gargery"
"225" 55 57 "Miss Havisham"
"226" 56 57 "Mrs Joe Gargery"
"227" 56 57 "Orlick Dolge"
"228" 57 58 "Joe Gargery"
"229" 54 58 "Mr Wopsle"
"230" 58 59 "Joe Gargery"
"231" 57 59 "Miss Havisham"
"232" 56 59 "Pip"
"233" 57 60 "Biddy"
"234" 37 60 "Camilla"
"235" 59 60 "Joe Gargery"
"236" 59 60 "Miss Havisham"
"237" 37 60 "Mr Camilla"
"238" 59 60 "Mr Jaggers"
"239" 37 60 "Mr Pocket"
"240" 58 60 "Mr Wopsle"
"241" 59 60 "Pip"
"242" 60 61 "Biddy"
"243" 60 61 "Joe Gargery"
"244" 60 61 "Mr Jaggers"
"245" 57 61 "Mrs Joe Gargery"
"246" 60 61 "Pip"
"247" 61 62 "Biddy"
"248" 57 62 "Estella"
"249" 61 62 "Joe Gargery"
"250" 60 62 "Miss Havisham"
"251" 11 62 "Mrs Hubble"
"252" 61 62 "Mrs Joe Gargery"
"253" 61 62 "Pip"
"254" 50 62 "Uncle Pumblechook"
"255" 62 64 "Biddy"
"256" 62 64 "Estella"
"257" 62 64 "Joe Gargery"
"258" 62 64 "Miss Havisham"
"259" 62 64 "Pip"
"260" 64 65 "Biddy"
"261" 64 65 "Joe Gargery"
"262" 65 66 "Mr Trabb"
"263" 65 66 "Trabb's Boy"
"264" 62 66 "Uncle Pumblechook"
"265" 62 67 "Mrs Joe Gargery"
"266" 66 67 "Uncle Pumblechook"
"267" 65 68 "Biddy"
"268" 65 68 "Joe Gargery"
"269" 64 68 "Miss Havisham"
"270" 61 68 "Mr Jaggers"
"271" 64 68 "Pip"
"272" 54 68 "Sarah Pocket"
"273" 67 68 "Uncle Pumblechook"
"274" 68 69 "Biddy"
"275" 68 69 "Joe Gargery"
"276" 67 69 "Mrs Joe Gargery"
"277" 68 69 "Pip"
"278" 68 70 "Mr Jaggers"
"279" 69 70 "Pip"
"280" 70 71 "Mr Jaggers"
"281" 49 72 "Herbert Pocket"
"282" 71 72 "John Wemmick"
"283" 70 72 "Mike"
"284" 71 72 "Mr Jaggers"
"285" 70 72 "Pip"
"286" 72 73 "John Wemmick"
"287" 72 73 "Mr Jaggers"
"288" 72 74 "Herbert Pocket"
"289" 73 74 "John Wemmick"
"290" 60 74 "Mr Pocket"
"291" 74 75 "Herbert Pocket"
"292" 74 75 "John Wemmick"
"293" 73 75 "Mr Jaggers"
"294" 64 76 "Estella"
"295" 75 76 "Herbert Pocket"
"296" 68 76 "Miss Havisham"
"297" 75 76 "Mr Jaggers"
"298" 66 76 "Mr Trabb"
"299" 72 76 "Pip"
"300" 76 77 "Herbert Pocket"
"301" 76 77 "Miss Havisham"
"302" 76 77 "Pip"
"303" 68 77 "Uncle Pumblechook"
"304" 76 78 "Estella"
"305" 77 78 "Herbert Pocket"
"306" 77 78 "Miss Havisham"
"307" 77 78 "Pip"
"308" 69 79 "Biddy"
"309" 78 79 "Herbert Pocket"
"310" 69 79 "Joe Gargery"
"311" 79 80 "Herbert Pocket"
"312" 74 80 "Mr Pocket"
"313" 78 80 "Pip"
"314" 35 81 "Bentley Drummle"
"315" 80 81 "Herbert Pocket"
"316" 80 81 "Millers"
"317" 80 81 "Mr Pocket"
"318" 80 81 "Mrs Pocket"
"319" 81 82 "Bentley Drummle"
"320" 11 82 "Dunstable"
"321" 80 82 "Flopson"
"322" 81 82 "Herbert Pocket"
"323" 81 82 "Millers"
"324" 81 82 "Mr Pocket"
"325" 81 82 "Mrs Pocket"
"326" 81 82 "Startop"
"327" 82 83 "Bentley Drummle"
"328" 82 83 "Flopson"
"329" 79 83 "Joe Gargery"
"330" 82 83 "Millers"
"331" 82 83 "Mr Pocket"
"332" 82 83 "Mrs Pocket"
"333" 82 83 "Startop"
"334" 83 84 "Mr Pocket"
"335" 83 84 "Mrs Pocket"
"336" 80 84 "Pip"
"337" 82 85 "Herbert Pocket"
"338" 75 85 "John Wemmick"
"339" 76 85 "Mr Jaggers"
"340" 84 85 "Mr Pocket"
"341" 84 85 "Pip"
"342" 85 86 "John Wemmick"
"343" 85 86 "Mr Jaggers"
"344" 85 86 "Pip"
"345" 86 87 "Mr Jaggers"
"346" 83 88 "Bentley Drummle"
"347" 60 88 "Camilla"
"348" 37 88 "Georiana Pocket"
"349" 85 88 "Herbert Pocket"
"350" 86 88 "John Wemmick"
"351" 78 88 "Miss Havisham"
"352" 60 88 "Mr Camilla"
"353" 87 88 "Mr Jaggers"
"354" 85 88 "Mr Pocket"
"355" 84 88 "Mrs Pocket"
"356" 86 88 "Pip"
"357" 83 88 "Startop"
"358" 88 89 "John Wemmick"
"359" 88 89 "Pip"
"360" 89 90 "John Wemmick"
"361" 88 90 "Mr Jaggers"
"362" 89 90 "Pip"
"363" 89 90 "The Aged"
"364" 88 91 "Bentley Drummle"
"365" 90 91 "John Wemmick"
"366" 88 91 "Startop"
"367" 91 92 "Bentley Drummle"
"368" 88 92 "Herbert Pocket"
"369" 91 92 "John Wemmick"
"370" 90 92 "Mr Jaggers"
"371" 91 92 "Startop"
"372" 92 93 "Bentley Drummle"
"373" 92 93 "Herbert Pocket"
"374" 92 93 "Mr Jaggers"
"375" 88 93 "Mr Pocket"
"376" 88 93 "Mrs Pocket"
"377" 90 93 "Pip"
"378" 92 93 "Startop"
"379" 3 94 "Avenger"
"380" 93 94 "Bentley Drummle"
"381" 79 94 "Biddy"
"382" 93 94 "Herbert Pocket"
"383" 83 94 "Joe Gargery"
"384" 60 94 "Mr Wopsle"
"385" 93 94 "Pip"
"386" 94 95 "Avenger"
"387" 94 95 "Herbert Pocket"
"388" 94 95 "Joe Gargery"
"389" 94 96 "Biddy"
"390" 78 96 "Estella"
"391" 95 96 "Herbert Pocket"
"392" 95 96 "Joe Gargery"
"393" 88 96 "Miss Havisham"
"394" 94 96 "Pip"
"395" 77 96 "Uncle Pumblechook"
"396" 52 97 "Abel Magwitch"
"397" 95 97 "Avenger"
"398" 52 97 "Compeyson"
"399" 96 97 "Herbert Pocket"
"400" 96 97 "Joe Gargery"
"401" 96 97 "Miss Havisham"
"402" 93 97 "Mr Pocket"
"403" 66 97 "Trabb's Boy"
"404" 97 98 "Herbert Pocket"
"405" 96 98 "Pip"
"406" 96 99 "Uncle Pumblechook"
"407" 96 100 "Estella"
"408" 97 100 "Joe Gargery"
"409" 97 100 "Miss Havisham"
"410" 57 100 "Orlick Dolge"
"411" 100 101 "Estella"
"412" 98 101 "Herbert Pocket"
"413" 100 101 "Joe Gargery"
"414" 100 101 "Miss Havisham"
"415" 97 101 "Mr Pocket"
"416" 98 101 "Pip"
"417" 68 101 "Sarah Pocket"
"418" 101 102 "Estella"
"419" 101 102 "Joe Gargery"
"420" 101 102 "Miss Havisham"
"421" 102 103 "Estella"
"422" 102 103 "Miss Havisham"
"423" 101 103 "Pip"
"424" 103 104 "Estella"
"425" 102 104 "Joe Gargery"
"426" 103 104 "Miss Havisham"
"427" 93 104 "Mr Jaggers"
"428" 101 104 "Sarah Pocket"
"429" 104 105 "Miss Havisham"
"430" 104 105 "Mr Jaggers"
"431" 76 105 "Mr Trabb"
"432" 100 105 "Orlick Dolge"
"433" 103 105 "Pip"
"434" 97 105 "Trabb's Boy"
"435" 99 105 "Uncle Pumblechook"
"436" 97 106 "Avenger"
"437" 104 106 "Estella"
"438" 101 106 "Herbert Pocket"
"439" 104 106 "Joe Gargery"
"440" 105 106 "Mr Jaggers"
"441" 105 106 "Pip"
"442" 106 107 "Estella"
"443" 106 107 "Herbert Pocket"
"444" 105 107 "Miss Havisham"
"445" 106 107 "Mr Jaggers"
"446" 106 107 "Pip"
"447" 107 108 "Clara Barley"
"448" 107 108 "Herbert Pocket"
"449" 106 108 "Joe Gargery"
"450" 94 108 "Mr Wopsle"
"451" 108 109 "Mr Wopsle"
"452" 108 110 "Herbert Pocket"
"453" 109 110 "Mr Wopsle"
"454" 107 110 "Pip"
"455" 108 111 "Clara Barley"
"456" 107 111 "Estella"
"457" 110 111 "Herbert Pocket"
"458" 107 111 "Miss Havisham"
"459" 92 112 "John Wemmick"
"460" 111 112 "Miss Havisham"
"461" 107 112 "Mr Jaggers"
"462" 101 112 "Mr Pocket"
"463" 110 112 "Pip"
"464" 90 112 "The Aged"
"465" 112 113 "John Wemmick"
"466" 112 113 "Mr Jaggers"
"467" 112 113 "Pip"
"468" 111 114 "Estella"
"469" 113 114 "John Wemmick"
"470" 114 115 "Estella"
"471" 112 115 "Miss Havisham"
"472" 112 115 "Mr Pocket"
"473" 115 116 "Estella"
"474" 115 116 "Miss Havisham"
"475" 113 116 "Mr Jaggers"
"476" 116 117 "Estella"
"477" 83 117 "Flopson"
"478" 83 117 "Millers"
"479" 116 117 "Miss Havisham"
"480" 115 117 "Mr Pocket"
"481" 93 117 "Mrs Pocket"
"482" 113 117 "Pip"
"483" 106 118 "Avenger"
"484" 94 118 "Bentley Drummle"
"485" 96 118 "Biddy"
"486" 88 118 "Camilla"
"487" 117 118 "Estella"
"488" 111 118 "Herbert Pocket"
"489" 108 118 "Joe Gargery"
"490" 117 118 "Miss Havisham"
"491" 117 118 "Mr Pocket"
"492" 117 118 "Mrs Pocket"
"493" 93 118 "Startop"
"494" 118 119 "Avenger"
"495" 118 119 "Herbert Pocket"
"496" 117 119 "Pip"
"497" 119 120 "Herbert Pocket"
"498" 105 120 "Mr Trabb"
"499" 119 120 "Pip"
"500" 118 121 "Biddy"
"501" 118 121 "Joe Gargery"
"502" 14 121 "Mr Hubble"
"503" 120 121 "Mr Trabb"
"504" 62 121 "Mrs Hubble"
"505" 69 121 "Mrs Joe Gargery"
"506" 105 121 "Orlick Dolge"
"507" 120 121 "Pip"
"508" 105 121 "Uncle Pumblechook"
"509" 121 122 "Biddy"
"510" 121 122 "Joe Gargery"
"511" 121 122 "Mr Hubble"
"512" 121 122 "Mr Trabb"
"513" 121 122 "Mrs Hubble"
"514" 121 122 "Mrs Joe Gargery"
"515" 121 122 "Pip"
"516" 121 122 "Uncle Pumblechook"
"517" 122 123 "Biddy"
"518" 122 123 "Joe Gargery"
"519" 122 123 "Mrs Joe Gargery"
"520" 122 123 "Pip"
"521" 123 124 "Biddy"
"522" 120 125 "Herbert Pocket"
"523" 114 125 "John Wemmick"
"524" 116 125 "Mr Jaggers"
"525" 123 125 "Pip"
"526" 118 126 "Estella"
"527" 125 126 "Herbert Pocket"
"528" 125 126 "John Wemmick"
"529" 118 126 "Miss Havisham"
"530" 125 126 "Mr Jaggers"
"531" 125 126 "Pip"
"532" 126 127 "Herbert Pocket"
"533" 126 127 "John Wemmick"
"534" 126 127 "Mr Jaggers"
"535" 126 127 "Pip"
"536" 112 127 "The Aged"
"537" 127 128 "John Wemmick"
"538" 127 128 "Mr Jaggers"
"539" 127 128 "The Aged"
"540" 127 129 "Herbert Pocket"
"541" 128 129 "John Wemmick"
"542" 126 129 "Miss Havisham"
"543" 128 129 "Miss Skiffins"
"544" 110 129 "Mr Wopsle"
"545" 127 129 "Pip"
"546" 128 129 "The Aged"
"547" 129 130 "Herbert Pocket"
"548" 129 130 "John Wemmick"
"549" 129 130 "Miss Skiffins"
"550" 129 130 "Skiffins"
"551" 129 130 "The Aged"
"552" 126 132 "Estella"
"553" 129 132 "Miss Havisham"
"554" 129 132 "Pip"
"555" 132 133 "Estella"
"556" 132 133 "Miss Havisham"
"557" 133 134 "Estella"
"558" 133 134 "Miss Havisham"
"559" 118 135 "Bentley Drummle"
"560" 134 135 "Estella"
"561" 130 135 "Herbert Pocket"
"562" 134 135 "Miss Havisham"
"563" 128 135 "Mr Jaggers"
"564" 132 135 "Pip"
"565" 135 136 "Bentley Drummle"
"566" 135 136 "Estella"
"567" 132 136 "Mrs Brandley"
"568" 135 136 "Pip"
"569" 136 137 "Estella"
"570" 135 137 "Miss Havisham"
"571" 97 138 "Abel Magwitch"
"572" 135 138 "Herbert Pocket"
"573" 136 138 "Pip"
"574" 138 139 "Abel Magwitch"
"575" 139 140 "Abel Magwitch"
"576" 130 140 "John Wemmick"
"577" 135 140 "Mr Jaggers"
"578" 138 140 "Pip"
"579" 137 141 "Estella"
"580" 140 141 "Mr Jaggers"
"581" 140 141 "Pip"
"582" 140 142 "Abel Magwitch"
"583" 124 142 "Biddy"
"584" 97 142 "Compeyson"
"585" 141 142 "Estella"
"586" 138 142 "Herbert Pocket"
"587" 123 142 "Joe Gargery"
"588" 137 142 "Miss Havisham"
"589" 119 143 "Avenger"
"590" 142 144 "Abel Magwitch"
"591" 141 144 "Mr Jaggers"
"592" 141 144 "Pip"
"593" 144 145 "Abel Magwitch"
"594" 142 145 "Herbert Pocket"
"595" 140 145 "John Wemmick"
"596" 144 145 "Mr Jaggers"
"597" 144 145 "Pip"
"598" 145 146 "Abel Magwitch"
"599" 145 146 "John Wemmick"
"600" 142 146 "Miss Havisham"
"601" 145 146 "Mr Jaggers"
"602" 145 146 "Pip"
"603" 146 147 "Abel Magwitch"
"604" 145 147 "Herbert Pocket"
"605" 146 147 "John Wemmick"
"606" 147 148 "Abel Magwitch"
"607" 147 148 "Herbert Pocket"
"608" 146 148 "Pip"
"609" 148 149 "Abel Magwitch"
"610" 148 149 "Herbert Pocket"
"611" 148 149 "Pip"
"612" 149 150 "Abel Magwitch"
"613" 142 150 "Compeyson"
"614" 149 150 "Herbert Pocket"
"615" 130 150 "Mr Clarriker"
"616" 149 150 "Pip"
